duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,BT Group,BT-REJ-001,rejected_candidates_staging,webpage_boilerplate,not_applicable,5 webpage-boilerplate passages on the same page/section of BT.A_company_press_release_bt-group-leans-on-ai-to-transform-customer-service-experienc_2024-12-12.html consolidated into one rejected row.,yes,merge,Repeated webpage-boilerplate passages correctly consolidated into a single rejected row.
DUPG-002,BT Group,BT-REJ-002,rejected_candidates_staging,webpage_boilerplate,not_applicable,4 webpage-boilerplate passages on the same page/section of BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html consolidated into one rejected row.,yes,merge,Repeated webpage-boilerplate passages correctly consolidated into a single rejected row.
DUPG-003,BT Group,BT-OP-001,operational_candidates_staging,same_source_consolidation,not_applicable,3 passages from BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html describing the same initiative (bt_genai_gateway_openreach_notes) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-004,BT Group,BT-OP-002,operational_candidates_staging,same_source_consolidation,not_applicable,2 passages from BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html describing the same initiative (bt_genai_gateway_contract_analysis) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-005,BT Group,BT-GOV-001,governance_candidates_staging,same_source_consolidation,not_applicable,15 passages from BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html describing the same initiative (bt_genai_gateway_platform_infrastructure) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-006,BT Group,BT-OP-003,operational_candidates_staging,same_source_consolidation,not_applicable,10 passages from BT.A_company_press_release_bt-group-leans-on-ai-to-transform-customer-service-experienc_2024-12-12.html describing the same initiative (bt_sprinklr_aimee_customer_service) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-007,BT Group,BT-OP-004,operational_candidates_staging,same_source_consolidation,not_applicable,10 passages from BT.A_partner_partner_case_study_writing-and-maintaining-2-million-lines-a-year-using-amazon.html describing the same initiative (bt_amazon_q_developer) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-008,BT Group,BT-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.19) of BT.A_company_annual_report_current_fy2025.pdf describe the same predictive automation network ops theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-009,BT Group,BT-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.19) of BT.A_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-010,BT Group,BT-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.32) of BT.A_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-011,BT Group,BT-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.42) of BT.A_company_annual_report_current_fy2025.pdf describe the same predictive automation negotiation agent theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-012,BT Group,BT-GOV-003,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.60) of BT.A_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-013,BT Group,BT-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.60) of BT.A_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-014,BT Group,BT-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.63) of BT.A_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-015,BT Group,BT-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.19) of BT.A_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-016,BT Group,BT-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.21) of BT.A_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-017,BT Group,BT-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.29) of BT.A_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-018,BT Group,BT-GOV-006,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.39) of BT.A_company_annual_report_previous_fy2024.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-019,BT Group,BT-REJ-040,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.66) of BT.A_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-020,BT Group,BT-REJ-041,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.67) of BT.A_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-021,BT Group,BT-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.69) of BT.A_company_annual_report_previous_fy2024.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
