staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
CRDA-REJ-001,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.5,AI,B,1,"Delivering on our transformation plan • Optimising product portfolio • Optimising supply chain • Simplifying organisation • Leveraging AI, data and digitalisation Investment case Our investment case A differentiated business delivering on our plan to grow earnings and returns. Building",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-002,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"ss has responded well as we push hard to deliver change quickly. Underpinned by actions to enhance our high-performance culture, and to leverage AI, data and digitalisation to support decision-making, we are implementing clearly defined action plans for each of the pillars of the programme. We",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-003,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"ise returns on investments • Drive growth in key markets • Optimise product portfolio • Optimise supply chain • Simplify organisation • Leverage AI, data and digitalisation TransformationGrowth We are focused on innovation, leveraging customer proximity and maximising returns from investments",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-004,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,AI,B,2,"ciency through our transformation programme, with early progress and clear priorities . Enhance high-performance culture Read more on page 9 Leverage AI, data, and technology Read more on page 36 Optimise product portfolio Optimise our customer and product portfolios, and drive commercial excellence ||| headcount by 5% (ex. F&F) • Zero-based budget of indirect costs • Continue reductions in headcount and management roles • Accelerate deployment of AI and digitalisation of Croda • Deliver structural savings in indirect costs Efficiency GrowthEnablers 2026 priorities 2025 progress 17 Croda Internat",no,no,vague_general_ai_reference,DUPG-001,rejected,,
CRDA-REJ-005,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.33,AI,B,1,"oplastics in seeds in 2028, as well as countering abiotic stress in seeds due to extreme heat, drought and high soil salinity. We are also applying AI modelling techniques to accelerate the development of new priming, pelleting and X-ray processes, meaning we can derive commercial benefits from in",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-006,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.38,AI,B,1,"competitive edge, meets customer and employee needs, enhances operational efficiency, and fosters sustainable growth. With the rapid evolution of AI, the risks and opportunities surrounding digital technology innovation are increasing. Croda is intensifying its focus on technology and digital",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-007,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.58,AI,B,1,"strong foundations to deliver sustainable long-term value. • Received an update from the CIO on the strategic IT roadmap, including data, analytics/AI and architecture, and challenged management on the pace of delivery to ensure technological support for the business to drive efficient growth, re",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-008,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.59,AI,B,1,"ements of the programme focus on improving customer service and employee experience, including through leveraging data through analytical tools and AI. While significant change can be disruptive and unsettling for employees, the programme aimed to enhance the day to day experience of employees by",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-009,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.73,AI,B,1,"tainability trends and their implications for the industry, and reviewing the Group’s long-term strategy, including transition plans, the impact of AI, and building resilience. The Committee will also maintain its role in monitoring the Group’s response to identified material impacts, risks and o",no,no,vague_general_ai_reference,,rejected,,
CRDA-REJ-010,Croda International,CRDA,Croda Annual Report 2025,CRDA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.78,automation,B,1,"ct and clear, resulting in limited follow-on requests. The Committee recognised the importance of continuing to explore opportunities for increased automation within the audit process to support productivity benefits. The importance of maintaining a pragmatic approach to the audit, with an appropriate ba",no,no,audit_analytics,,rejected,,
