staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
TSCO-REJ-001,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"ve delivered an increase in Clubcard sales penetration across all markets with the UK at 84%, ROI 87% and Central Europe 88%. The launch of our AI-powered Clubcard Challenges campaign amplified our efforts to give customers ever-greater personalisation, with more than 10 million given the ch",no,predictive_personalisation,,rejected,accept,"Correctly rejected: Clubcard Challenges is predictive/personalisation AI, not qualifying GenAI evidence."
TSCO-REJ-002,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.17,automation,B,1,"nding – All our stores offer a choice between colleague-operated and self-service checkouts and there are always colleagues on hand. – We use an automation tool to make sure we are discounting the right products at the right time, helping customers to get the best value and enabling us to reduce food",no,ordinary_automation,,rejected,accept,"Correctly rejected: ordinary automation tool, not generative AI."
TSCO-REJ-003,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"are discounting the right products at the right time, helping customers to get the best value and enabling us to reduce food waste. – We utilise AI to optimise the routes our drivers take, finding the most efficient combination of products, baskets and journeys for every lorry and delivery van,",no,route_optimisation,,rejected,accept,"Correctly rejected: route optimisation, a predictive/optimisation task, not generative AI."
TSCO-REJ-004,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,automation,B,1,"4/25. – Continued progress across all areas, including goods & services not for resale, operations, property and central overheads. – New robotic automation implemented at our Peterborough distribution centre, with Aylesford semi-automated distribution centre on track to open in summer 2025. – End-to-",no,robotic_automation,,rejected,accept,"Correctly rejected: robotic automation, not generative AI."
TSCO-REJ-005,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.32,automation,B,1,"ssets, as well as investing in growth, such as our online customer proposition, and delivering efficiencies across our operations, including further automation within our distribution and fulfilment centres. We continue to see attractive opportunities to commit capital to high-returning investments, and exp",no,ordinary_automation,,rejected,accept,"Correctly rejected: ordinary automation; nearby 'opportunities' language refers to capital investment, not AI capability-building."
TSCO-REJ-006,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.34,AI,B,1,ity Report. Reduce store emissions We continue to work towards reaching our goal of carbon neutral operations by 2035. We’re now using the latest AI technology to identify and repurpose heat from refrigeration systems to lower our energy use and saving energy by installing doors on fridges i,no,heat_identification_operations,,rejected,accept,"Correctly rejected: predictive heat-identification for energy operations, not generative AI."
TSCO-REJ-007,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.73,AI,B,1,"ing. This will also support our customers through health and wellness initiatives. We continue to enhance our data analytics insight and the use of AI to better understand our customers and deliver them more personalised offers, to improve outputs from customer feedback and assist with demand forec",no,predictive_personalisation,,rejected,accept,"Correctly rejected: concrete predictive personalisation and demand-forecasting task takes priority over the incidental 'data analytics insight' phrase; not qualifying GenAI evidence."
TSCO-REJ-008,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.73,automation,B,1,"tinue to build our capabilities to support delivery of our longer-term objectives through investments in our people and technology, including robotic automation to streamline operations, improve efficiency and support our commitment to deliver a seamless shopping experience for our customers. We have partner",no,robotic_automation,,rejected,accept,"Correctly rejected: robotic automation, not generative AI."
TSCO-REJ-009,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.86,automation,B,1,"ongoing basis the processes undertaken by management to continue to enhance its control environment, including its roadmap to increase the level of automation and its expanded centralisation of control activities, including at Tesco Business Services (TBS) and Central Europe. The Group’s internal controls",no,ordinary_automation,,rejected,accept,"Correctly rejected: internal-controls automation roadmap, not generative AI."
TSCO-REJ-010,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.87,automation,B,1,"gth of TBS’s service delivery model and strategic alignment, the function’s evolution in maturity and scope, the continued adoption and impact of automation and the expertise and capabilities of our TBS talent. The TBS team continue to contribute core value to the business in terms of cash, impact on",no,ordinary_automation,,rejected,accept,"Correctly rejected: ordinary automation adoption, not generative AI."
TSCO-REJ-011,Tesco,TSCO,Tesco PLC Annual Report and Financial Statements 2025,TSCO_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.89,AI,B,4,"lves a collaborative approach across the three lines of defence. By integrating data analytics, continuous monitoring and artificial intelligence (AI) into the audit process, internal audit can provide greater insights and assurance to the business. The Group’s internal audit team has expande ||| actions and reducing the risk of significant problems going unnoticed. In addition, the Group’s external auditor also uses various analytics and AI tools, a number of which have been presented to the Audit Committee. They have outlined a five-year plan for the Tesco audit, focusing on enhanc ||| mittee. They have outlined a five-year plan for the Tesco audit, focusing on enhancing efficiency, quality and insights through data analytics and AI. The plan is based on three pillars: analytics and AI technology; targeted controls reliance; and centralisation. It also emphasises the continuo ||| o’s evolving finance transformation strategy. During 2025, members have a workshop with the external auditor to showcase Deloitte’s technology and AI data-led metrics. AI technologies, such as machine learning and natural language processing, can automate routine audit tasks, enhance risk ass",no,audit_analytics,DUPG-003,rejected,accept,"Correctly rejected: audit analytics/ML, not generative AI."
