duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Experian,EXPN-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.3) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Experian,EXPN-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.5) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Experian,EXPN-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Experian,EXPN-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.9) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Experian,EXPN-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.12) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Experian,EXPN-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.14) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Experian,EXPN-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.15) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Experian,EXPN-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.19) of EXPN_company_annual_report_current_fy2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-009,Experian,EXPN-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.19) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Experian,EXPN-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.21) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Experian,EXPN-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.22) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Experian,EXPN-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.24) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Experian,EXPN-REJ-024,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.26) of EXPN_company_annual_report_current_fy2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-014,Experian,EXPN-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.26) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Experian,EXPN-GOV-007,governance_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.27) of EXPN_company_annual_report_current_fy2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-016,Experian,EXPN-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.27) of EXPN_company_annual_report_current_fy2026.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-017,Experian,EXPN-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.27) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,Experian,EXPN-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.29) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,Experian,EXPN-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.30) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-020,Experian,EXPN-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.31) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-021,Experian,EXPN-STR-004,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.31) of EXPN_company_annual_report_current_fy2026.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-022,Experian,EXPN-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.32) of EXPN_company_annual_report_current_fy2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-023,Experian,EXPN-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.32) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-024,Experian,EXPN-REJ-032,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.33) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-025,Experian,EXPN-REJ-035,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.49) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-026,Experian,EXPN-GOV-010,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.52) of EXPN_company_annual_report_current_fy2026.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-027,Experian,EXPN-REJ-037,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.52) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-028,Experian,EXPN-REJ-038,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.53) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-029,Experian,EXPN-REJ-040,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.66) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-030,Experian,EXPN-REJ-042,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.72) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-031,Experian,EXPN-REJ-046,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.77) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-032,Experian,EXPN-REJ-047,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.78) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-033,Experian,EXPN-REJ-048,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.90) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-034,Experian,EXPN-REJ-060,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.110) of EXPN_company_annual_report_current_fy2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
