company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.18,GenAI,A,"ur success. Technology and artificial intelligence have become key enablers of this approach. We have embedded AI across our operations – from our GenAI chatbot that resolves 65% of queries without human intervention whilst achieving a 91% customer satisfaction score, to AI- generated personalised",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.18,automation,B,"vention whilst achieving a 91% customer satisfaction score, to AI- generated personalised recommendations that drive engagement in the app, to 95% automation of unsecured loans that significantly reduces time-to-money. We now serve over 1.8 million digital monthly active retail users – representing a co",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.18,automation,B,"rom multiple sources, including regular customer feedback, rigorous internal analysis and deep- dive reviews, with a particular focus on enhancing automation and quality. Our attention to detail ensures we not only maintain our standards but also drive innovation across the business. Ameriabank: remarka",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.20,AI,B,"maintained through comprehensive, Group-wide processes, including regular management reviews and robust Key Performance Indicators (KPIs). Data and AI We are accelerating our transformation into a truly data- driven organisation. We leverage advanced analytics and AI to enhance decision-making, dri",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.33,generative AI,A,"non-technical teams to automate tasks and unlock efficiencies through our enterprise AI platform. We upgraded to a sophisticated Georgian-language Generative AI chatbot, delivering intelligent, personalised interactions. We continued to drive more effective product cross-selling in 2025 by refining our AI-",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.33,AI,B,"ional InformationFinancial StatementsGovernanceStrategic Report 1 Customers whose primary banking relationship is maintained outside Bank of Georgia. AI at Bank of Georgia: Driving real business value in 2025 In 2025, we transitioned from foundational AI capabilities to enterprise-wide employee em",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.33,AI,B,"Driving real business value in 2025 In 2025, we transitioned from foundational AI capabilities to enterprise-wide employee empowerment, integrating AI into daily workflows to boost productivity, enhance customer experience, and accelerate sales growth. Enterprise-wide AI enablement Democratising AI",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.33,AI,B,"r experience, and accelerate sales growth. Enterprise-wide AI enablement Democratising AI across the organisation Customer Experience Next-generation AI chatbot Sales & customer acquisition AI-Powered Sales Growth We enabled non-technical teams to automate tasks and unlock efficiencies through our e",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.33,AI,B,"in Quality Management 31% increase in IT throughput 91% customer satisfaction rate Our globally recognised solution, named the “World’s Best AI for Private Banking” by Global Finance, drove 29% of non-primary client1 acquisitions in affluent segment in 2025 through advanced AI targeting",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Lion Finance Group,BGEO,,BGEO_company_annual_report_current_fy2025_2026-02.pdf,p.33,AI,B,"lobal Finance, drove 29% of non-primary client1 acquisitions in affluent segment in 2025 through advanced AI targeting Employees built 300+ custom AI assistants, freeing up 6,600 hours per month for higher-value work Weekly adoption rate increased from 10% to 56% in six months (80% in back-office",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
