staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
ENT-REJ-001,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.25,machine learning,B,1,"ccess depends on the quality, breadth and localisation of our offering. CRM helps us personalise content to each customer, not just to each event. Machine learning strengthens personalisation, drives smarter engagement and enhances bonus allocation. Our global scale also creates a trading and pricing differe",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
ENT-REJ-002,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.26,AI,B,1,"enter new markets with confidence and deliver products that meet the highest standards of safety and performance. We have also integrated the latest AI tools across product discovery, design, implementation, testing, automation and release management. This helps us capture enhanced insights, stream",no,no,ordinary_automation,,rejected,,
ENT-REJ-003,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.30,AI;generative AI,A;B,3,"portingBOT exemplifies this approach – launching first in Brazil as a focused test-and-learn initiative before a broader rollout. SportingBOT is a generative AI chatbot that serves as a personalised betting assistant. The bot integrates our live odds pricing API, real-time match data via Sportsradar, and i ||| he knowledge of Sportingbet promotions and T&Cs – enabling customers to receive accurate, contextual answers in a natural conversational flow. The AI chatbot reached over 65,000 users and delivered on its core goals of converting new players and providing reliable, real-time assistance. An unexp ||| anding the model to Spain, planning refreshed Brazil deployments for future major events, and building a dedicated Customer Service version of the AI chatbot. Every interaction with SportingBOT is grounded in accurate data, transparent terms, and customer trust. As we scale AI-powered experience",no,no,vague_general_ai_reference,DUPG-001,rejected,,
ENT-REJ-004,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.54,AI,B,1,"ool that monitors customer activity for risk factors. These tools have been jointly developed with independent third- party experts such as Mindway AI. Whilst processes will differ according to local regulations and codes, we will proactively impose gambling controls where players voice concerns o",no,no,vague_general_ai_reference,DUPG-010,rejected,,
ENT-REJ-005,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.57,AI,B,1,"oney laundering 4 Protecting confidential information 4 Safer betting and gaming 4 Fraud 4 Signing contracts (tailored to the role) 4 Data privacy 4 AI guidelines 4 Cybersecurity 4 Speaking out against misconduct 4 Recognising and addressing modern slavery 4 Promoting wellbeing, health and safety 4",no,no,vague_general_ai_reference,,rejected,,
ENT-REJ-006,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.58,AI,B,1,"s Sustainability at Entain 56 Entain plc Annual Report 2025 These measures help us to strike the right balance: realising the benefits of utilising AI, mitigating risks associated with its use, and building trust with our customers and partners.",no,no,vague_general_ai_reference,,rejected,,
ENT-REJ-007,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.59,artificial intelligence,B,1,p1w/ group-data-privacy-policy-2025.pdf Group Data Retention Policy – www.entaingroup.com/media/g5hfneue/ group-data-retention-policy-2025.pdf Group Artificial Intelligence Policy – www.entaingroup.com/media/llshkd2b/ artificial-intelligence-policy.pdf Group Anti-Bribery and Corruption Policy – www.entaingroup.com/medi,no,no,vague_general_ai_reference,,rejected,,
ENT-REJ-008,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.60,AI,B,1,"wellbeing hub with 40 hours of content to help managers lead wellbeing conversations and foster safe, high-performing teams. 4 Launched “Nova”, our AI-powered wellbeing coach on stress, sleep, confidence and low mood, with over 1,200 colleagues having engaged. 4 Achieved a record-high 84 out of 10",no,no,vague_general_ai_reference,,rejected,,
ENT-REJ-009,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.62,AI,B,1,"leadership – they practise it. Working in diverse peer groups, they apply new tools to realistic challenges, supported by expert facilitators and AI-enabled coaching. This combination of live practice, expert support and peer learning makes Elevate a modern, engaging programme that strengthens",no,no,vague_general_ai_reference,,rejected,,
ENT-REJ-010,Entain,ENT,Entain Annual Report 2025,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,,annual_report_current,company_primary,p.63,AI,B,2,"To strengthen our managers’ capability for high-quality performance discussions, we supported more than 800 leaders through live workshops and an AI-enabled practice platform designed to build effective feedback skills. In its inaugural year, the process saw strong adoption, with feedback captu ||| Among colleagues who completed pre- and post-therapy assessments, absenteeism fell by an average of 5.8 hours per person. Unlocking the power of AI in supporting colleagues Our wellbeing ecosystem was expanded with the launch of Nova, an AI-powered coach created in partnership with psychologi",no,no,vague_general_ai_reference,DUPG-005,rejected,,
