staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BATS-REJ-001,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"subdued growth, trade realignments and continued geopolitical and macro-economic shifts, alongside a changing labour market and the acceleration of AI. Our industry, like many others, has not been immune to these external forces. Competitive and regulatory complexity, coupled with evolving consum",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-002,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.9,AI,B,2,"with Accenture 2 . By transitioning our Global Shared Services to Accenture, we now benefit from their cutting-edge technology ecosystem, advanced AI solutions, and strategic collaborations with world-leading companies. These capabilities are enabling us to simplify processes, accelerate speed t ||| dium to long term. In addition, our collaborations in R&D with global leading companies, and the establishment of the first Consumer Packaged Goods AI lab with DIFC in Dubai, are clear examples of how we are proactively seeking expertise to innovate and strengthen our capabilities. We remain comm",no,no,vague_general_ai_reference,DUPG-001,rejected,,
BATS-REJ-003,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.15,AI,B,1,our resources as effectively as possible. 2 4 7 8 9 10 11 12 14 6 U O D Move Moving our products seamlessly everywhere Technologies including AI and machine learning help us to get our products to the right place at the right time. Our products are sold across the world and distributed eff,no,no,vague_general_ai_reference,DUPG-008,rejected,,
BATS-REJ-004,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"ngagement with our people worldwide – Board review of, and feedback on, workforce engagement – Training and development programmes, including on AI – Introduction of our inclusive culture strategy – Delivery with Integrity programme Principal risk impact – Competition from illicit trade – To",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-005,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.24,automation,B,1,"entially overstated, others are already generating measurable productivity improvements and reshaping competitive dynamics. A changing workforce Automation and intelligent systems are redefining roles and organisational structures. As demand for digital and analytical skills grows, companies are rethin",no,no,ordinary_automation,,rejected,,
BATS-REJ-006,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.24,AI,B,6,"cultural and social trends. We continue to respond to this changing environment by developing and advancing our strategy and long-term priorities. AI and Optimisation Artificial intelligence (AI) continues to transform how businesses operate, make decisions and engage with consumers. The integra ||| imisation Artificial intelligence (AI) continues to transform how businesses operate, make decisions and engage with consumers. The integration of AI across product design, logistics and marketing has accelerated, delivering efficiency gains, deeper insights and more tailored experiences. Yet the ||| esign, logistics and marketing has accelerated, delivering efficiency gains, deeper insights and more tailored experiences. Yet the full extent of AI’s benefits is still being realised. While some applications remain experimental or, in some cases, potentially overstated, others are already gener ||| engagement. Those that adapt early are likely to capture significant productivity and innovation gains. Smarter decisions and empowered consumers AI is enabling businesses to anticipate consumer needs and optimise product design, sustainability and quality. While consumers are using AI to discov ||| quality. While consumers are using AI to discover, compare and assess products, making informed, data-driven choices. The growing intersection of AI and personal health technology is also shaping behaviour. From wearable devices and digital health assistants to personalised wellness recommendati ||| ology is also shaping behaviour. From wearable devices and digital health assistants to personalised wellness recommendations, consumers are using AI to better understand and manage their wellbeing. For the nicotine industry, these developments could influence how adult consumers seek information",no,no,vague_general_ai_reference,DUPG-002,rejected,,
BATS-REJ-007,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.41,AI,B,3,"partnership, we are transitioning our Global Shared Services to Accenture, which gives us access to Accenture’s cutting-edge technology ecosystem, AI solutions and its strategic collaboration with world-leading companies. These capabilities will help us to further simplify our processes, accelera ||| o the challenges of an ever- changing external environment, we continue to invest in technology to be a more efficient and effective business, with AI-enabled, data-driven systems and ways of working to match. Under the Operational Excellence pillar of our refined corporate strategy, three focus a ||| will be key to driving progress: optimising our manufacturing operations; reducing complexity in our ways of working and processes, including using AI and data- enabled technology; and our Global Business Services (GBS) Centres of Excellence. At-scale operations We have a global manufacturing fo",no,no,vague_general_ai_reference,DUPG-003,rejected,,
BATS-REJ-008,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.87,automation,B,1,"biomass boiler complements a suite of other decarbonisation measures already in place at the Jhelum site, including on-site solar generation, HVAC automation, smart building analytics, and ducting upgrades. Decarbonising our operations Renewable-powered manufacturing facility In the Port of Trieste, I",no,no,ordinary_automation,,rejected,,
BATS-REJ-009,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.92,AI,B,1,"ssions on pages 100 to 102 Deploying digital climate solutions to improve efficiency and resilience Empowering data-driven agriculture: Unlocking AI for optimal crop performance Climate change is increasingly impacting crop yields. To address this, we have launched an in- house crop prediction",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-010,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.101,AI,B,1,"ely 20 terabytes of data were generated, comprising over 500 days of audio recordings, 160,000 images, and 21,000 drone files. Leveraging advanced AI developed by our partner, t his raw data is processed to identify species before being validated by a network of local and international experts.",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-011,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.197,AI,B,1,"est indicated by colleagues across the organisation to make effective use of emerging technologies. The programme is designed to build foundational AI capabilities across the Group, coupled with training on responsible and ethical use of AI to support appropriate application. – Fostering a cultur",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-012,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.201,generative AI,A,1,"Board Effectiveness During 2025, key briefings for the Board included an in-depth review of generative AI led by the Director, Digital & Information, with insights from external advisers. This covered the growth of generative AI to date and looking ahea",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-013,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.202,generative AI,A,1,"t organisational transformation. Professional Development The Board’s professional development programme in 2025 included an in-depth review of generative AI, business impacts and key use cases, with insights from external advisers. The Board’s professional development programme in 2025 is discussed fur",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-014,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.276,automation,B,1,"n 2025, the Group commenced the Fit2Win programme, a structured time-bound programme to review processes, ways of working including use of data and automation, route to market, overhead costs and organisational design. The programme will deliver efficiencies and facilitate faster, more agile and effective",no,no,ordinary_automation,,rejected,,
BATS-REJ-015,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.305,AI,B,1,"r of follow-on investment rounds, and new investments including a U.S.-based adaptogens and nootropics beverage company, Hop Wtr Inc., and a German AI-powered sustainable packaging company, one.five. Investments held at fair value through OCI relate to equity investments in ITC Hotels and various s",no,no,vague_general_ai_reference,DUPG-009,rejected,,
BATS-REJ-016,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.363,AI,B,1,"United Arab Emirates Unit IH-00-01-10-OF-07, Level 10, Innovation Hub, Dubai International Financial Centre, Dubai, United Arab Emirates BAT Gen AI Lab Limited 2302-08, Smart Heights, Al Thanyah First, Dubai, United Arab Emirates BAT Middle East For Trading L.L.C. Jumeirah Business Centre 3,",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-017,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.366,RAG,A,1,"(“Kamaran”) is a Yemen-based company that was sanctioned in the United States under Executive Order 13224 on 11 September 2025. The Group sold cut rag tobacco and cigarette wrapping materials to Kamaran until 2022, when the Group decided to cease business activities in Yemen as first reported in t",no,no,vague_general_ai_reference,,rejected,,
BATS-REJ-018,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.403,AI,B,1,Glossary Abbreviation ADR American Depositary Receipt ADS American Depositary Share – 1 ADS is equivalent to 1 BAT ordinary share AI Artificial Intelligence AGM Annual General Meeting AME Americas (excluding U.S.) and Europe AmSSA Americas (excluding U.S.) and Sub-Saharan Afric,no,no,vague_general_ai_reference,,rejected,,
