duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,GSK plc,GSK-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.14) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,GSK plc,GSK-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.34) of GSK_company_annual_report_current_fy2025.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-003,GSK plc,GSK-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.34) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,GSK plc,GSK-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.35) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,GSK plc,GSK-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.47) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,GSK plc,GSK-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.48) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,GSK plc,GSK-GOV-003,governance_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.59) of GSK_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-008,GSK plc,GSK-GOV-004,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.59) of GSK_company_annual_report_current_fy2025.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-009,GSK plc,GSK-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.62) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,GSK plc,GSK-GOV-005,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.66) of GSK_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-011,GSK plc,GSK-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.66) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,GSK plc,GSK-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.69) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,GSK plc,GSK-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.70) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,GSK plc,GSK-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.114) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,GSK plc,GSK-GOV-010,governance_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.138) of GSK_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-016,GSK plc,GSK-REJ-038,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.153) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,GSK plc,GSK-REJ-044,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.293) of GSK_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
