staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
IHG-REJ-001,IHG Hotels & Resorts,IHG,"IHG Hotels & Resorts Launches AI Conversational Search Across its Digital Channels, Transforming the Guest Experience",IHG_company_press_release_n-a_2026-07-28.html,,press_release,company_primary,not_applicable,AI,B,1,"===== HTML DOCUMENT ===== Source file: IHG_company_press_release_n-a_2026-07-28.html Title: IHG Hotels & Resorts Launches AI Conversational Search Across its Digital Channels, Transforming the Guest Experience - InterContinental Hotels Group PLC Jump to main content (acces",no,yes,webpage_boilerplate,,rejected,,
IHG-REJ-002,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"st Love; outperformed key competitors on Guest Satisfaction Index in all three regions. – Elevated guest experience through new destinations and AI-powered technology. – New and continued loyalty partnerships and experiences. – Enhanced award-winning mobile app, which achieved nine million dow",no,no,vague_general_ai_reference,,rejected,,
IHG-REJ-003,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.16,AI;machine learning,B,2,"ite of technology is deepening loyalty to our brands and sharpening our competitive edge. We are driving advantages from artificial intelligence (AI) across our entire enterprise, including improved guest experiences, customer acquisition and hotel performance. Examples of this include our rev ||| guest experiences, customer acquisition and hotel performance. Examples of this include our revenue management system incorporating data science, machine learning and forecasting tools to deliver advanced insights and recommendations along with enhancements to our IHG One Rewards mobile app that are unlocki",no,no,vague_general_ai_reference,DUPG-001,rejected,,
IHG-REJ-004,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.19,AI,B,1,uppliers on our cloud-based platforms: our Guest Reservation System is helping maximise guest choice and owner value across our global estate; an AI-powered revenue management system is incorporating leading forecasting tools to drive top-line revenue in every eligible IHG hotel globally; and n,no,no,vague_general_ai_reference,,rejected,,
IHG-REJ-005,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.22,AI;artificial intelligence;generative AI,A;B,6,"ctor. AI technologies are redefining the end-to-end travel purchase journey and enhancing the operational capabilities of accommodation providers. Generative AI is providing inspiration to a broad range of travellers, gaining particular traction among younger travellers and those in Asia. Meanwhile, advan ||| ng fundamentals. Despite the current backdrop of macro-economic uncertainty, intent to travel remains high. Continued technological advancement in AI is changing consumer behaviours and expectations, and transforming operations across the hospitality landscape. Meanwhile, the growing attractive ||| loping an AI-enabled CRM platform to empower corporate and hotel teams with unified guest insights, and to enhance loyalty delivery. – Leveraging AI to enable new content types, including building a new digital content platform to unlock additional capabilities for owners, such as AI-powered ||| wners, such as AI-powered translations, expanded video capabilities, and accelerated content publishing across our digital channels. – Developing AI-powered trip- planning capabilities in partnership with Google – a key step towards enabling a more elevated search experience on IHG's owned site ||| ion to a broad range of travellers, gaining particular traction among younger travellers and those in Asia. Meanwhile, advanced solutions such as AI-powered smart search and integrated trip-planning platforms are redefining how guests research, book and experience travel. Accommodation provider ||| wered trip- planning capabilities in partnership with Google – a key step towards enabling a more elevated search experience on IHG's owned sites. Artificial intelligence is driving significant transformation across the hospitality sector. AI technologies are redefining the end-to-end travel purchase journey and en",no,no,vague_general_ai_reference,DUPG-002,rejected,,
IHG-REJ-006,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.29,AI,B,1,"work with third-party suppliers and invest in leading technology that makes the biggest difference to guests, owners and hotel teams, leveraging AI and cloud-based platforms to streamline operations and drive revenue. Sustainability tools and expertise We have developed tools, training and",no,no,vague_general_ai_reference,,rejected,,
IHG-REJ-007,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.35,artificial intelligence,B,1,"tage of new and improved Food & Beverage redemption rewards. Our technology continues to improve customer service, including solutions powered by artificial intelligence, such as our Digital Concierge chatbot. Newly expanded digital payment solutions were also rolled out on property in partnership with leading pro",no,no,vague_general_ai_reference,,rejected,,
IHG-REJ-008,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.37,AI;generative AI,A;B,2,"s expected to transform most sectors, AI is set to be a game-changer for travel. We are harnessing every dimension – automation, machine learning, generative AI and agentic – while tracking emerging trends to deliver competitive advantage in how we elevate guest experiences, unlock revenue opportunities an ||| loyalty points tracking saving hotel teams time and improving customer satisfaction. Within IHG’s own operations, we have also launched numerous AI-powered automations as part of our ongoing efficiency programmes to sharpen our cost base and boost productivity. 6,800 eligible hotels now featur",no,no,ordinary_automation,DUPG-004,rejected,,
IHG-REJ-009,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.37,AI,B,3,"out beginning in 2026 across our app and all IHG booking websites to support owners in showcasing their hotels more effectively in an increasingly AI-driven world. Our digital partnerships are another way we encourage guests to book through our direct channels and connect with IHG One Rewards vi ||| our revenue management system (RMS), which has now completed rollout across our global estate of 6,800 eligible hotels and is using data science, AI machine learning and forecasting tools to deliver advanced insights. User feedback is very positive, and indicative levels of revenue uplift and ||| includes working with best-in-class suppliers to fulfil specific needs, from cloud-based integration of different technology platforms, to using AI across our distribution and marketing channels to improve customer acquisition and deepen guest relationships. AI is also supporting the lowering",no,no,vague_general_ai_reference,DUPG-005,rejected,,
IHG-REJ-010,IHG Hotels & Resorts,IHG,Annual Report and Form 20-F 2025 -- IHG Hotels & Resorts,IHG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.41,AI;machine learning,B,2,"ear-on-year, with IHG’s direct digital booking channels accounting for over 26% of total room revenue. – Further development in our mobile app and AI-backed digital chatbot technology, resulting in growth in direct mobile and digital bookings. – Boosted loyalty and brand awareness, with over 160 ||| Revenue Management System (RMS), completing the roll-out across our global estate of 6,800 eligible hotels, which utilises leading data science, machine learning and forecasting tools to provide advanced insights and recommendations to owners; and – continued roll-out of next-generation PMS, a cloud-based,",no,no,vague_general_ai_reference,DUPG-006,rejected,,
