staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SGRO-REJ-001,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,artificial intelligence,B,1,"continues to reshape consumer behaviour and the way people communicate and work. The rapid adoption of data-intensive technologies, including Artificial Intelligence, is accelerating the growth of e-commerce, increasing the need for highly efficient logistics space and driving demand for data centres across",no,no,vague_general_ai_reference,,rejected,,
SGRO-REJ-002,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.17,AI,B,4,"tivity, as hyperscalers tend to take new capacity in large increments. These same Availability Zones are also set to benefit from demand related to AI, in particular, the rapid scaling of ‘Inference AI’, also known as the ‘user-interface’. Similar to the Cloud, many of these workloads also need t ||| nce is particularly important. They will therefore naturally gravitate to the same established clusters as current Cloud facilities. By contrast, AI training facilities, which tend to grab much of the media headlines, are latency insensitive and are typically located in more peripheral areas wh ||| re less constrained and energy is cheaper. The Inference market related to business activity is, ultimately, expected to be much larger than the AI training market. We have proactively built one of the largest banks of available power and zoned land in Europe. Our 2.5GW+ data centre pipeline is ||| where demand is expected to be strong, being fuelled by Cloud adoption today and we expect it to be ‘super-charged’ by the widespread adoption of AI. The Simplified Planning Zone (SPZ) in Slough pre-approves planning for both industrial and multi-storey data centre development for the next nin",no,no,vague_general_ai_reference,DUPG-001,rejected,,
SGRO-REJ-003,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.25,automation,B,1,science-based net-zero targets. Priorities for 2026 • Drive further reductions in our corporate and customer emissions. • Continue to increase the automation of the retrieval of our customers’ energy data. • Continue to replace gas with efficient low-carbon heat sources. • Work with our supply chain partne,no,no,ordinary_automation,DUPG-006,rejected,,
SGRO-REJ-004,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.37,AI,B,1,"emerging Availability Zones such as Marseille and Warsaw. These same locations will also benefit from ‘inference’ related Artificial Intelligence (AI) demand, i.e. the user interface, as much of that also needs to be close to end users and prioritises resilience for business workloads, just like",no,no,vague_general_ai_reference,,rejected,,
SGRO-REJ-005,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.58,AI,B,3,"riateness of our response plans including strengthening contracted cyber specialist resources. We have also started using Artificial Intelligence (AI) as part of our wider defence toolset to help defend against attacks by cyber criminals who themselves may be making use of it. Emerging risks In ||| pments, energy and power, climate change-related extreme weather events and corporate growth. Two examples of what we consider are: Technology and AI as a disruptor and opportunity. The full impact of AI and its application to most businesses is impossible to fully assess whilst it currently evo ||| o fully assess whilst it currently evolves at such pace. We believe that peers could gain a competitive advantage through earlier or better use of AI on their platform. The continued adoption of AI by our customers may affect customer demand for our assets. It also creates a significant opportun",no,no,vague_general_ai_reference,DUPG-002,rejected,,
SGRO-REJ-006,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.63,AI,B,1,"se plan was reviewed and enhanced during 2025. We continue regular training for, and testing of, employees including phishing tests and education on AI chatbots. Link to strategy: Overseen by: Executive Committee, Digital Board The market outlook is detailed in the Chief Executive’s statement: page",no,no,vague_general_ai_reference,,rejected,,
SGRO-REJ-007,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.87,AI,B,1,"ps and shape the SEGRO proposition in established high-growth sectors. • Enhance customer reporting, action tracking and information delivery through AI-powered tools. • Support customers in transitioning to lower-carbon energy, underpinned by our solar installation strategy. • Continue to replace gas",no,no,vague_general_ai_reference,,rejected,,
SGRO-REJ-008,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.101,AI,B,1,"gs continued • the Director of Technology & Architecture, who delivered his annual update on developments in cyber security threats (including from AI) and the continued investments by the Company in response, and the current status of cyber security defences; and • the Head of Insurance and Risk",no,no,vague_general_ai_reference,,rejected,,
SGRO-REJ-009,Segro,SGRO,SEGRO plc Annual Report and Accounts 2025,SGRO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.106,AI,B,1,"specialist resources; • pan-European capability; • the proposed audit approach, including reliance on controls and the use of technology (including AI) and data analytics; • the approach to resolving judgemental issues and the quality and availability of technical accounting resources; • proactivi",no,no,audit_analytics,,rejected,,
SGRO-REJ-010,Segro,SGRO,SEGRO plc Annual Report and Accounts 2024,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.2,artificial intelligence,B,1,"allow rapid transit. Data centres house IT infrastructure for building, running and delivering applications and services, including the Cloud and Artificial Intelligence. They are often located close to densely populated areas and major financial centres in clusters known as Availability Zones. Urban warehouses As",no,no,vague_general_ai_reference,,rejected,,
