staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
INF-GOV-001,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"ight balance between innovation and experimentation, and appropriate governance and controls. A major example from the year was the launch of our AI capability, Elysia. Among other things, this has given colleagues new ways to get things done more efficiently, freeing up time for more value-ad",no,no,ai_governance_framework,,governance,,
INF-GOV-002,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.36,AI,B,3,"have invested more in our capabilities so that our controls environment remains robust • The Group Chief Privacy Officer oversees data privacy and AI governance, supported by a dedicated Head of AI Governance. Each division has dedicated privacy managers who guide our product and commercial teams ||| n laws, and consider and communicate any operational impacts • During 2025, in response to such business and market developments, we established an AI governance programme to oversee the development, procurement and deployment of AI systems across Informa, and to make sure these systems comply wi ||| up of senior leaders from relevant areas, which steers key decisions. The programme also includes a policy framework, operational support including AI impact assessments, and mandatory training on AI governance Principal risks and uncertainties continued 9 Attracting and retaining key talent Owner",no,no,ai_governance_framework,DUPG-018,governance,,
INF-GOV-003,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.42,AI,B,1,"brings significant experience in the technology and media sectors to Informa. She is a member of the UK Government Digital Service’s Responsible AI Advisory Panel and Visiting Policy Fellow at the University of Oxford’s Internet Institute, focusing on global developments in online and AI sa",no,no,safeguards_and_responsible_use,,governance,,
INF-GOV-004,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.45,AI,B,1,"exploring the expected benefits for our colleagues and customers. Through the Audit Committee, we also oversaw developments such as the company’s AI governance programme, including the establishment of the AI Council. This Council provides a structured framework for managing AI across the busi",no,no,ai_governance_framework,,governance,,
INF-GOV-005,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.51,AI,B,4,"es to grow, in 2025, the Audit Committee focused on the company’s expansion activities, as well as governance matters around data and the use of AI. We also continued to review technology governance and the work being done to maintain cyber security and prepare for new regulations on material ||| et and the Group have also strengthened the Finance team’s capacity and capability in light of the Group’s continued growth. Improving data and AI governance Amid the dynamic landscape of AI technologies, our focus in 2025 was to make sure that Informa established strong foundations to underp ||| cross-disciplinary colleagues reporting to the Chief Commercial Officer. The Council is responsible for seeing that Informa develops and deploys AI tools in a co-ordinated and responsible way. Its early activities included drafting an AI Governance Charter, which we reviewed and approved. Int ||| AI Governance Charter, which we reviewed and approved. Internal Audit commissioned an external specialist review to evaluate the company’s overall AI governance practices against key elements from recognised best practice frameworks. The Committee reviewed the findings, noting their commendatio",no,no,ai_governance_framework,DUPG-023,governance,,
INF-GOV-006,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.51,AI,B,1,"of AI technologies, our focus in 2025 was to make sure that Informa established strong foundations to underpin the business’s responsible use of AI. To this end, we reviewed and approved the widening of focus of our principal risk dealing with privacy regulation so that it also explicitly inc",no,no,safeguards_and_responsible_use,,governance,,
INF-GOV-007,Informa,INF,Informa Annual Report 2025,INF_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.55,AI;generative AI,A;B,4,"d perception and trust, and to stakeholder expectations. Additionally, we reviewed, discussed and approved both the AI Governance Charter and the Generative AI Use Policy. We were pleased to note the findings of a third-party review of the Group’s AI Governance Strategy, which had validated and commended ||| confirmation that FTPF procedures are fully embedded in the business and have transitioned to standard operations. Strengthening data privacy and AI governance Informa operates in countries and markets with increasingly complex and diverse privacy regulations, including Australia, China and oth ||| Chief Commercial Officer and comprises senior divisional and functional representatives. It has several responsibilities including developing an AI governance charter, setting the risk appetite in conjunction with the Executive Committee, ensuring compliance with AI laws and regulations, and ||| nsideration. The plan is influenced by the Group’s principal and emerging risks. Areas of increased focus in 2025 included a review of the Group’s AI governance, financial controls testing in our Global Business Services teams and assurance over Informa’s second line of defence controls. Each o",no,no,ai_governance_framework,DUPG-026,governance,accept,"REVIEW: confirmed correctly classified as governance. Explicit reference to a 'Generative AI Use Policy' and 'AI Governance Charter' reviewed/approved by the board confirms Informa has a genuine internal AI governance structure, but no operational task or deployment is described -- this is oversight/policy evidence, not an operational GenAI use case."
INF-GOV-008,Informa,INF,Informa Annual Report 2024,INF_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.6,AI,B,1,articularly important. $700m three-year investment by Indian Government in research subscriptions $200bn US tech companies’ 2024 investments in AI (Citi) Expert knowledge is in demand and in growth Strategic Report Informa Annual Report and Accounts 2024 Strategic Report Governance Fina,no,no,ai_governance_framework,,governance,,
INF-GOV-009,Informa,INF,Informa Annual Report 2024,INF_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.32,AI,B,1,"the technology is developing at high speed. So, it merits extra monitoring, and we are paying close attention to the governance around how we use AI, as well as trends in customer use of AI tools. We have also adjusted two principal risks – market risk and privacy regulation risk – to make sur",no,no,ai_governance_framework,,governance,,
INF-GOV-010,Informa,INF,Informa Annual Report 2024,INF_company_annual_report_previous_fy2024.pdf,,annual_report_previous,company_primary,p.47,AI,B,1,rating structure and the leadership team in making the necessary investments to maximise Informa’s growth opportunities and meet its objectives • AI: Monitoring the opportunities and governance framework for AI • Sustainability: how to help develop challenging and appropriate goals for the next,no,no,ai_governance_framework,,governance,,
