staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
DPLM-REJ-001,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.5,automation,B,1,"nologies for critical applications in aerospace, energy, infrastructure, medical and rail. Our businesses provide wires and cables, connectors and automation parts for use in high‑tech industries and equipment, from aircraft and F1 cars to datacentres and medical devices. Our businesses Our businesses O",no,no,ordinary_automation,,rejected,,
DPLM-REJ-002,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.9,automation,B,1,"nce, infrastructure, in vitro diagnostics – and we are seeking opportunities to extend our presence. In other markets – for example, datacentres, automation, clean energy, scientific ‑ we are in the early stages of establishing a presence and are building on the great work that has already been happeni",no,no,ordinary_automation,,rejected,,
DPLM-REJ-003,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.19,automation,B,1,"ave an exciting opportunity to access structurally high‑growth end markets, such as renewables, datacentres, electrification, aerospace, industrial automation, in vitro diagnostics and infrastructure. We have increased our exposure in these markets, but still have a very small share, meaning there is lot",no,no,ordinary_automation,,rejected,,
DPLM-REJ-004,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.20,automation,B,3,"ignificantly grown its presence in attractive growth markets. Some examples include renewables, datacentres, electrification, aerospace, industrial automation, in vitro diagnostics and infrastructure. AEROSPACE DATACENTRES IVD INDUSTRIAL AUTOMATION CLEAN ENERGY WATER Long‑term growth in aerospace is bei ||| d cancer screening, and emerging technologies such as genomics is driving growth opportunities across the sector. Long‑term growth in industrial automation is being driven by manufacturing reshoring, increased adoption by OEMs to address labour shortages, and the replacement and upgrading of ageing ||| and exploratory end markets. ESTABLISHED Supporting long-term structural growth EARLY STAGE EXPLORATORY Aerospace Datacentres Water Defence Automation Energy storage Infrastructure Clean energy Nuclear IVD Scientific",no,no,ordinary_automation,DUPG-001,rejected,,
DPLM-REJ-005,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.20,AI,B,1,"al to aircraft manufacturing, creating significant opportunities for specialised suppliers. Accelerating market growth is being driven by rising AI‑related demands for power, infrastructure, and advanced liquid cooling solutions, creating significant opportunities across the datacentre and te",no,no,vague_general_ai_reference,,rejected,,
DPLM-REJ-006,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.21,automation,B,1,NCE SPAIN OTHER EU ANZ CURRENT ADDRESSABLE MARKET CONTROLS Wire and cable Interconnect solutions Specialty fasteners Specialty adhesives Industrial automation SEALS Seals Gaskets Hoses and fittings Pumps and valves LIFE SCIENCES In vitro diagnostics Medtech Scientific GROWING ADDRESSABLE MARKET New produc,no,no,ordinary_automation,DUPG-006,rejected,,
DPLM-REJ-007,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.25,automation,B,3,"tory solutions. 6% of Sector revenue UK HQ T.I.E. T.I.E. provides components for the specialist repair, servicing and refurbishment of industrial automation equipment for customers in machine shops, metalworking and manufacturing industries. Customers benefit from minimised downtime, technical suppor ||| s completed up to 18 November 2025. WHERE WE SELL Revenue by geography1 WHO WE SELL TO Our end markets WHAT WE SELL Revenue by product1 • Aerospace • Automation • Automotive • Datacentres and digital • Defence • Electrification • Energy • Industrial • Infrastructure • Marine • Medical & pharma • Motorsport • ||| ces. NORTH AMERICA 62% UNITED KINGDOM 16% EUROPE 16% OTHER 6% Wire & cable: 41% Specialty fasteners: 37% Interconnect solutions: 17% Industrial automation: 3% Specialty adhesives: 2%",no,no,ordinary_automation,DUPG-002,rejected,,
DPLM-REJ-008,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.27,automation,B,1,"of improvement in recent months. This follows a period of more challenging performance since its acquisition in 2023, reflecting softness across automation markets. Outlook Our Controls businesses have strong value‑add customer propositions, solid business models and excellent leadership. This posit",no,no,ordinary_automation,,rejected,,
DPLM-REJ-009,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.27,AI,B,1,"cently, the International Controls business leaders met for a two ‑day strategy workshop to explore emerging growth markets, opportunities within AI and collaboration opportunities to increase value ‑add benefits for our global customers. Not only do these sessions generate direct commercial o",no,no,vague_general_ai_reference,,rejected,,
DPLM-REJ-010,Diploma,DPLM,Diploma PLC Annual Report and Accounts 2025,DPLM_company_annual_report_current_fy2025_2025-11.pdf,,annual_report_current,company_primary,p.45,AI,B,1,infrastructure could diminish the demand for wired connections by our wire and cable businesses. Digitalisation of value-add The increasing use of AI and other technologies facilitating the digitalisation of value‑added services may provide customers with access to specialised knowledge current,no,no,vague_general_ai_reference,DUPG-007,rejected,,
