staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
GSK-GOV-001,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,ere trust in science and technology is under pressure. Companies play an important role in embedding ethical guardrails around the use of data and AI and communicating clearly with the public and stakeholders. Action by policymakers is also needed to build a high- quality data environment and reg,no,no,safeguards_and_responsible_use,,governance,,
GSK-GOV-002,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"es, within a culture that builds trust with transparency. This includes embedding our own governance framework for the development and adoption of AI. The landscape is challenging, but we also have an unprecedented opportunity to move towards new models of care that strengthen access to innovatio",no,no,ai_governance_framework,,governance,,
GSK-GOV-003,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.59,AI,B,4,"tential. As these technologies evolve, we must use them responsibly and ethically. With the increasing volume and sensitivity of data processed by AI/ML, our focus extends beyond regulatory compliance to robust data governance, ethical safeguards, and embedding privacy into every project from the ||| nto every project from the very start. We uphold high standards of data ethics and privacy and require our partners to do the same. Our Responsible AI framework is embedded across the enterprise through governance, oversight and operational controls. Our cross-functional AI Governance Council (AIG ||| t and operational controls. Our cross-functional AI Governance Council (AIGC) sets enterprise-wide governance and standards to foster a responsible AI/ML ecosystem. It monitors the external regulatory landscape and anticipates emerging risks. We continue to embed our AI governance, policy, princip ||| ontinue to embed our AI governance, policy, principles and procedures. GSK businesses and global functions conduct risk-based assessments to ensure AI systems align with our AI principles and the ethical standards set out in The Code. Our public policy position on responsible AI sets out our view",no,no,ai_governance_framework,DUPG-007,governance,,
GSK-GOV-004,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.59,AI,B,2,"n 2025, 92% of direct high-risk suppliers achieved GSK’s minimum Ecovadis score, or have an improvement plan in place. Responsible use of data and AI Data is critical for achieving our goals for patients, and advancements in artificial intelligence (AI) and machine learning (ML) offer huge potent ||| n, engaging with policymakers to promote innovation while protecting safety and trust. Human oversight is a foundational element of our Responsible AI framework. This year, we continued to provide two types of training for our people: general enterprise training on the basics of AI and how to use",no,no,safeguards_and_responsible_use,DUPG-008,governance,,
GSK-GOV-005,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.66,AI,B,2,"k assessments are comprehensive and integrated, enabling effective mitigating actions. We have policies and frameworks governing the application of AI with enterprise oversight and governance provided by Group General Counsel and Chief Digital and Technology Officer to ensure that AI-related initi ||| ge 289 Climate-related risk management and climate-related financial disclosures – see page 69 Environment – see page 52 Responsible use of data and AI – see page 57 Viability statement – see page 78 Legal proceedings – see page 269 Strategic report Corporate governance Financial statements Investor",no,no,ai_governance_framework,DUPG-010,governance,,
GSK-GOV-006,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.67,AI,B,1,"vernance. For more context on key themes in our external environment, including rapid acceleration and adoption of advanced technologies, including AI, see page 11 Strategic report Corporate governance Financial statements Investor information GSK Annual Report 2025 Risk management continued 65",no,no,ai_governance_framework,,governance,,
GSK-GOV-007,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.70,AI,B,1,"ws. Supply continuity remains consistently high as we make changes to our manufacturing platform technologies and launch new pipeline assets, using AI in a targeted way. Strategic report Corporate governance Financial statements Investor information GSK Annual Report 2025 2025 principal risks summar",no,no,ai_governance_framework,,governance,,
GSK-GOV-008,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.118,AI,B,1,6 to 2031 (50%) Post-2031 (30%) Financial Performance Pipeline Technology Shareholder Returns Valuation Communication Audit & Risk – Cyber security – AI Governance – Responsible Business reporting – Audit tender process Remuneration – 2024–25 Performance reward – 2025 Remuneration Policy Corporate Re,no,no,ai_governance_framework,,governance,,
GSK-GOV-009,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.137,AI,B,1,"plemented in phases, with the controlled introduction due to be completed by the end of 2026. The Committee will monitor progress during the year. AI use and governance: The Committee was pleased to track the partnership between Tech and Legal & Compliance to respond proactively to the evolving c",no,no,ai_governance_framework,,governance,,
GSK-GOV-010,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.138,AI;agentic AI,A;B,4,"forward to updates on how the Council progresses its key focus areas, which include: – strengthening controls for more autonomous, decision-making agentic AI systems – continuing to mature governance practices across the business and – completing an external benchmarking exercise to provide independent a ||| adoption of AI across GSK to drive innovation, growth and productivity to accelerate our purpose. The Committee continued to review the work of the AI Governance Council (Council) in overseeing the integrity and strength of these guardrails. During the year, the Committee discussed oversight of e ||| nce Council (Council) in overseeing the integrity and strength of these guardrails. During the year, the Committee discussed oversight of emerging AI systems trends and software. This included the design and development of AI agent (agentic) systems and, critically, the governance controls and se ||| protocols. The Committee stressed that as a guiding principle management should keep in mind not only the productivity and efficiency benefits that AI tools, software and systems could deliver for GSK, but also their limitations. The Committee reiterated that strong AI governance was vital to prot",no,no,ai_governance_framework,DUPG-015,governance,accept,"REVIEW: confirmed correctly classified as governance. Genuine AI Governance Council content (oversight of agentic AI systems, governance controls, guardrails) -- no operational task or deployment described, this is oversight/policy evidence."
