company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.21,AI,B,"ood, efficient operations and employing and training our people. We are also investing in the latest technology, such as artificial intelligence (AI), and SAF. 29.5 pts NPS We are committed to rewarding our shareholders. Offering a sustainable, progressive dividend delivers a regular, reliable",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.25,AI,B,"customers for remote aircraft slots • Enhanced digital capabilities and communications: All airlines are leveraging new technologies, in particular AI, to improve customer experience, including Live Flight Status added to the Aer Lingus app. Iberia launched real-time omnichannel and automated dela",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.26,AI,B,"structured development programmes, mentoring, competency frameworks and succession planning • Invested in future-ready skills through the Group-led AI Academy, with certified AI champions empowering teams to adopt innovative technologies responsibly and effectively Strategic Report Corporate Gov",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.29,AI,B,"such as UK Air Passenger Duty and EU VAT revision • Digitalisation, including data-driven border control, digital mobility platform oversight and AI integration in aviation • Supply chain pressures, impacts of the war in Ukraine and the Middle East and related sanctions • The Government Affairs d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.46,AI,B,"the disability community – such as by chairing IATA’s global Accessibility Working Group – to improve outcomes for customers. Digitalisation and AI trends 2025 marked significant progress in digital market regulation for aviation. Following the August 2024 EU AI Act, EASA proposed new rules fo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.46,AI,B,"2025 marked significant progress in digital market regulation for aviation. Following the August 2024 EU AI Act, EASA proposed new rules for safe AI integration. EU and UK regulators increased oversight of digital mobility to promote fair competition and consumer protection. In March, the Euro",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.50,AI,B,"er base and launching new commercial initiatives such as ancillary bundling, new distribution capability and enhanced loyalty at speed. As we scale AI-powered fuel-efficiency measures, complete our supplier optimisation pipeline and expand data and AI automation alongside our retail and personalis",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.54,AI,B,"nt benefits across revenue, operations and customer experience.” Lynne Embleton Chair and Chief Executive Officer of Aer Lingus Aer Lingus deploys AI to optimise engine maintenance This project shows how Aer Lingus and IAG use AI to work smarter, embrace new technologies and build a more flexible",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.55,AI,B,"including Salesforce, Databricks and Connected Crew. Our Data Driven Organisation programme equipped employees with skills in data, analytics and AI. Ground operations, maintenance and engineering teams have embraced new ways of working that are delivering real results. Our commitment to a new",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
International Airlines Group,IAG,,IAG_company_annual_report_current_fy2025_2025.pdf,p.55,AI,B,"nsatlantic operations and redeploy the assets aligned with strategic priorities. Our transformation will continue, with a busy pipeline of data and AI initiatives to enhance operations, reduce costs and elevate customer experience. Strategic Report Corporate Governance Financial Statements Susta",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
