staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
RKT-REJ-001,Reckitt,RKT,Reckitt's First GenAI Results Demonstrate Changing Face of Marketing During Cannes Lions International Festival of Creativity,RKT_company_press_release_reckitt-s-first-genai-results-demonstrate-changing-face-of-m_2024-06-21.html,,press_release,company_primary,not_applicable,GenAI,A,1,===== HTML DOCUMENT ===== Source file: RKT_company_press_release_reckitt-s-first-genai-results-demonstrate-changing-face-of-m_2024-06-21.html Title: Reckitt.com Skip to content Our Company Back Our Company We are Reckitt. Home to t,no,yes,webpage_boilerplate,,rejected,,
RKT-REJ-002,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.5,GenAI,A,1,"e Reckitt’s corporate culture firsthand. For example, a visit to our Science & Innovation Centre in Hull demonstrated how digital improvements and GenAI are expanding Reckitt’s R&D capabilities, and we dug into our local partnerships and community outreach, which are hugely important in this city",no,no,vague_general_ai_reference,,rejected,,
RKT-REJ-003,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.7,generative AI,A,1,"breaking ceremony at our new R&D Centre in Shanghai, China Embedding digital and data is central to Reckitt’s transformation. In 2025, we utilised generative AI tools to drive more efficient concept generation and content creation. This drove sharper targeting and improved campaign effectiveness across sev",no,no,vague_general_ai_reference,,rejected,,
RKT-REJ-004,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.8,AI,B,1,"savings programme continued to deliver, supported by organisational simplification, global shared services, and early benefits from automation and AI. Fixed costs 1 reduced to 19.4% of net revenue, creating headroom to reinvest in our brands, innovation capabilities and supply chain resilience,",no,no,ordinary_automation,,rejected,,
RKT-REJ-005,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,Bedrock,A,1,"nd hygiene company FOUNDATION Our core differentiators We create and build Powerbrands… Our distinctive culture, people and Powerbrands are the bedrock of our sustained success. Accountability and a relentless focus on delivery, coupled with a sharp Core Reckitt portfolio and clear value creatio",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: confirmed correctly rejected -- extraction-adjacent false positive: 'bedrock' used metaphorically ('bedrock of our sustained success'), not Amazon Bedrock or any generative-AI product."
RKT-REJ-006,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"apability embedded throughout execution Digitally enabled platforms now give teams a single view from planning to activation. Advanced analytics, AI-supported planning, enhanced measurement tools and digital pricing systems improve forecast accuracy, sharpen responsiveness and help teams act q",no,no,vague_general_ai_reference,,rejected,,
RKT-REJ-007,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,generative AI,A,2,"amme is simplifying how we operate, right sizing our investments, embedding automation and shared services, and integrating digital processes and generative AI. Early benefits have already come through this year from organisational simplification and right-sizing legacy investments. The next two years wil ||| l simplification and right-sizing legacy investments. The next two years will bring benefits which come from global shared service, automation and generative AI.",no,no,ordinary_automation,DUPG-001,rejected,,
RKT-REJ-008,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.20,generative AI,A,2,"to maximise our impact across the full lifecycle of the consumer journey. This is not only going to help us build our brands for today, but with generative AI coming into the mix, having a strong foundation across brands and how we build them enables us to fully leverage the capability these tools bring. ||| oming into the mix, having a strong foundation across brands and how we build them enables us to fully leverage the capability these tools bring. Generative AI is significantly changing our ability to be able to tap into the rich consumer data we hold in a way that will drive our business. We have built a",no,no,vague_general_ai_reference,DUPG-002,rejected,,
RKT-REJ-009,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.21,automation,B,1,"d locally, enabling stronger prioritisation and accountable execution in complex markets. Progress to date: c.75% 2025 contribution: ~25bps 3 Automation and shared services Work is underway to roll out fully standardised, end-to-end processes across finance, IT&D, supply and HR. They are underpin",no,no,ordinary_automation,,rejected,,
RKT-REJ-010,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.21,generative AI,A,1,"are adopted at scale. Progress to date: c.25% 2025 contribution: 0bps (reflecting phasing, with larger benefits in later years) 4 Digital and generative AI These capabilities are now being deployed across core business processes and are already embedded into ways of working in marketing. The same app",no,no,vague_general_ai_reference,,rejected,,
RKT-REJ-011,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"continue to enhance how teams plan, execute and optimise performance. Upgraded analytics platforms, stronger data integration and targeted use of AI have improved forecasting, activation and measurement across markets. These tools are making decisions faster and more precise, supporting more co",no,no,vague_general_ai_reference,,rejected,,
RKT-REJ-012,Reckitt,RKT,Reckitt Annual Report and Accounts 2025,RKT_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.37,automation,B,1,"), recent launches online drove increased penetration and market share. In India (high-single-digit LFL net revenue growth), enhanced sales force automation has driven distribution reach across the country, with a double-digit increase in towns covered, and enhanced in-store execution. All categories",no,no,ordinary_automation,,rejected,,
