company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.15,artificial intelligence,B,"ions. It is also intertwined with climate change and is a precondition to many of the available decarbonisation pathways. The rapid development of artificial intelligence is accelerating these trends, creating opportunities not previously possible. However, the benefits of this shift are not evenly distributed. Certa",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.15,automation,B,"anagement, enterprise resource planning software as well as managed services and cloud solutions. xSuite provides accounts payable invoice process automation applications. Evernex maintains IT equipment that is critical for customers’ business continuity. Luqom, VakantieDiscounter and Konges Sløjd benef",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.57,GenAI,A,"ormal specialist training on areas and skills including presentation and communication skills, procurement and maximisation of portfolio potential, GenAI and science-based emissions reduction targets. We also offered executive coaching for some employees. Our investment executives regularly receive",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.85,artificial intelligence,B,"meeting. In FY2025, the GRC covered the following: • a review of the Group’s IT framework including cyber security, systems developments, the use of artificial intelligence tools, IT provider concentration risk, and IT resilience; • an update on the Group’s business continuity and resilience planning and testing, inclu",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.87,artificial intelligence,B,"eflecting greater digital-dependency and use of online platforms within 3i and certain large portfolio companies, and a heightened and increasingly artificial intelligence enabled threat landscape. The Group’s principal risk mitigation plans, which are subject to regular review by the GRC, have not required any notabl",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.89,artificial intelligence,B,"ed on the GRC’s assessment. During the year, cyber risks was promoted from the watch list to a principal risk and broadened to include the impact of artificial intelligence technology. The other risks on the watch list are unchanged from last year and have continued to evolve. These include: • external environment – U",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.114,generative AI,A,"he global macro-economic climate and current geopolitical uncertainties, to delivering growth through buy-and-build and the latest advancements in Generative AI. We held a CTO Forum with 25 CTOs from across our private equity and infrastructure portfolio. Discussions explored the importance of IT in busines",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.114,GenAI,A,"e portfolio. Discussions explored the importance of IT in business strategy and delivering a successful ERP transformation, as well as sessions on GenAI and cybersecurity. We also held a CTO Artificial Intelligence webinar where colleagues shared progress and learnings on the GenAI landscape. We are",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.115,generative AI,A,"he global macro-economic climate and current geopolitical uncertainties, to delivering growth through buy-and-build and the latest advancements in Generative AI. We held a CTO Forum with 25 CTOs from across our private equity and infrastructure portfolio. Discussions explored the importance of IT in busines",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.115,GenAI,A,"e portfolio. Discussions explored the importance of IT in business strategy and delivering a successful ERP transformation, as well as sessions on GenAI and cybersecurity. We also held a CTO Artificial Intelligence webinar where colleagues shared progress and learnings on the GenAI landscape. We are",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.120,generative AI,A,"the senior management team who in turn arrange, as required, visits to investment or support teams. In the year, Directors received presentations on Generative AI and the economic outlook, in addition to presentations given by the CEOs and Private Equity investment teams of a number of portfolio companies. T",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.121,generative AI,A,"the senior management team who in turn arrange, as required, visits to investment or support teams. In the year, Directors received presentations on Generative AI and the economic outlook, in addition to presentations given by the CEOs and Private Equity investment teams of a number of portfolio companies. T",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.123,AI,B,"ed a new treasury management system and HR system in FY2025, and are progressing well with a new ERP system. The Committee was also updated on the AI initiatives across the Group and our portfolio companies. In anticipation of the new requirements under provision 29, applicable to financial years",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.123,artificial intelligence,B,"p which encompasses our IT strategy, cyber security, key system implementations, data strategy and architecture and emerging technologies including artificial intelligence. Management have successfully implemented a new treasury management system and HR system in FY2025, and are progressing well with a new ERP system",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.212,automation,B,products serving the medical device market US 2014 Earnings xSuite* Private Equity 98 93 122 98 £5 million invested to Accounts payable process automation specialist focused on the SAP ecosystem Germany support the acquisition 2022 of tangro in June 2024 Earnings BoConcept* Private Equity 131 121 1,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_current_fy2024-25_2025-05.pdf,p.213,automation,B,products serving the medical device market US 2014 Earnings xSuite* Private Equity 98 93 122 98 £5 million invested to Accounts payable process automation specialist focused on the SAP ecosystem Germany support the acquisition 2022 of tangro in June 2024 Earnings BoConcept* Private Equity 131 121 1,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.11,automation,B,"inancial, strategic and operational performance. Its new factory in Rotherham became operational in the year and is equipped with state-of-the-art automation in production and storage, resulting in increased capacity and efficiency. WP delivered good volume growth in 2023, outperforming the wider market.",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.15,artificial intelligence,B,"tions. It is also intertwined with climate change and is a precondition to many of the available decarbonisation pathways. The rapid development of artificial intelligence is accelerating these trends, creating opportunities not previously possible. However, not all segments of the economy participate equally in this",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.15,automation,B,"ity portfolio, MAIT provides SMEs with IT solutions that focus on process optimisation and digitalisation. xSuite provides accounts payable process automation applications. Evernex maintains IT equipment that is critical for customers’ business continuity. Luqom, VakantieDiscounter and Konges Sløjd opera",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.33,automation,B,"er year of strong performance in 2023, driven by order volume growth across its global end-markets. The business continued to progress reliability, automation and capacity and completed the bolt-on acquisition of Triseal, an Australian sealing technology provider. A combination of good demand in personal",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.85,artificial intelligence,B,"meeting. In FY2024, the GRC covered the following: • a review of the Group’s IT framework including cyber security, systems developments, the use of Artificial Intelligence tools, and IT resilience; • an update on the Group’s business continuity and resilience planning and testing, including oversight of third-party su",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.90,AI,B,"e reclassified as principal risks and vice versa based on the GRC’s assessment. During the year, the risk of the “Impact of Artificial Intelligence (AI)” was added to the watch list. The risk mitigation steps taken included the introduction of a specific Group AI policy and the formation of an AI",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
3i,III,,III_company_annual_report_previous_fy2023-24_2024-05.pdf,p.90,AI,B,"tion of a specific Group AI policy and the formation of an AI steering group to make recommendations on the selection, assessment and deployment of AI tools and to promote training and awareness. The other risks on the watch list remain unchanged from last year. These include: • external environ",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
