company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"nd Google, have helped us to accelerate and scale our technology strategy, and in turn, increase productivity. In addition, our newly established AI Research Office is at the forefront of cutting-edge research, leading responsible innovation and building further AI capabilities for the bank. Ou",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"ly strengthened our innovation pipeline. These initiatives give us early access to new and emerging technologies. By providing all colleagues with AI tools to support their daily work, we have freed up capacity to better meet customers’ immediate needs and understand their future requirements. A",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.12,AI,B,"future strength will be decided by how seamlessly a bank operates in service of its customers. Harnessed correctly, technological advancement and AI can be a game-changing accelerant, reducing complexity and removing bureaucracy to help make decisions faster, deepen relationships and deliver tr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.12,AI,B,"we are focused on keeping customers safe, protecting them from new and emerging risks, and leading in the responsible and ethical use of data and AI. To realise our ambition, it’s essential we drive active balance sheet and risk management. We are bringing more dynamism to how we manage pricing",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.22,AI,B,"from 10.0 days in 2024 51% of internal and external business service applications on the cloud in 2025 (2024 – 44%) >12,000 coders have access to AI coding assistants Bank-wide simplification Our focus on bank-wide simplification enabled us to reduce complexity in our operating model, drive long-",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"voice for business in 2025, convening our inaugural Mid-Market Growth Council meeting to support mid-market companies. • Through NatWest Group’s AI Centre of Excellence, we continued to develop the use of AI technologies to enhance our defensive capabilities against the threat of bad actors u",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.24,AI,B,"re of Excellence, we continued to develop the use of AI technologies to enhance our defensive capabilities against the threat of bad actors using AI and machine learning for deep fakes and advanced phishing. • We enhanced our approach to identity and access management to safeguard sensitive i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.24,automation,B,"25: • The Security Operations Centre expanded its team of analysts in 2025, increasing coverage of real-time monitoring, backed by investment in automation. This enabled an increasingly rapid response to threats. • Assurance processes continued to be enhanced to ensure new products and services have",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.25,generative AI,A,"climate-related risks and opportunities The financial services industry is undergoing rapid transformation, driven by accelerated advancements in generative AI, digital technology and data capabilities. These changes are reshaping business models, customer expectations, and risk landscapes. Our response Na",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.25,Copilot,A,"elves standards for responsible AI with our AI and Data Ethics Code of Conduct. In 2025, we rolled out AI tools including GitLab Duo and Microsoft Copilot to colleagues to help meet customer needs safely and responsibly. Scaling our capabilities in technology We operate in a highly-regulated marke",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.25,AI,B,"e changes are reshaping business models, customer expectations, and risk landscapes. Our response NatWest Group is aiming to be a trusted leader in AI-enabled financial services, investing in AI at scale and modernising our digital services: • We’re transforming our data estate to provide a singl",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.25,AI,B,"vide a single view of each customer and better anticipate customers’ needs. We have formed strategic partnerships to help us build a centralised, AI-powered data platform, empowering colleagues, and enabling real-time customer engagement. • We’ve embedded AI in our customer journeys to improve",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.25,AI,B,"mpowering colleagues, and enabling real-time customer engagement. • We’ve embedded AI in our customer journeys to improve the customer experience. AI tools, such as Cora, our virtual assistant, are improving timeliness and quality of responses to customers, and AI has reduced complaints handling",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.25,AI,B,"to customers, and AI has reduced complaints handling time by c.19 minutes per case, saving the equivalent of over 22,000 hours in 2025. • We use AI to aid in the detection and prevention of fraud and financial crime, with innovations like Tunic Pay enhancing risk assessment and customer protec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.28,AI,B,"ed to rank first among UK banks in the Payment Systems Regulator league tables. Customers’ expectations continue to evolve at pace and we are using AI to create a more connected, agile, and personalised experience for our customers. Cora, our virtual assistant, handled millions of conversations e",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.28,AI,B,"istant, handled millions of conversations each month, giving customers quick, easy access to help whenever they needed it. We are also leveraging AI to remove complexity for colleagues, saving over 70,000 hours through automated call and chat summaries and another 17,500 hours through faster, h",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.28,AI,B,"mated call and chat summaries and another 17,500 hours through faster, high- quality complaint responses. Colleagues completed over 20,000 hours of AI learning in 2025 and more than 12,000 engineers bankwide now have access to AI coding assistants, supporting efficiency and faster feature deploy",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
NatWest Group,NWG,,NWG_company_annual_report_current_fy2025_2026-02.pdf,p.31,AI,B,"Business performance review continued Additionally, the implementation of AI tools has delivered notable efficiencies. For example, by reducing call summarisation time by more than 70% we have been able to increase the amo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
