company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.6,AI,B,__ 14 CONTROLLING COSTS TO DELIVER GROWTH _______________________________________________________________________________ 17 NEXT’S APPROACH TO AI ___________________________________________________________________________________________________________ 18 ACCELERATING WAREHOUSE INVESTMENT __,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.7,AI,B,__ 14 CONTROLLING COSTS TO DELIVER GROWTH _______________________________________________________________________________ 17 NEXT’S APPROACH TO AI ___________________________________________________________________________________________________________ 18 ACCELERATING WAREHOUSE INVESTMENT __,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.9,AI,B,"ranges (page 9) and driving growth overseas (page 14). We explain why controlling fixed costs will be central to driving growth (page 17), and how AI can – amongst other things – help in that task (page 18). Recent growth means we must accelerate our warehouse investment programme (page 20) but a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.12,AI,B,"e made significant improvements to our in-house Product and Data management systems. This has allowed us to introduce a new workflow system and use AI to assist with sales forecasting, sizing ratios and optimising markdown prices. The challenge now is to make sure that we get a return on the inv",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.13,AI,B,"e made significant improvements to our in-house Product and Data management systems. This has allowed us to introduce a new workflow system and use AI to assist with sales forecasting, sizing ratios and optimising markdown prices. The challenge now is to make sure that we get a return on the inv",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.19,AI,B,"we have done over five years to modernise our major software applications and make our data more usable, positions us to harness the potential for AI to improve productivity in virtually every area of the business. 9 Technology cash costs (revenue costs less depreciation plus capex). 17 Stra",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,agentic AI,A,"livering new software faster and for less cost. But there is much more to do. We are setting up the AI infrastructure with the aim of incorporating agentic AI in our end-to-end software development process. So, not just using AI to assist in the various tasks of specification, coding, testing, deployment",likely_genai,medium,"Stage A high-precision generative-AI term 'agentic AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,NEXT’S APPROACH TO AI In most areas we are only scratching the surface of what AI can do for the business. This section sets out the approach we are taking to ensuring,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,"ing the surface of what AI can do for the business. This section sets out the approach we are taking to ensuring we harness as much of the power of AI as possible. NO ‘ AI DEPARTMENT’ We are not developing a central AI function. The benefits AI can bring to software development, range development",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,"r challenges so different, that generic advice from a central function would be little more use than a central Spreadsheet Department. The value of AI lies in the applications it supports, not the technology itself, and those best placed to understand the applications are the people who use them ev",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,"technology itself, and those best placed to understand the applications are the people who use them every day. Without their input and leadership, AI becomes a solution looking for a problem to solve. Our IT department ensures that the AI technologies we use across the Group are secure and cost e",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,"solve. Our IT department ensures that the AI technologies we use across the Group are secure and cost effective. And, although we have no central AI department, NEXT’s way of working is collaborative – cross fertilisation of ideas, sharing of best practices and key people is part of the way we wo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,front help those still finding their feet. PROGRESS AND OPPORTUNITIES Progress It has been down to our divisional directors to advance the use of AI in their areas. The speed at which various divisions have found practical applications for AI has been very different. The progress of three divis,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,"The progress of three divisions illustrates what we have been doing: TECHNOLOGY Unsurprisingly, our Technology teams have made good tactical use of AI. In most areas, teams are using co-pilot software assistants and deploying large language models to document new specifications. We are already se",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Next plc,NXT,,NXT_company_annual_report_current_fy2025-26.pdf,p.20,AI,B,"e development process. So, not just using AI to assist in the various tasks of specification, coding, testing, deployment and monitoring; but using AI agents to do some of the work and to pass work between these tasks. CONTACT CENTRES AI has been used in our Contact Centres for some time and has a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
