staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
DGE-REJ-001,Diageo,DGE,Diageo unveils its First Bottle Personalisation Experience Fuelled by Generative AI,DGE_company_press_release_diageo-unveils-its-first-bottle-personalisation-experience-f_2024-07-23.html,,press_release,company_primary,not_applicable,generative AI,A,1,"o-unveils-its-first-bottle-personalisation-experience-f_2024-07-23.html Title: Diageo unveils its First Bottle Personalisation Experience, Fuelled by Generative AI | Diageo Skip to main content Link to Homepage Diageo Logo For Homepage Link toOur business page Our business We're a global leader in premium",no,yes,webpage_boilerplate,,rejected,,
DGE-REJ-002,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.7,AI,B,1,"ch we actively champion. Exploration We are enabling greater discovery and personalisation through digital tools like 'What's Your Whisky', using AI to recommend serves. Convenience To meet demand for accessible, high-quality offerings, we have expanded our ready-to-drink portfolio with excitin",no,no,vague_general_ai_reference,,rejected,,
DGE-REJ-003,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,AI,B,1,ng pre-bottling allocations – maximising the value of our premium whiskies through a digital marketplace. • Maturation performance – using data and AI to target the ‘angels' share’ and improve maturation yield. • Liquid logistics – synchronising our cask-to-bottle flows of wood and whisky. This,no,no,vague_general_ai_reference,,rejected,,
DGE-REJ-004,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"ng development spend. Development costs were reduced to 14% in fiscal 25 (fiscal 24: 21%), this reduction was driven by the accelerated adoption of AI-enabled content creation (Virtual Content Studios) and operational model changes, including the launch of Agile Brand Communities and Conscious Cre",no,no,vague_general_ai_reference,,rejected,,
DGE-REJ-005,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.22,AI,B,1,"of Brand Building (DWBB) has been updated in fiscal 25 to integrate the very latest in consumer trends, marketing science and technology including AI. We piloted a five-day training programme in North America and South, West and Central Africa, and launched an online DWBB training hub for all emp",no,no,vague_general_ai_reference,,rejected,,
DGE-REJ-006,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.23,artificial intelligence,B,1,"chnology roadmap features digital solutions, automation, forklift truck advancements including camera technology, manual handling wearable kits and artificial intelligence, each contributing to better health and safety performance. During fiscal 25, over $40 million was invested in shuttle warehousing, where casks are",no,no,ordinary_automation,,rejected,,
DGE-REJ-007,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"s part of a wider global health and safety awareness week. The topics included in the campaign focused on revolutionising health and safety through AI and digital technologies, launch of a process safety senior leadership observation tour and a high-level overview of the recent culture assessment.",no,no,vague_general_ai_reference,,rejected,,
DGE-REJ-008,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.24,AI,B,2,"roven track record of compliance, which is underpinned by appropriate checks in every market we operate in. This year we have tested and deployed an AI-based assistant to support human DMC reviews, which has reduced the time needed to review content, whilst keeping the highest standard of complianc ||| ts. We continue to train and test the system with new creative assets, and as the accuracy improves, more users will be adopting the technology for AI assisted reviews. We regularly review reporting from advertising monitoring and industry bodies across key markets, for breaches of self-regulatory",no,no,vague_general_ai_reference,DUPG-001,rejected,,
DGE-REJ-009,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.36,AI;generative AI;machine learning,A;B,4,"Core mitigations Developments in fiscal 25 Change in mitigation Risk Appetite • We utilise a generative AI-chatbot for real-time learning, revised ransomware response protocols and improved phishing simulation outcomes, while deploying Privileged Iden ||| s reflect a rise in phishing scams, ransomware attacks, unauthorised access through stolen credentials, growing risk of data leakage and shadow AI associated with rising use of AI technologies. There has also been an increase in deepfake deception and impersonation attack (e.g. through What ||| nology-enabled leisure, alcohol alternatives and the emergence of a significant number of new legal purchase age consumers. Longer term, the rise of AI is expected to transform manufacturing, brand building, distribution and enable personalised consumption. Consumer demand is also being shaped by ch ||| nd respond to the demand changes. • Upgrades to the Demand Radar tool to provide dynamic short- term forecasts integrating retail sales data and machine learning. • Development of an integrated demand insight program, for comprehensive consumer demand analysis and standardisation of the 'Where to Play' s",no,no,vague_general_ai_reference,DUPG-002,rejected,correct,"REVIEW: does not belong in rejected -- explicit 'generative AI-chatbot' used for real-time learning and phishing-simulation cybersecurity training, a distinct task/business function from the bottle-personalisation and cocktail-pairing candidates. Corrected and promoted to operational as DGE-OP-002."
DGE-REJ-010,Diageo,DGE,Diageo Annual Report 2025,DGE_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.48,AI,B,1,"ing and pipeline at executive and senior management level. • Ensure continuation of board-level knowledge while considering technical areas such as AI, digital and public policy amongst others. • Review alternative models for the current composition for Board committee membership. • Continue to foc",no,no,vague_general_ai_reference,,rejected,,
