staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
LMP-REJ-001,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.16,automation,B,1,"ral tailwinds remaining strong from continued online sales growth, investment in more efficient and resilient supply chains and increased warehouse automation. Take up of logistics warehousing over the last year was in line with the prior year at around 20 million sq ft. Whilst the UK logistics vacancy ra",no,no,ordinary_automation,,rejected,,
LMP-REJ-002,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.17,Bedrock,A,1,"ssets and provides incredible income let to strong operators, with inflation protection and attractive income compounding qualities which form the bedrock of our dividend. It is 99% occupied, offers a topped up NIY of 5.5%, a WAULT of 23 years and contractual rental uplifts on 90% of income. The real",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-003,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.22,automation,B,1,"al tailwinds remaining strong from continued online sales growth, investment in more efficient and resilient supply chains and increased warehouse automation. Take up of logistics warehousing over the last year was in line with the prior year at around 20 million sq ft. Whilst logistics vacancy rate has",no,no,ordinary_automation,,rejected,,
LMP-REJ-004,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.83,AI,B,1,"nually strives to monitor and improve processes, including those relating to cyber security, so that they remain fit for purpose. The rising use of AI, however, is fuelling an increasing and ever-evolving risk to all businesses in terms of the frequency, sophistication and intensity of cyber threa",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-005,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.87,automation,B,1,"e sector continues to benefit from continued online sales growth, investment in more efficient and resilient supply chains and increased warehouse automation. £188.9 million of this was into urban which remains the most attractive sub-sector with the greatest demand/supply tension and income growth poten",no,no,ordinary_automation,,rejected,,
LMP-REJ-006,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.106,AI,B,1,"ning the right assets and avoiding the losers • A cting responsibly and ensuring we are a desirable employer • C autiously embracing technology and AI • M aintain a progressive and covered dividend Opportunities and challenges were discussed and included market liquidity, improving yields, an infl",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-007,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.107,AI,B,1,"ional topics including on transactions, tenant and market intelligence, strategy, financial results, LXi systems migration, ESG, cyber security and AI. Additionally, certain Team members also attend periodic Board lunches/dinners where strategy is discussed enabling fresh ideas and wider perspecti",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-008,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.108,AI,B,1,"provided this year on the internal performance review, succession planning, strategy, debt and hedging, cyber security, portfolio credit strength, AI and ESG. Directors also receive transactional papers for review and approval between meetings, with ratifications at the next Board meeting. Senior",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-009,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.114,AI,B,1,"management and external advisors on various matters including regulatory and accounting updates, Code compliance, debt and hedging, cyber security, AI, tenant covenants and ESG. Diversity and inclusion We recognise the importance of diversity in its broadest sense and its benefits to the organisati",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-010,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2025,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,,annual_report_current,company_primary,p.118,AI,B,1,"logy, purpose and culture • M ake more time for discussion on strategic intent i.e. ‘What next?’ in terms of where future growth will come from • AI paper and presentation from the Strategy Director provided to the Board • E xtended strategy discussion at September Board meeting The key fin",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-011,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2024,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.21,automation,B,1,"ilwinds for the logistic sector remain strong, namely continued online sales growth, reshoring activities, rewiring of supply chains and warehouse automation. After several years of materially stronger than average occupational demand for logistics in the UK, take up for 2023 fell back to be more in lin",no,no,ordinary_automation,,rejected,,
LMP-REJ-012,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2024,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.22,Bedrock,A,1,"plifts on 90% of income. This provides incredibly strong income with inflation protection and attractive income compounding qualities forming the bedrock of our attractive dividend. The LXi merger added £2.6 billion of long income assets, increasing the value of our long income portfolio to £3.2 bil",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-013,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2024,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.89,AI,B,1,"scussed at Board level. No new emerging risks were identified during the year but we are alert to the pace of technological advances, particularly AI and are conducting research not only into how AI is being employed across industries and its impact on processes and space requirements but also h",no,no,vague_general_ai_reference,,rejected,,
LMP-REJ-014,LondonMetric Property,LMP,LondonMetric Property Plc Annual Report 2024,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,,annual_report_previous,company_primary,p.110,AI,B,1,of the Senior Leadership Team Board leadership and company purpose Management team 25% Female representation of SLT (excluding Executive Directors) AI FA I LondonMetric Property Plc An nual Report and Accounts 2024 108,no,no,vague_general_ai_reference,,rejected,,
