staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PSN-REJ-001,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.17,AI,B,2,"iciency, by not only shortening build times but also reducing demand for scarce labour. We are looking to innovate and further increase our use of AI, including seeking out new opportunities to leverage advanced tools for compliance, site management, and land assessment. By exploring AI-powered i ||| then decision making and enhance operational efficiency across our core business areas. To support this, we have launched a pilot Persimmon Data & AI Academy to build practical, immediately usable data and AI capability across the organisation. The first cohort of colleagues will begin their trai",no,no,vague_general_ai_reference,DUPG-001,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail. Confirmed genuine no-disclosure company for generative AI specifically."
PSN-REJ-002,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.27,AI,B,1,"Performance Development Review model has enabled more meaningful career conversations, while targeted secondments and stretch projects, such as our AI working group, have opened new pathways for development. Chantelle Muir’s achievement as the first female bricklayer to reach the SkillsBuild natio",no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-003,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.55,AI,B,1,"shed our Performance Development Review model, and expanded development opportunities through targeted secondments and stretch projects, such as our AI working group. We continue to be an accredited Living Wage Foundation employer, reinforcing our dedication to fair and equitable reward. IT improvem",no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-004,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.74,AI,B,1,"market disruption’, has been retained. This reflects the potential threats to our business model from disruptions such as Artificial Intelligence (’AI’), market consolidation or breakthrough advances in deployment of technology such as modular construction. This risk will be monitored by the Boar",no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-005,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.78,artificial intelligence,B,1,"training and communications to promote awareness of cyber security and data protection issues, including threats evolving from the increased use of Artificial Intelligence. · Regular reviews by external partners, including penetration testing, audit engagements and scenario planning, to provide assurance on the effe",no,no,audit_analytics,,rejected,,
PSN-REJ-006,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.86,AI,B,1,"e the Group’s maturity in this area. Throughout the year, the Audit & Risk Committee considered management’s approach to Artificial Intelligence (’AI’), including review of the Group’s draft policy on AI. This has recognised the transformative potential of AI for some business processes, but note",no,no,audit_analytics,,rejected,,
PSN-REJ-007,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.91,AI;artificial intelligence,B,2,"Group’s response following high-profile cyber attacks on other organisations. Considered and discussed by the Board. 4 Artificial Intelligence (’ AI’) – presentation received during the Board’s Strategy Day on how the Group is harnessing the benefits of AI in a responsible and ethical way. Consid ||| and development and diversification; customer experience; land and planning; innovation (Space4, the Mauer facade product and vertical integration); artificial intelligence; people and culture; financial projections and investor perspectives. The high-quality presentations facilitated Board debate, questions and oversig",no,no,vague_general_ai_reference,DUPG-002,rejected,,
PSN-REJ-008,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.108,artificial intelligence,B,1,"their skills and any development needs. Consideration was given to how the structure of roles may change in the future, for example as a result of artificial intelligence and in line with the Group’s agreed strategy. The Nomination Committee noted the importance of considering skills required in the medium and long",no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-009,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.112,AI,B,1,29 readiness assessment Tax Status Report Review of the Group’s anti-money laundering controls Review of the Group's draft Artificial Intelligence (AI) Policy Legacy Buildings Progress Report Update on principal and emerging risks Business resilience: Cyber security update from Group Chief Informat,no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-010,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.113,automation,B,1,"me: The Committee has assessed both the Group’s existing control environment and management’s plans to improve controls further, including enhanced automation to reduce the frequency of manual accounting entries. The Committee has also taken further assurance from the additional testing performed in this",no,no,ordinary_automation,DUPG-004,rejected,,
PSN-REJ-011,Persimmon,PSN,Persimmon Plc Annual Report 2025,PSN_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.116,AI,B,2,"of a cyber attack or other material disruption to operations. The Committee has also considered management’s approach to Artificial Intelligence (’AI’), including review of the Group’s draft policy on AI. This has recognised the transformative potential of AI for some business processes, but not ||| has reviewed the Group’s cyber and data risk posture and plans for their continued enhancement, as well as the Group’s plans for the deployment of AI, and is satisfied that these are appropriate. Management reporting on other key processes and controls has also been considered by the Committee,",no,no,vague_general_ai_reference,DUPG-003,rejected,,
PSN-REJ-012,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.15,automation,B,1,"on-site digitisation has already secured operational, commercial and quality improvements and efficiencies, with more opportunities ahead. Enhanced automation in both our existing and new timber frame factories, coupled with innovations such as the combination with a brick facade product, means we have s",no,no,ordinary_automation,,rejected,,
PSN-REJ-013,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.25,AI,B,1,"prove and refine our training offerings to support business growth and boost employee performance. The adoption of a new e-learning authoring tool, AI-driven video creation and upskilling of our team have accelerated the evolution of our digital content and training resources. A key focus remains",no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-014,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.39,automation,B,1,astle Bromwich intends to mirror the cutting-edge processes planned for Garendon in its current factory with the installation of robotics and other automation. An updated product scope designed this year will enable more complex wall panels and floor cassettes to be assembled once the new technology is in,no,no,ordinary_automation,,rejected,,
PSN-REJ-015,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.73,artificial intelligence,B,1,"ts to the Group’s business model from disruptions such as market consolidation or technological advances in areas including modular construction or artificial intelligence. This risk will be monitored by the Board and, operationally, by the Executive Committee and Management Risk Committee. Mitigation strategies will",no,no,vague_general_ai_reference,,rejected,,
PSN-REJ-016,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.113,automation,B,1,". The Committee has assessed both the Group’s existing control environment and management’s plans to improve controls further, including enhanced automation to reduce the frequency of manual accounting entries. The Committee has also taken further assurance from the additional testing performed in th",no,no,ordinary_automation,DUPG-004,rejected,,
PSN-REJ-017,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.115,automation,B,1,"rols and management oversight. The control environment is routinely updated and strengthened in response to various mechanisms, including increased automation of previously manual processes and improvement actions driven by recommendations from both Group Internal Control and Group Internal Audit. The en",no,no,audit_analytics,,rejected,,
PSN-REJ-018,Persimmon,PSN,Persimmon Plc Annual Report 2024,PSN_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.116,automation,B,1,"rols delivered through the valuation process. The Board has recognised these improvement areas, with various workstreams underway to drive improved automation and strengthening of the control environment. Following its processes of continuous review and consideration of the annual summary report, the Comm",no,no,ordinary_automation,,rejected,,
