company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.7,artificial intelligence,B,"llion 53 million tonnes 71 gCO2e/MJ We are in a world defined by more uncertainty -- from increasingly fragmented geopolitics, to the rapid rise of artificial intelligence and the pressures of climate change. Energy sits at the heart of this changing world, highlighting the critical role of our sector. As I write this",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.27,AI,B,"tegories. The private sector also proved agile, with companies front-loading imports and re-routing trade flows and supply chains. The potential of AI to boost future productivity and economic growth supported a boom in related investments, including electricity infrastructure and generation. This",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.27,AI,B,"er than the 2.8% growth recorded the previous year -- but with some of the import tariff impact and uncertainty offset by increased investments in AI technologies and related infrastructure. Economic performance in the Eurozone was mixed, with southern Europe more robust as a result of strong pri",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.43,AI,B,"al years. Our people Across Shell, people development is a priority. In the GoA, we have upskilled our teams through additional training, such as in AI and data literacy, and safety technology and robotics -- enhancing their operational capability to help us drive performance. Shell puts a focus on",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.58,AI,B,"uids certified by Intel for use in data centres worldwide Data centres are vital for the internet, but the rapid growth of artificial intelligence (AI) and big data has created a challenge for managing the heat generated by these centres. Without efficient cooling, servers risk overheating and thi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.72,AI,B,"on energy system of the future. In 2025, we invested $1,170 million in R&D. We combine our expertise in R&D with digital solutions, often powered by AI, to help accelerate innovation and effectively scale up. Shell's Technology organisation and our businesses work together to determine the content,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.72,AI,B,"vering Shell's strategy. We are transforming our IT systems to support our evolving portfolio of businesses. We invest in new technologies, such as AI and quantum computing, enhancing our IT capabilities to improve the experience of our customers and make Shell a more efficient organisation. Digit",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.73,AI,B,"recognised for innovation Pearl GTL in Qatar, the world's largest gas-to-liquids plant, has embraced smart technologies and artificial intelligence (AI) to enhance safety, efficiency and sustainability. This innovation was recognised by the World Economic Forum's Global Lighthouse Network in Septe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.73,AI,B,"in September 2025. The plant employs machine-vision systems to detect hazards in real time and alert supervisors, helping prevent safety incidents. AI also monitors equipment health, reducing manual inspections and enabling early intervention. Photo: Ormen Lange, Norway, 2025. Strategic Report | P",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.87,AI,B,"d other electrification solutions. Other examples of R&D areas include safety; performance products, such as lubricants and polymers; automation and AI. Decarbonising our value chains and operations We seek to base the decarbonisation of our value chains and operations on an understanding of the dec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.113,AI,B,"asis for companies and joint ventures in which Shell is the operator, unless stated otherwise. Technology and safety We are using digitalisation and AI to gather and process data from our operations and to improve analysis and reporting. This enables us to act more quickly to ensure safe and effici",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.113,AI,B,"ysis and reporting. This enables us to act more quickly to ensure safe and efficient operations. We continue to expand the deployment of T-Pulse, an AI-automated safety monitoring solution developed by Detect Technologies. T-Pulse uses closed circuit television (CCTV) to identify and report real-ti",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Shell plc,SHEL,,SHEL_company_annual_report_current_fy2025_2026-03-12.pdf,p.125,AI,B,"is to reinforce a working environment where people feel encouraged to speak up. We have also clarified our expectations for the responsible use of AI. Shell employees, contractors and third parties with whom Shell has a business relationship can report any potential breaches of the Code of Conduc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
