staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
ANTO-REJ-001,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.10,artificial intelligence,B,1,"term structural drivers including energy security, electrification and the rapid expansion of emerging technologies including those that leverage artificial intelligence and the associated investments in infrastructure including data centres. At the same time, the supply side remains challenged globally. Declinin",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-002,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.11,automation,B,1,"strategic enabler We continue to focus on innovation initiatives that strengthen our competitiveness and resilience throughout the cycle such as automation, digitalisation, integrated remote operating centres and advanced analytics, to improve safety, productivity and cost stability. In parallel, we",no,no,ordinary_automation,,rejected,,
ANTO-REJ-003,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"is transition. In 2025, as global electricity use continued to rise, copper demand continued to track this growth. Emerging technologies, including AI, data centres and automation, are providing emerging sources of copper demand. The rise of AI and machine learning has driven a surge in data cen",no,no,ordinary_automation,,rejected,,
ANTO-REJ-004,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"represent central themes in 2026 and beyond. Energy security and electrification remain key drivers, reinforced by emerging technologies such as AI, smart grids and data centres. China continues to be the largest source of global copper demand, accounting for more than half of global consumpt",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-005,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"Programme $115m Savings and productivity gains (FY25 target: $100 million) Innovation initiatives +90 Innovation initiatives as of 2025, including AI and advanced analytics Growth projects >50% Construction progress achieved as of Q4 2025 at Centinela Second Concentrator Project F or more inform",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-006,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"Programme $115m Savings and productivity gains (FY25 target: $100 million) Innovation initiatives +90 Innovation initiatives as of 2025, including AI and advanced analytics Growth projects >50% Construction progress achieved as of Q4 2025 at Centinela Second Concentrator Project T o read more on",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-007,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.25,automation,B,1,"irst round of robotic maintenance was completed successfully, with plans to introduce two additional robots in 2026, further expanding the scope of automation. During the first maintenance cycle, two robots were deployed, one on each side of the mill, reducing worker exposure to high-risk tasks and shor",no,no,ordinary_automation,,rejected,,
ANTO-REJ-008,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.25,AI;machine learning,B,2,"nting a trolley-assist system on a trial basis (see case study on page 57) as part of its electrification efforts. Plant debottlenecking using AI Maximising SAG mill operating time through statistical analysis. A SIRO (Integrated System of Operational Recommendations) was deployed at Los Pela ||| ployed at Los Pelambres’ SAG mill in 2025, with the aim of optimising grinding by identifying and minimising operational constraints. The system’s machine learning increased unconstrained SAG mill operating hours by approximately 4% compared to 2024, directly boosting throughput and reducing process variabilit",no,no,vague_general_ai_reference,DUPG-001,rejected,,
ANTO-REJ-009,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.27,machine learning,B,1,"e shovel at Centinela, along with implementation at Antucoya, helping the Group to realise similar gains across the portfolio. Efficiency gains via machine learning Recommendations powered by machine learning, lifting copper output. In 2025, Centinela implemented its SIRO treatment system (MINCO) to optimise con",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-010,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.31,automation,B,1,"aintained high water recirculation rates (above 90% in 2025), promoting efficient water use and minimising the demand for fresh water. SmartPLS: automation of daily processes Through an intelligent, automated and data-driven approach, the SmartPLS Pregnant Leach Solution (PLS) system is helping to opti",no,no,ordinary_automation,,rejected,,
ANTO-REJ-011,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.31,artificial intelligence,B,1,"pporting a more sustainable production process. Maintenance: digital condition monitoring In 2025, Zaldívar implemented Machine Vision, a real-time artificial intelligence system designed to monitor equipment across its critical plant assets. Machine Vision is a technology transfer from Centinela to Zaldívar, whereby",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-012,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.36,artificial intelligence,B,1,"g material management from the earliest stages of the process. Looking ahead, the Group is considering the progressive incorporation of generative artificial intelligence for operational support, the expansion of digital training, and the standardisation of key processes to promote consistency and best practices. T",no,no,vague_general_ai_reference,,rejected,,
ANTO-REJ-013,Antofagasta plc,ANTO,Antofagasta plc Annual Report and Financial Statements 2025,ANTO_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.53,artificial intelligence,B,1,"e Group’s focus on digitalisation extends to the implementation of predictive maintenance systems, real-time monitoring platforms, and the use of artificial intelligence to enhance operational efficiency. Details of these efforts are provided on pages 34 and 35. Suppliers are encouraged to also contribute to the G",no,no,vague_general_ai_reference,,rejected,,
