duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Aviva,AV-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.14) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Aviva,AV-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.15) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Aviva,AV-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.23) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Aviva,AV-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.24) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Aviva,AV-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.28) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Aviva,AV-STR-002,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.28) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same data and ai capability building theme and were consolidated into one row.,yes,,
DUPG-007,Aviva,AV-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.34) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Aviva,AV-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.35) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Aviva,AV-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.40) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-010,Aviva,AV-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.40) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Aviva,AV-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.84) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Aviva,AV-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.85) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Aviva,AV-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.89) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Aviva,AV-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.101) of AV_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Aviva,AV-REJ-049,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.22) of AV_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Aviva,AV-REJ-051,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.26) of AV_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,Aviva,AV-REJ-055,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.37) of AV_company_annual_report_previous_fy2024_2025.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-018,Aviva,AV-REJ-057,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.55) of AV_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,Aviva,AV-REJ-062,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.84) of AV_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-020,Aviva,AV-REJ-064,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.110) of AV_company_annual_report_previous_fy2024_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-021,Aviva,AV-REJ-001;AV-REJ-045,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.86,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.86).,yes,,
DUPG-022,Aviva,AV-REJ-001;AV-REJ-046,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.86,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.86).,yes,,
DUPG-023,Aviva,AV-REJ-002;AV-REJ-045,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.80,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.80).,yes,,
DUPG-024,Aviva,AV-REJ-002;AV-REJ-046,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.87,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.87).,yes,,
DUPG-025,Aviva,AV-REJ-009;AV-REJ-045,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.60,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.60).,yes,,
DUPG-026,Aviva,AV-REJ-027;AV-REJ-060,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.98,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.98).,yes,,
DUPG-027,Aviva,AV-REJ-038;AV-REJ-067,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.95,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 0.95).,yes,,
DUPG-028,Aviva,AV-REJ-039;AV-REJ-068,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in AV_company_annual_report_current_fy2025_2026-03.pdf and AV_company_annual_report_previous_fy2024_2025.pdf are textually very similar (difflib ratio 1.00).,yes,,
