company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.9,AI,B,"ncome funds, as investor appetite returned to these investment markets and rebalanced away somewhat from US equity markets, with the exception of AI-related stocks. Investment performance improved although there continues to be more to do. Finally, we completed the second phase of business tra",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.10,AI,B,"cated funds to support a more data-centric organisation, enhancing security and data protection while at the same time supporting the roll out of AI tools that will support productivity and revenue generation. In terms of new activity, we allocated capital to take on responsibility, as sponsori",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.11,AI,B,"ut as complex as it could be and combined with concern over elements of private credit, possible asset bubbles in technology stocks, particularly AI, and continuing tariff imposition unpredictability, there is a great deal to factor into investment decision- making. Markets, however, have remain",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.13,AI,B,"the pace of decision making. Our Executive Leadership Team is ensuring we bring more commercial and client focus, embracing the opportunity from AI and deepening our leadership capability. In January 2026 it was announced that Aberdeen Group plc Chairman, Sir Douglas Flint, will be stepping d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.18,AI,B,"r rated funds. ii NPS Adviser NPS +44 2024: +40 +45 2024: +34 Investment performance (3 years) 80% 2024: 60% 2026 priorities • Invest in automation, AI, data, technology and security to improve client experience. • Deliver improvements to service processes, e.g. enhancements to our contact centre i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.18,AI,B,"n Adviser and improve timelines across client journeys. • Improve investment performance through process enhancements and leveraging technology and AI. Transforming performance Progress • Delivery of £180m of annualised cost savings, markedly improving profitability in Investments. • Acquisition of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.18,AI,B,p programme. • Roll-out tailored development journeys for more than 500 leaders. • Improve engagement and enhance collaboration through adoption of AI productivity tools. 16 Strategic report Governance Financial information Other information Our strategic priorities continued Aberdeen Group plc Ann,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.21,automation,B,ced trading platform (new) • Digital advice (new) Our priorities • Broadening ii’s proposition • Driving greater customer engagement • Increasing automation and efficiency We are building a leading position in the UK savings and wealth market AUMA Adjusted operating profit 19 Strategic report Governanc,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,"on their clients. We are investing in digital and data skills to accelerate in-house product development through modern software, automation and AI capabilities. In addition, we will use low- and no-code tools to update client journeys, allowing us to rapidly improve our time to market. Impro",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.30,automation,B,"in order to achieve this return to growth, Adviser is working to deliver market- leading experience with improved client integration and a focus on automation. Integration and digitised service In 2026, we will continue to deliver more automated processes with the aim of reducing the administrative burden",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.32,AI,B,"the flow trends of recent years. Looking ahead, concerns over stretched valuations and high market concentration, particularly around software and AI companies, may lead to a rotation away from the US and towards diversification into Europe, Emerging Markets (EM) and Asia Pacific (APAC), with A",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.33,automation,B,"ts in 2025. Costs have now been reduced by c.18% compared to the 2023 baseline. The programme, which focused on simplifying processes, increasing automation, and reducing reliance on third party providers, has strengthened our operational efficiency, allowed us to strategically re-invest, and delivered",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.38,automation,B,"ion in our adjusted operating expenses in 2025. With the programme nearing completion, our focus shifts to cost discipline through efficiency and automation. IFRS profit before tax was £442m, a significant improvement on prior year (2024: £251m). This comprised adjusted operating profit of £264m (2024:",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.70,AI,B,"de tensions, conflicts in Europe and the Middle-East. Added to these vulnerabilities are questions around (i) the efficacy of capital spending in AI-related projects and (ii) implications of the appointment of a new chair to the US Federal Reserve. • Increased levels of sovereign indebtedness (",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.86,AI,B,"overning the sustainability of the dividend. • Financial reporting as fair, balanced and understandable. • Technology upgrades, including the use of AI. • Risk management controls, including the Enterprise Risk Management (ERM) framework, risk strategy, risk appetite limits and internal controls an",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.91,AI,B,"Internal Capital and Risk Assessment. • Operational resilience self-assessment. • Transformation delivery. • Sustainability. • Technology, including AI. • FCA Consumer Duty. • Vulnerable customers. (iv) Audit, risk and internal control The Directors retain the responsibility to state that they consi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.93,AI,B,"aterial controls, which will apply from 2026. • The ongoing review of the management of key risks across the Group including technology, cyber and AI risks and operational resilience. In discharging its delegated responsibilities on behalf of the Board, the Committee operates as an effective and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.94,AI,B,"etite framework, material risks and material regulatory reports involving risk or capital issues such as the ICARA. • Group’s oversight and use of AI. External audit • Effectiveness of the external audit process and the skills of the external audit team. • Approved audit plan, scope of the audi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.95,AI,B,"anning. 2024 Tax report. Material controls population, oversight and assurance model. ICARA report and annual update on wind-down plan. Technology, AI and cyber risks. Finance Control environment. Separate Audit Committee and Risk and Capital Committee meetings held in this period Risk and Capital",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.104,artificial intelligence,B,"oard Charter was updated to reflect the Board’s approval of the Group’s Sustainability strategy and its oversight of, and approach to, the use of Artificial Intelligence. The updated Board Charter is available on the Company’s website at aberdeenplc.com. Board Performance Review The Committee has a key role in supp",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_current_fy2025_2026-03.pdf,p.311,AI,B,rnal and outsourced) and the continued development and enhancement of said technology systems (including the utilisation of artificial intelligence (AI)); natural or man-made catastrophic events; the impact of pandemics; exposure to third-party risks including as a result of outsourcing; the failure,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_previous_fy2024_2025-03.pdf,p.9,AI,B,"ents. We will also focus on supporting future growth. This includes investing in our people, talent and culture; improving our use of technology and AI; and enhancing our business controls. STRATEGIC REPORT Annual report 2024 7",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Aberdeen Group,ABDN,,ABDN_company_annual_report_previous_fy2024_2025-03.pdf,p.11,automation,B,"int improvement in our NPS. This was thanks to extensive improvements we made to our platform and processes. Notably, we increased data processing automation by ensuring only complete requests are processed, improving overall turnaround times. We increased the use of digital signatures and smart forms w",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
