company,ticker,sector,final_status,operational_findings_added,strategic_findings_added,governance_findings_added,rejected_findings_added,key_evidence_notes
Alliance Witan,ALW,Investment Trusts,completed_null_result,0,0,0,0,"Genuine null result. All AI mentions are investment commentary on the AI theme in markets/portfolio holdings (Palantir, Qualcomm, GQG's AI-stock positioning) -- not the Trust's own use. No strategic/governance rows were auto-proposed."
F&C Investment Trust,FCIT,Collective investments,completed_null_result,0,0,0,0,"Genuine null result. All AI mentions are investment commentary on the AI theme (capex cycle, winners/losers) or stewardship engagement with portfolio companies (e.g. Microsoft) about THEIR AI governance -- not F&C's own use. Rejected the one auto-proposed strategic row and all four auto-proposed governance rows on this basis. The FY2024 annual report could not be located as a single combined file (only a rotating latest-report URL was found) and was recorded as a single approval_status=pending source row, not a company blocker."
Intermediate Capital Group,ICG,Financial services,completed_null_result,0,0,1,0,"Genuine null result for the operational dataset (a NED's own outside AI-related directorships correctly excluded, matching the Endeavour Mining precedent). One governance finding accepted: ICG's own Risk Committee governance focus on 'the rapid advancements in artificial intelligence, particularly generative AI'."
Lion Finance Group,BGEO,Banking services,promoted_complete,2,2,6,0,"PROMOTED -- the richest finding of session 4. (1) A Georgian-language Generative AI customer-service chatbot, in-house developed ('the only financial institution in Georgia' with such a solution), resolving 65% of queries without human intervention with a 91% customer satisfaction score (2025); prior-generation chatbot offloaded 25% of Contact Center volume (2024). (2) An internal 'enterprise AI platform' letting non-technical employees build custom AI assistants: 300+ assistants built, ~6,600 hours/month freed, weekly adoption up from 10% to 56% in six months (80% in back-office roles), 310,000+ monthly interactions, 40% reduction in document analysis time -- tracked via a formal 'GenAI engagement' executive KPI. Both fragmented across many over-consolidated rejected rows in both annual reports and consolidated per the anti-overconsolidation check. Also split out a genuine governance finding: a named 'comprehensive Generative AI (GenAI) policy established in 2025' with mandatory DPIAs. Five further genuine governance rows (Bank of Georgia's own AI governance/oversight) and two strategic rows (2024 AR forward-looking GenAI strategic intent) also accepted."
LondonMetric Property,LMP,Real estate investment trusts,completed_null_result,0,0,0,0,"Genuine null result. All AI mentions are vague Board-strategy-day/cyber-risk references. No strategic/governance rows were auto-proposed."
Pershing Square Holdings,PSH,Financial services,completed_null_result,0,0,0,0,"Genuine null result. AI mentions are investment commentary about a portfolio holding (AWS) or governance-committee engagement with portfolio companies about their AI ethics -- not PSH's own use. Rejected both auto-proposed strategic rows and the one auto-proposed governance row on this basis."
Polar Capital Technology Trust,PCT,Investment trusts,completed_null_result,0,0,0,0,"Genuine null result despite being extremely AI-keyword-dense (a technology-sector investment trust: 344 candidate passages, 60 Stage-A hits). Every strategic/governance passage is the Investment Manager's market analysis and investment thesis about the AI sector and portfolio companies (Gemini, Claude, GPT capabilities, 'AI maximalist' investment positioning) -- none describes PCT's own operational or governance use of generative AI. Rejected all 10 auto-proposed strategic rows and all 7 auto-proposed governance rows."
Scottish Mortgage Investment Trust,SMT,Collective investments,completed_null_result,0,0,0,0,"Genuine null result. All 10 auto-proposed strategic rows describe portfolio holdings (Meta, Cloudflare, the 'Global AI Opportunities Fund') and their own AI adoption/business -- not Scottish Mortgage's own use. No governance rows were auto-proposed."
Segro,SGRO,Real estate investment trusts,promoted_complete,1,0,2,0,"PROMOTED. 'Continuation of our digital transformation programme, including the rollout of Copilot to all employees with a structured training programme' -- a named, live, company-wide Microsoft Copilot deployment (FY2025 only, not mentioned in FY2024). Split out from an over-consolidated strategic staging row. No specific task/benefit/outcome stated, so evidence_strength=2_moderate. Two genuine governance findings accepted (Segro's own AI technology investment and cyber/AI risk oversight); rejected one governance row that on inspection was about warehouse-automation infrastructure, not AI, and two strategic rows about a NED's own outside digital-transformation role (not Segro's use, matching the Endeavour Mining precedent). Correction applied mid-session: SGRO-STR-001 was initially marked reviewer_decision='correct' (following the rejected-file convention) but this value is promotable for strategic staging (unlike the rejected file, where only 'accept' promotes), causing the same Copilot evidence to be briefly double-promoted as both a strategic finding and an operational use case; corrected to 'reject' and the erroneous duplicate strategic row removed before final validation."
Standard Life,SDLF,Life insurance,completed_null_result,0,1,2,0,"Genuine null result for the operational dataset (no specific use case/tool/deployment described, only strategy-level AI-oversight framing). Company changed its name from Phoenix Group Holdings plc to Standard Life plc on 24 February 2026; FY2025 report published under the new name, FY2024 report under the former name. One strategic finding accepted (Board's own oversight of 'the Group's AI strategy') and two governance findings accepted (Internal Audit's own strategy 'focused on harnessing Data Analytics and AI innovations', appearing in both years' reports) -- genuinely about the company's own operations, not portfolio/third-party commentary (an operating insurer, not an investment trust)."
Tritax Big Box REIT,BBOX,Real estate investment trusts,completed_null_result,0,0,1,0,"Genuine null result. One governance finding accepted: the Board's own risk-oversight discussion of 'the impact of AI and robotics' on the logistics/data-centre sector -- an operating REIT's own risk-register content, not portfolio commentary. All other AI mentions are ordinary automation (warehouse/robotics) or vague references."
