company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.10,artificial intelligence,B,"continues to reshape consumer behaviour and the way people communicate and work. The rapid adoption of data-intensive technologies, including Artificial Intelligence, is accelerating the growth of e-commerce, increasing the need for highly efficient logistics space and driving demand for data centres across",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.11,automation,B,"9 30 10% modern, flexible space (in Phase 1) hectare site loading bays and capacity for 22,300 pallets anticipated increase in productivity through automation 09 | SEGRO plc Annual Report & Accounts 2025 Overview Strategic Report Governance Financial Statements Further Information About SEGRO continued",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.14,AI,B,"munity Investment Plans. • Investment into our digital platform to deliver data-driven insights, drive efficiencies, embrace Artificial Intelligence (AI) technologies and deliver scale benefits. 12 | SEGRO plc Annual Report & Accounts 2025 Overview Strategic Report Governance Financial Statements Furt",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.17,AI,B,"tivity, as hyperscalers tend to take new capacity in large increments. These same Availability Zones are also set to benefit from demand related to AI, in particular, the rapid scaling of ‘Inference AI’, also known as the ‘user-interface’. Similar to the Cloud, many of these workloads also need t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.17,AI,B,"nce is particularly important. They will therefore naturally gravitate to the same established clusters as current Cloud facilities. By contrast, AI training facilities, which tend to grab much of the media headlines, are latency insensitive and are typically located in more peripheral areas wh",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.17,AI,B,"re less constrained and energy is cheaper. The Inference market related to business activity is, ultimately, expected to be much larger than the AI training market. We have proactively built one of the largest banks of available power and zoned land in Europe. Our 2.5GW+ data centre pipeline is",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.17,AI,B,"where demand is expected to be strong, being fuelled by Cloud adoption today and we expect it to be ‘super-charged’ by the widespread adoption of AI. The Simplified Planning Zone (SPZ) in Slough pre-approves planning for both industrial and multi-storey data centre development for the next nin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.21,Copilot,A,"nancing and allow for reinvestment into higher-growth opportunities. • Continuation of our digital transformation programme, including the rollout of Copilot to all employees with a structured training programme; and the introduction of a new facilities management system. • ‘Best Value initiative’ continu",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.25,automation,B,science-based net-zero targets. Priorities for 2026 • Drive further reductions in our corporate and customer emissions. • Continue to increase the automation of the retrieval of our customers’ energy data. • Continue to replace gas with efficient low-carbon heat sources. • Work with our supply chain partne,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.37,AI,B,"emerging Availability Zones such as Marseille and Warsaw. These same locations will also benefit from ‘inference’ related Artificial Intelligence (AI) demand, i.e. the user interface, as much of that also needs to be close to end users and prioritises resilience for business workloads, just like",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.58,AI,B,riateness of our response plans including strengthening contracted cyber specialist resources. We have also started using Artificial Intelligence (AI) as part of our wider defence toolset to help defend against attacks by cyber criminals who themselves may be making use of it. Emerging risks In,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.58,AI,B,"pments, energy and power, climate change-related extreme weather events and corporate growth. Two examples of what we consider are: Technology and AI as a disruptor and opportunity. The full impact of AI and its application to most businesses is impossible to fully assess whilst it currently evo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.58,AI,B,o fully assess whilst it currently evolves at such pace. We believe that peers could gain a competitive advantage through earlier or better use of AI on their platform. The continued adoption of AI by our customers may affect customer demand for our assets. It also creates a significant opportun,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.63,AI,B,"se plan was reviewed and enhanced during 2025. We continue regular training for, and testing of, employees including phishing tests and education on AI chatbots. Link to strategy: Overseen by: Executive Committee, Digital Board The market outlook is detailed in the Chief Executive’s statement: page",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.77,AI,B,"n. In addition, she is currently leading a major global digital transformation, including implementing new digital technologies, data strategy and AI capabilities, with insights which are of benefit to SEGRO. Contribution to SEGRO’s long-term success Mary has first-hand experience of international",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.87,AI,B,"ps and shape the SEGRO proposition in established high-growth sectors. • Enhance customer reporting, action tracking and information delivery through AI-powered tools. • Support customers in transitioning to lower-carbon energy, underpinned by our solar installation strategy. • Continue to replace gas",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.101,AI,B,"gs continued • the Director of Technology & Architecture, who delivered his annual update on developments in cyber security threats (including from AI) and the continued investments by the Company in response, and the current status of cyber security defences; and • the Head of Insurance and Risk",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.102,AI,B,"• reviewed cyber security processes and the continued investment in this area to respond to increasing trends in cyber threats, including those from AI; • ensured appropriate safeguards were in place for the detection of fraud and prevention of bribery. This extends to responsibility for overseeing",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_current_fy2025_2026-02.pdf,p.106,AI,B,"specialist resources; • pan-European capability; • the proposed audit approach, including reliance on controls and the use of technology (including AI) and data analytics; • the approach to resolving judgemental issues and the quality and availability of technical accounting resources; • proactivi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.2,artificial intelligence,B,"allow rapid transit. Data centres house IT infrastructure for building, running and delivering applications and services, including the Cloud and Artificial Intelligence. They are often located close to densely populated areas and major financial centres in clusters known as Availability Zones. Urban warehouses As",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.11,artificial intelligence,B,"a centres serving as the essential backbone for digital services, including websites, apps, cloud computing, business operations and increasingly Artificial Intelligence. SEGRO is a leading enabler of this critical infrastructure with over 20 years’ experience delivering powered shell warehouses on the Slough Trad",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.15,AI,B,"h our existing urban footprint, which means that we are positioned to benefit from both growth in the Cloud as well as the ‘inference’ elements of AI that require close proximity to end users. It also means we retain maximum flexibility in this fast-evolving space. 13 | SEGRO plc Annual Report",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.15,artificial intelligence,B,"to-day lives, and companies increasingly use data to drive their businesses and move to cloud-based technology solutions. The growth of generative artificial intelligence is also seeing very significant investment into data centres by so-called ‘hyperscalers’. Demand for data centres comes from two main sources: –",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.15,artificial intelligence,B,"and consumers to be run remotely instead of running software and storing data locally. This demand is typically focused on Availability Zones. – Artificial Intelligence: this is expected to drive significant growth. Many of the large hyperscalers (such as Amazon Web Services, Microsoft and Google) have announced s",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.22,automation,B,– A record 64MW added to our installed solar capacity. Priorities for 2025 – Continue to drive reductions in our carbon emissions. – Increase the automation of the retrieval of our customers’ energy data. – Replace gas with low-carbon alternatives where possible. – Progress our large-scale solar insta,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.28,automation,B,forts. – Rolled out a powerful new carbon reporting platform. – Drive further reductions in our corporate and customer emissions. – Increase the automation of the retrieval of our customers’ energy data. – Replace gas with efficient low-carbon heat sources. – Work with our supply chain partners to f,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.52,artificial intelligence,B,"ctively identify and monitor emerging risks. These include a variety of factors such as longer-term customer trends, technological development and Artificial Intelligence, climate change-related extreme weather events and corporate growth. Two examples of what we consider are: Technological development and Artificia",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Segro,SGRO,,SGRO_company_annual_report_previous_fy2024_2025-02.pdf,p.52,artificial intelligence,B,"Intelligence There may be negative and/or unintended consequences of advances in technological capabilities as well as significant opportunities. Artificial Intelligence is developing extremely quickly and longer term, there is uncertainty around its application, significant interconnectivity with existing risks an",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
