company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.6,Bedrock,A,"n environment that stimulates extraordinary performance Our values Deep client partnerships, built on trust and out-of-the-ordinary service, are the bedrock of our business We are dedicated to building meaningful relationships with all our stakeholders We uphold cast-iron integrity in all we do We are com",likely_genai,medium,"Stage A high-precision generative-AI term 'Bedrock' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.16,automation,B,chieving net-zero carbon emissions by 2050 and processes to enhance our Scope 3 financed emissions calculations with refined assumptions and systems automation • Approved the enhanced Sustainable and Transition Finance Classification Framework • Noted our reporting readiness with the increased sustainability,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.19,automation,B,"able and Transition Finance Classification Framework, which will serve as the foundation for establishing sustainable finance targets • Endorsed the automation of the Scope 3 financed emissions, aiming to enhance accuracy and efficiency • Reviewed and discussed the emerging sustainability regulations from th",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.32,AI,B,"focused on managing conduct, reputational and operational risks. Keeping abreast of industry-wide trends with respect to artificial intelligence (AI) developments, cyber threats and data management as well as increased reliance on big tech and cloud platforms remains an area of focus and signi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.44,artificial intelligence,B,"pdates to the Board keep them abreast of the threat landscape and informed on the Group’s security position • In response to the potential impact of artificial intelligence and its use for criminal purposes, the Group is actively engaged in deep fake research and proactive mitigation efforts, including threat simulatio",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.46,automation,B,"to protect clients, markets and the Group from detriment • We manage operational capacity to meet client and industry needs and continue to explore automation to improve efficiency and reduce human error • Key business processes are regularly reviewed and the relevant risks assessed through the risk and co",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.56,automation,B,"agreed audit plans, including assessing Internal Audit resources, Continued Professional Development (CPD), succession, core skills development and automation of audit processes • Monitored and followed up internal audit control findings, including IT, and ensured appropriate mitigation and timeous close-o",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.186,automation,B,"educing Scope 3 financed emissions through influencing and engaging with our clients on their net-zero pathways. This year we have invested in the automation of Scope 3 financed emissions calculations, enhanced our data collection efforts and refined our assumptions around Scope 3 emissions. We continue",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.200,AI,B,"f sensitive data for the purpose of extortion • While still in its early stages, threat actors began exploring the use of artificial intelligence (AI) to automate and enhance attack • Targeted security evaluations continue to run internally and by independent specialists to validate controls and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Investec,INVP,,INVP_company_annual_report_previous_fy2023-24_2024-07.pdf,p.200,automation,B,"insufficient management oversight • Despite the organisation's commitment to digitalisation, there is still a reliance on manual processes. When automation is not possible, process redesign is undertaken to address control gaps. Additionally, there is a strong emphasis on monitoring key controls thro",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
