staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
IAG-GOV-001,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.55,AI,B,1,"nsatlantic operations and redeploy the assets aligned with strategic priorities. Our transformation will continue, with a busy pipeline of data and AI initiatives to enhance operations, reduce costs and elevate customer experience. Strategic Report Corporate Governance Financial Statements Susta",no,no,ai_governance_framework,,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-002,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.70,AI,B,1,"pipelines through partnership with universities, colleges and sixth forms and continues to support colleagues through AI literacy and a Group-led AI Academy, offering foundational learning and role-based AI pathways. Strategic Report Corporate Governance Financial Statements Sustainability St",no,no,ai_governance_framework,,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-003,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.77,AI,B,1,"tory compliance Operating company CEOs/General Counsel Sustainable aviation Chief Financial and Sustainability Officer Transformation, innovation and AI Chief Transformation and Procurement Officer Strategic Report Corporate Governance Financial Statements Sustainability Statement International Ai",no,no,ai_governance_framework,DUPG-016,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-004,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.88,AI,B,1,"da and the risks to delivery • The Group transformation agenda is subject to Board approval and progress is regularly monitored by the Board • Group AI governance committee to assess AI initiatives to allow the Group businesses to exploit AI capabilities, with mirrored committees in place across al",no,no,ai_governance_framework,DUPG-017,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-005,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.103,AI,B,1,"held at the Board strategy meeting which, in 2025, included specific updates on leadership, talent, culture, diversity and inclusion, reward and AI enablement. Strategic Report Corporate Governance Financial Statements Sustainability Statement International Airlines Group | Annual Report and A",no,no,ai_governance_framework,,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-006,International Airlines Group,IAG,IAG Annual Report and Accounts 2025,IAG_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.109,AI,B,1,"cern • Effectiveness review of the internal control and risk management systems • External auditor’s yearly report • IT updates, including cyber and AI Shareholders, stakeholders and governance • Shareholders returns including share buybacks and dividends • Transactions with related parties • Susta",no,no,ai_governance_framework,,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-007,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.20,AI,B,1,g companies means we can invest much more efficiently than any one airline. We have a designated team to oversee this work as well as two bespoke AI labs in London and Barcelona. Strategic Report Corporate Governance Financial Statements Sustainability Statement Chief Executive Officer’s review c,no,no,ai_governance_framework,,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-008,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.78,AI,B,1,"ory compliance Operating company CEOs/General Counsel Sustainable aviation Chief Financial and Sustainability Officer Transformation, innovation and AI Chief Information, Procurement, Services and Innovation Officer Strategic Report Corporate Governance Financial Statements Sustainability Statement",no,no,ai_governance_framework,DUPG-016,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-009,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.89,AI,B,1,and the risks to delivery. • The Group transformation agenda is subject to Board approval and progress is regularly monitored by the Board. • Group AI governance committee to assess AI initiatives to allow the Group businesses to exploit AI capabilities. • There is operating company-led communicati,no,no,ai_governance_framework,DUPG-017,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-010,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.110,AI,B,2,"cern • Effectiveness review of the internal control and risk management systems • External auditor’s yearly report • IT updates, including cyber and AI Shareholders, stakeholders and governance • Shareholders returns • Transactions with related parties • Sustainability update • Shareholders’ and inv ||| specific sessions or ‘deep dives’ into topics as required. Sessions held included: a session on fleet financing provided internally, a session on AI, on the new Corporate Sustainability Reporting Directive, and on corporate governance developments, including the 2024 UK Governance Code. An inv",no,no,ai_governance_framework,DUPG-012,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
IAG-GOV-011,International Airlines Group,IAG,IAG Annual Report and Accounts 2024,IAG_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.125,AI,B,1,"arking external data to better understand the Group’s progress in implementing its improvement plans; • In May, the Committee received a briefing on AI risk management and governance from an external expert to prepare for its oversight of the Group’s AI approach. Non-financial information • Reviewi",no,no,ai_governance_framework,,governance,accept," REVIEW: general AI governance/oversight disclosure, no generative-AI-specific content."
