company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.7,AI,B,"ch we actively champion. Exploration We are enabling greater discovery and personalisation through digital tools like 'What's Your Whisky', using AI to recommend serves. Convenience To meet demand for accessible, high-quality offerings, we have expanded our ready-to-drink portfolio with excitin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.9,AI,B,ng pre-bottling allocations – maximising the value of our premium whiskies through a digital marketplace. • Maturation performance – using data and AI to target the ‘angels' share’ and improve maturation yield. • Liquid logistics – synchronising our cask-to-bottle flows of wood and whisky. This,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.12,AI,B,"ng development spend. Development costs were reduced to 14% in fiscal 25 (fiscal 24: 21%), this reduction was driven by the accelerated adoption of AI-enabled content creation (Virtual Content Studios) and operational model changes, including the launch of Agile Brand Communities and Conscious Cre",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.22,AI,B,"of Brand Building (DWBB) has been updated in fiscal 25 to integrate the very latest in consumer trends, marketing science and technology including AI. We piloted a five-day training programme in North America and South, West and Central Africa, and launched an online DWBB training hub for all emp",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.23,AI,B,"s part of a wider global health and safety awareness week. The topics included in the campaign focused on revolutionising health and safety through AI and digital technologies, launch of a process safety senior leadership observation tour and a high-level overview of the recent culture assessment.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.23,artificial intelligence,B,"chnology roadmap features digital solutions, automation, forklift truck advancements including camera technology, manual handling wearable kits and artificial intelligence, each contributing to better health and safety performance. During fiscal 25, over $40 million was invested in shuttle warehousing, where casks are",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.24,AI,B,"roven track record of compliance, which is underpinned by appropriate checks in every market we operate in. This year we have tested and deployed an AI-based assistant to support human DMC reviews, which has reduced the time needed to review content, whilst keeping the highest standard of complianc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.24,AI,B,"ts. We continue to train and test the system with new creative assets, and as the accuracy improves, more users will be adopting the technology for AI assisted reviews. We regularly review reporting from advertising monitoring and industry bodies across key markets, for breaches of self-regulatory",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.34,AI,B,"y perspectives, for the Executive Committee to understand the changing landscape and take appropriate actions. We consider Artificial Intelligence (AI) to be a potential impact on our principal risks, and are embedding our AI governance approach to ensure the right balance between opportunity and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.36,generative AI,A,"Core mitigations Developments in fiscal 25 Change in mitigation Risk Appetite • We utilise a generative AI-chatbot for real-time learning, revised ransomware response protocols and improved phishing simulation outcomes, while deploying Privileged Iden",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.36,AI,B,"s reflect a rise in phishing scams, ransomware attacks, unauthorised access through stolen credentials, growing risk of data leakage and shadow AI associated with rising use of AI technologies. There has also been an increase in deepfake deception and impersonation attack (e.g. through What",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.36,AI,B,"aining robust cyber security measures is essential to safeguard our operations and stakeholders. The manufacturing sector faces increased risks from AI-enabled cyber-attacks, threatening critical third-party systems and tech-enabled operations, which could result in theft of assets, operational disr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.36,AI,B,"th forced labour from entering the EU market starting December 2027. • Data privacy legislation continues to evolve globally, with frameworks for AI and cyber security being introduced by the EU and other countries, highlighting the need for holistic data governance approaches. • Heightened re",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.36,AI,B,"nology-enabled leisure, alcohol alternatives and the emergence of a significant number of new legal purchase age consumers. Longer term, the rise of AI is expected to transform manufacturing, brand building, distribution and enable personalised consumption. Consumer demand is also being shaped by ch",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.36,machine learning,B,"nd respond to the demand changes. • Upgrades to the Demand Radar tool to provide dynamic short- term forecasts integrating retail sales data and machine learning. • Development of an integrated demand insight program, for comprehensive consumer demand analysis and standardisation of the 'Where to Play' s",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.48,AI,B,"ing and pipeline at executive and senior management level. • Ensure continuation of board-level knowledge while considering technical areas such as AI, digital and public policy amongst others. • Review alternative models for the current composition for Board committee membership. • Continue to foc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diageo,DGE,,DGE_company_annual_report_current_fy2025.pdf,p.115,automation,B,"se capacity expansion to continue once Midtown is complete. Alongside the new warehouses being built, there is also investment in state-of-the-art automation of warehousing. In North America, plans were announced to open a new manufacturing and warehousing facility in Montgomery, Alabama. The 360,000 squ",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
