staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
LSEG-REJ-001,London Stock Exchange Group,LSEG,LSEG and Microsoft transform access to AI-ready financial data in customer workflows,LSEG_company_press_release_n-a_2025-10-13.html,,press_release,company_primary,not_applicable,AI,B,1,===== HTML DOCUMENT ===== Source file: LSEG_company_press_release_n-a_2025-10-13.html Title: LSEG and Microsoft transform access to AI-ready financial data in customer workflows | LSEG Skip navigation LSEG Data & Analytics FTSE Russell London Stock Exchange FX Post Trade Ris,no,yes,webpage_boilerplate,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail (exception-focused review; not every rejected row is individually reviewed)."
LSEG-REJ-002,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.3,AI,B,1,l needs. – We build and maintain deep partnerships with our customers. – We support an open ecosystem. – We offer integrated solutions including AI functionality. – We operate an AI-enabled data machine and distribution. For more detail on our strategy – refer to pages 11 to 13. For more detai,no,no,vague_general_ai_reference,,rejected,,
LSEG-REJ-003,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.7,AI,B,3,"mies and enabling sustainable growth. From supporting our customers through the volatility of early April, helping them navigate the new world of AI with our trusted data, or sharing our insights with governments and regulators, we played a key role in keeping the markets moving in 2025. We have ||| 025. We have aligned LSEG to a number of very strong and long-term industry trends. The growing demand for data in decision- making is not new, but AI is driving that demand to new heights. Electronification and digitalisation of trading also continue at pace, and through Tradeweb and our digital ||| d view of private markets that others cannot match. Our Analytics business continued to grow, supported by strong sales of our Analytics API with AI enablement and natural language functionality. Strategic partnerships with Snowflake and Databricks have expanded the distribution channels to mak",no,no,vague_general_ai_reference,DUPG-001,rejected,,
LSEG-REJ-004,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.8,AI;Copilot,A;B,4,"abricks, OpenAI, Snowflake and others. We also announced the next step in our strategic partnership with Microsoft, with agents built in Microsoft Copilot Studio, and deployed in Microsoft 365 Copilot, enabled with LSEG data. Intelligent Enterprise: we are deploying AI across our own business and ope ||| added to, ensuring our customers always work with the most current and most precise information available. Transformative Products: we are applying AI to the products we build for our customers to reimagine how financial services professionals work – with speed, simplicity and insight. The intro ||| sight. The introduction of the Model Context Protocol (MCP) is creating a new era of data-driven innovation. It gives us the ability to have LSEG AI-ready data safely presented alongside large language models (LLMs) and we have announced partnerships with Anthropic, Databricks, OpenAI, Snowflak ||| nnovate faster and serve our customers better. For example, in our data operations, we are extracting content nine times faster where we are using AI; and in customer operations, we have reduced the mean time to resolve customer queries by 40%. Growth outlook LSEG has changed beyond all recogniti",no,no,vague_general_ai_reference,DUPG-002,rejected,,
LSEG-REJ-005,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,AI,B,2,"h as private markets. Customers also increasingly expect end-to-end experiences, and to be met in their preferred channels and commercial models. AI is amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategi ||| amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategies. AI is also creating new opportunities for innovation and raising client expectations for functionality and personalisation, including tools that can",no,no,audit_analytics,DUPG-004,rejected,,
LSEG-REJ-006,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"and personalisation, including tools that can deliver advanced insights and more intuitive user experiences. Advances in technology, particularly AI, are also driving opportunities for significant operational efficiencies through process automation. Electronification of financial markets contin",no,no,ordinary_automation,,rejected,,
LSEG-REJ-007,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,AI;Claude,A;B,2,"nities. Leveraging Model Context Protocol to allow governed access to our data, we have partnered with a number of providers, including Anthropic (Claude), OpenAI, Rogo, Snowflake and Databricks to serve our customers wherever they choose to work. A key differentiator is the freshness and scale of ||| that are shaping financial markets and the global economy. Demand for data and its integration into workflows Rise of new technologies including AI Electronification of financial markets and digitalisation of trading Regulation, risk management and capital optimisation Increased macroeconomi",no,no,vague_general_ai_reference,DUPG-005,rejected,,
LSEG-REJ-008,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,2,"h as private markets. Customers also increasingly expect end-to-end experiences, and to be met in their preferred channels and commercial models. AI is amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategi ||| amplifying demand for reliable, auditable and proprietary data, particularly as firms seek to power advanced analytics and algorithmic strategies. AI is also creating new opportunities for innovation and raising client expectations for functionality and personalisation, including tools that can",no,no,audit_analytics,DUPG-006,rejected,,
LSEG-REJ-009,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"and personalisation, including tools that can deliver advanced insights and more intuitive user experiences. Advances in technology, particularly AI, are also driving opportunities for significant operational efficiencies through process automation. Electronification of financial markets contin",no,no,ordinary_automation,,rejected,,
LSEG-REJ-010,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI;Claude,A;B,2,"nities. Leveraging Model Context Protocol to allow governed access to our data, we have partnered with a number of providers, including Anthropic (Claude), OpenAI, Rogo, Snowflake and Databricks to serve our customers wherever they choose to work. A key differentiator is the freshness and scale of ||| Market trends and our response continued Demand for data and its integration into workflows Rise of new technologies including AI Electronification of financial markets and digitalisation of trading Regulation, risk management and capital optimisation Increased macroeconomi",no,no,vague_general_ai_reference,DUPG-007,rejected,,
