company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.8,AI,B,"ategy Powered by Kingfisher’s enhanced technology platforms and agile operating model, our banners are leveraging data and artificial intelligence (AI) to build customer-centric tools and solutions, thereby supporting better commercial decision-making and higher productivity, and unlocking signif",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.10,AI,B,etail media income to reach up to 3% of the Group’s total e-commerce sales. Build a data-led customer experience — Good results from implementing AI-powered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Cast,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.10,AI,B,owered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Casto AI virtual assistant. — Developed innovative visual search technology to help customers find the right products to complete their jobs. The technology,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.10,AI,B,"crewfix and tested at B&Q. — Implemented in-house supply chain visibility tool in all banners, helping to reduce inventory levels. — B&Q leveraging AI-driven promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered f",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.10,AI,B,"n promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered from AI-powered engines c. 10% of B&Q’s e-commerce sales driven by product recommendations 100% increase in web sales from recommendation engines vs leg",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.10,AI,B,web sales from recommendation engines vs legacy third-party solutions c. 500k interactions with Hello Casto since launch in 2023 — Launch virtual AI assistant tool at other banners. — Test visual search technology at B&Q and Castorama France. — Roll-out at Castorama France and start to implement,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.10,AI,B,"assistant tool at other banners. — Test visual search technology at B&Q and Castorama France. — Roll-out at Castorama France and start to implement AI-driven promotions, markdowns and clearance solutions at Castorama Poland and Brico Dépôt France. — Extend SVT data-sharing to additional vendors a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.11,AI,B,etail media income to reach up to 3% of the Group’s total e-commerce sales. Build a data-led customer experience — Good results from implementing AI-powered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Cast,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.11,AI,B,owered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Casto AI virtual assistant. — Developed innovative visual search technology to help customers find the right products to complete their jobs. The technology,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Kingfisher plc,KGF,,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,p.11,AI,B,"crewfix and tested at B&Q. — Implemented in-house supply chain visibility tool in all banners, helping to reduce inventory levels. — B&Q leveraging AI-driven promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered f",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
