staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BBOX-REJ-001,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"r exceptional returns POWERING THE UK’S DIGITAL FUTURE Our growth drivers continued Overview The exponential growth in digital data, the rise of AI, and the increasing importance of cloud infrastructure have driven unprecedented demand for high-specification data centres, particularly in key l",no,no,vague_general_ai_reference,,rejected,,
BBOX-REJ-002,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.23,automation,B,2,"l employee wellbeing, such as green and active spaces and wildlife habitats. Technology and maintenance Greater requirements for high levels of automation, supported by power and digital infrastructure, sensors and smart building technology, increasing overall central network visibility of invent ||| cess to significant amounts of affordable, reliable and increasingly decarbonised power is a central requirement for clients to support greater automation and electrification of vehicle fleets. STRATEGIC REPORT Tritax Big Box REIT plc Annual Report 2025 21",no,no,ordinary_automation,DUPG-001,rejected,,
BBOX-REJ-003,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.28,automation,B,2,"data centre facilities Shifting consumer behaviour Evolving supply chain Drive for sustainability E-commerce/ omni-channel retail • Consolidation/automation • Network realignment • High-quality, modern buildings Digitalisation • Last-mile delivery • Data centre demand • Increased power requirements Increa ||| demand • Increased power requirements Increased resilience • Higher stock volumes • Supply chain visibility/technology Greater efficiency • Increased automation • Larger buildings Decarbonisation • Low carbon buildings performance • Renewable energy • Sustainable transport Employee attraction and wellbeing",no,no,ordinary_automation,DUPG-002,rejected,,
BBOX-REJ-004,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.29,automation,B,1,"by factors such as land availability, planning and power. Power is an increasingly significant issue for occupiers as they use more technology and automation and decarbonise/electrify transport fleets. 81% of occupiers in our 2025 Future Space survey, produced with Savills, expect power needs to grow ov",no,no,ordinary_automation,,rejected,,
BBOX-REJ-005,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.29,AI,B,1,"1.3GW in 2025 with almost 200MW of colocation capacity coming onstream. London benefits from a large base of cloud and digital vendors migrating to AI workloads and is typified by a fragmented ecosystem of providers, none with a market share over 15%1. Power and, to a lesser extent, land constrai",no,no,vague_general_ai_reference,,rejected,,
BBOX-REJ-006,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.37,automation,B,1,"g power resilience assessments to ensure assets remain fit for purpose and can accommodate additional power requirements to facilitate EV charging, automation and greater use of electrical heating. Monitoring clients’ financial performance We closely monitor all clients’ financial performance and covenant",no,no,ordinary_automation,,rejected,,
BBOX-REJ-007,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.37,AI,B,1,"ty logistics companies and in operations for retail businesses. We also further developed our modelling, analysis and reporting platform, utilising AI and incorporating sustainability-linked initiatives such as our decarbonisation plans and solar PV proposals. Similarly, by also incorporating powe",no,no,vague_general_ai_reference,,rejected,,
BBOX-REJ-008,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.40,AI,B,1,"our first two data centre developments, given their location and quantum of available power, are attractive to both cloud services provides and for AI inference. In January 2025, we purchased the 74-acre Manor Farm site at Heathrow, London, within the Slough Availability Zone. Simultaneously, we",no,no,vague_general_ai_reference,,rejected,,
BBOX-REJ-009,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.54,automation,B,1,"fer modern buildings that are powered by clean energy, are energy efficient, have the power and resilience to accommodate fleet electrification and automation, and provide a safe and healthy working environment for their employees. We are therefore committed to delivering sustainable buildings through our",no,no,ordinary_automation,,rejected,,
BBOX-REJ-010,Tritax Big Box REIT,BBOX,Tritax Big Box REIT plc Annual Report 2025,BBOX_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.69,AI,B,1,"ing risks that could impact the Company’s performance cover a range of subjects which include, but are not restricted to, technological advancement/AI, cyber risk, supply chain disruption and ongoing macroeconomic volatility. The Board is conscious of recent geopolitical events such as the UK budg",no,no,vague_general_ai_reference,DUPG-008,rejected,,
