company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.16,AI,B,"phisticated and ICG scales and broadens, these areas are crucial to growing and managing our client base. In addition, investments in areas such as AI, technology and operations help us to take advantage of the substantial data we have at our disposal; to efficiently manage internal processes as",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.40,AI,B,"0 over the year) and very well attended, including panel discussions and guest speakers. We aim to address impactful topics such as gender bias in AI and benefits of sponsorship. Our Together network hosts various LGBTQ+ events for both ICG colleagues and external participants from across the pr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.46,artificial intelligence,B,"stments in solutions to ensure our data is protected and secure. ICG is responsive to technological enhancements, including the growing presence of Artificial Intelligence, to ensure that we are properly equipped to mitigate evolving cyber security risks, as well as positioning the Group to utilise new tools to suppor",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.55,RAG,A,"risk assessment is performed for all assets. Based on feedback from investment teams, the real estate transition risk assessment was revised from a RAG rating to focus explicitly on: (i) energy performance ratings1, (ii) required capex for regulatory compliance2 and (iii) additional capex for bench",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.68,AI,B,"high quality data available; and – assessed the potential for use of artificial intelligence in the Group’s business, recognising the potential of AI due to the significant processing power available but also highlighting a number of issues and concerns about relying on AI exclusively. Stakehold",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.71,AI,B,"Rosemary is a Non- Executive Director of Proton AG, provider of the world's most secure email. She is a Senior Advisor to SandboxAQ a Quantum and AI company. Rosemary was previously SID, Remuneration Committee Chair and a member of the Audit Committee of YouGov Plc, was previously a Non-Execu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.86,generative AI,A,"ive investor engagement strategies. A key area of focus for the Committee has been the rapid advancements in artificial intelligence, particularly generative AI. We recognise the transformative potential of these technologies and the importance of proactive governance. The Committee is actively considering",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.86,AI,B,"lications and opportunities, while ensuring the development of appropriate risk management frameworks. We are committed to harnessing the power of AI responsibility, aligning with our values and stakeholder expectations. Looking ahead, the Committee will continue to prioritise the monitoring of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_current_fy2024-25_2025-06.pdf,p.86,AI,B,"ther strengthen our cyber risk framework to ensure the Group maintains robust defences against evolving threats, including those posed by advanced AI technologies. Ongoing enhancement of our wider risk and control environment will also be a key focus area. The Risk Committee remains committed to",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,p.47,automation,B,"manage our growth plans more effectively, and investing in the operations platform itself. Transformation and project activity, including workflow automation, is anticipated to yield more efficient and automated processes and a reduction in operational risk over the medium term. Strategic alignment:",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,p.53,RAG,A,"date we have used the latest available validated figures at the time of conducting the assessment. 9. Each potential investments receives a separate RAG rating for transition risk and physical climate-related risks. Red (R) indicates higher risk level, Amber (A) indicates medium level of risk, and gr",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Intermediate Capital Group,ICG,,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,p.70,AI,B,"s within portfolio companies; and – assessed the potential for use of artificial intelligence in the Group’s business, recognising the potential of AI due to the significant processing power available but also highlighting a number of issues and concerns about relying on AI exclusively. 1. 2. 3.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,p.73,AI,B,"Rosemary is a Non-executive Director of Proton AG, provider of the world's most secure email. She is a Senior Advisor to SandboxAQ a Quantum and AI company. Rosemary was previously SID, Remuneration Committee Chair and a member of the Audit Committee of YouGov Plc, and was previously a Non- Ex",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intermediate Capital Group,ICG,,ICG_company_annual_report_previous_fy2023-24_2024-06.pdf,p.92,artificial intelligence,B,"nsure that the Group maintains robust procedures and controls that effectively mitigate cyber-related risks, this will include focusing on emerging Artificial Intelligence threats. There will also continue to be a focus on the continued evolution of the wider risk and control environment. The Committee will continue",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
