staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
CNA-REJ-001,Centrica,CNA,Centrica drives a new wave of Power Platform innovation with Managed Environments and Copilot Studio | Microsoft Customer Stories,CNA_partner_partner_case_study_n-a.html,,partner_case_study,technology_partner,not_applicable,AI;Copilot,A;B,7,"=== Source file: CNA_partner_partner_case_study_n-a.html Title: Centrica drives a new wave of Power Platform innovation with Managed Environments and Copilot Studio | Microsoft Customer Stories This is the Trace Id: 35dbbf383943aaccbfdad4373296565e Skip to main content Customer Stories All stories AI ||| crosoft Customer Stories This is the Trace Id: 35dbbf383943aaccbfdad4373296565e Skip to main content Customer Stories All stories AI & Microsoft Copilot Azure Dynamics 365 Microsoft 365 Microsoft Security Microsoft Power Platform Microsoft Teams Microsoft 365 Dynamics 365 Microsoft Power Platform Mic ||| your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Follow Microsoft Surface Book 3 Surface Pro Microsoft Copilot Microsoft 365 Windows 11 apps Account profile Download Center Microsoft Store Support Extended holiday returns Order tracking Support Microsoft in ||| als for students and parents Azure for students Microsoft AI Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Advertising Microsoft 365 Copilot Microsoft Teams Microsoft Developer Microsoft Learn Support for AI marketplace apps Microsoft Tech Community Microsoft Marketplace Microsoft Power P ||| wer Platform Microsoft Teams Microsoft Security Nonprofit Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Teams Windows 365 Microsoft AI Azure Space Mixed reality Microsoft HoloLens Microsoft Viva Quantum computing Sustainability Education Automotive Financial services Government Heal ||| Studio Power Apps SERVICES AND SUPPORT ORGANIZATION SIZE 10,000+ employees COUNTRY/REGION United Kingdom BUSINESS NEED Modern infrastructure AI and Agents INDUSTRY Power and Utilities Share the story Explore related stories Stories in this industry Stories about this customer ""Previous ||| Contact Sales Microsoft 365 Dynamics 365 Microsoft Power Platform Microsoft Teams Microsoft Security Nonprofit Transform work with Microsoft AI Bring intelligence into the flow of work and help your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Fol",no,yes,webpage_boilerplate,DUPG-001,rejected,,
CNA-REJ-002,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.9,AI,B,2,"d your company is now very different from the one it was just three years ago. This year, we’ve continued to raise our game – using technology and AI to make things simpler and smoother for our customers. We’ve cut out unnecessary steps, sped up decision- making and freed up more time to delive ||| 5 7 Chris O’Shea Group Chief Executive I am confident that the future’s looking good for Centrica. The world’s changing fast, with technology and AI driving up electricity demand like never before. That means more complexity, more need for reliable, sustainable energy. Group Chief Executive’",no,no,vague_general_ai_reference,DUPG-002,rejected,,
CNA-REJ-003,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"ng a sustainable and resilient business I am confident that the future’s looking good for Centrica. The world’s changing fast, with technology and AI driving up electricity demand like never before. That means more complexity and more need for reliable, sustainable energy – exactly what Sizewel",no,no,vague_general_ai_reference,,rejected,,
CNA-REJ-004,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"tigation strategies to support vulnerable customers and ensure regulatory compliance, while accelerating technology transformation. Investments in AI and a Single Customer View platform aim to improve customer experience, maintain stable asset and health and safety risk profiles, and strengthen c",no,no,vague_general_ai_reference,,rejected,,
CNA-REJ-005,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.39,AI,B,2,"expectations, and the influence of digital-first experiences. • Complexity of adopting and integrating innovative enabling technologies (including AI), management of legacy systems and effective use of data impact responsiveness to customer demands. • Skilled engineer availability and ability to ||| her developments underway across all retail businesses to optimise benefit. • Enhancements to our customer interaction are being made through Gen AI. • Ongoing implementation of the strategic labour strategy ensuring availability of skills to service developing propositions and markets. Centric",no,no,vague_general_ai_reference,DUPG-003,rejected,,
CNA-REJ-006,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.41,AI,B,1,frequency and complexity of cyber-attacks targeting critical energy infrastructure. • Rising ransomware sophistication and potential for misuse of AI for complex attacks. • Increased digital connectivity and use of operational technology across Centrica can increase supply chain and operational,no,no,vague_general_ai_reference,,rejected,,
CNA-REJ-007,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.65,AI,B,1,"ovation globally. His experience includes managing digital/mobile channels and technology platforms across the customer lifecycle, applications of AI and Data Science across wide- ranging business applications, operational excellence and managing fraud risk. CP was the chief digital and analytics",no,no,vague_general_ai_reference,DUPG-008,rejected,,
CNA-REJ-008,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.68,AI,B,1,"ing (BOSIET) enhancing the Board’s practical understanding of offshore operational safety. • Artificial intelligence: A dedicated session exploring AI fundamentals, strategic applications, emerging regulatory considerations and implications for the workforce. • Irish energy market: A briefing prov",no,no,vague_general_ai_reference,,rejected,,
CNA-REJ-009,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.71,artificial intelligence,B,2,"anning and leadership development • Board effectiveness reviews and private sessions on succession • Training and development for Board members (e.g. artificial intelligence) • Diversity, equity and inclusion (DEI) and S172 stakeholder duties • Customer and brand strategy sessions, including communications and cultural ch ||| the formal Board effectiveness review and, as a Board, agreed improvement actions, alongside approving targeted training for Directors, including on Artificial Intelligence. In addition, the Board reviewed progress against DEI initiatives and monitored compliance with its Section 172 stakeholder duties, agreeing areas o",no,no,vague_general_ai_reference,DUPG-004,rejected,,
CNA-REJ-010,Centrica,CNA,Centrica plc Annual Report and Accounts 2025,CNA_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.75,automation,B,1,"dered perspectives from Internal Audit and the external auditors on the control environment, with particular attention on opportunities to increase automation in key business processes (including Ensek and Spirit). The Committee continued to monitor management’s remediation of control weaknesses and prog",no,no,audit_analytics,,rejected,,
