pilot_order,company,ticker,sector,reason_for_inclusion,contrast_added,recommended_test_order,collection_status,documents_found,documents_reviewed,extraction_status,manual_validation_status,notes
1,Tesco,TSCO,Food & drug retailing,"Large, high-volume consumer retailer; a baseline ordinary consumer-facing case",Retail / consumer-facing / lightly regulated,2,not_started,0,0,not_started,not_started,
2,AstraZeneca,AZN,Pharmaceuticals & biotechnology,Global R&D-intensive pharma; healthcare sector; heavily regulated,"Healthcare / mixed B2B-B2B2C / heavily regulated; sector most likely to blur predictive ML with genuine generative AI, stress-testing the inclusion/exclusion rule",1,not_started,0,0,not_started,not_started,
3,Rolls-Royce Holdings,RR,Aerospace & defence,Engineering-led industrial with defence/export-control exposure,Industrials / pure B2B-B2G / heavily regulated,4,not_started,0,0,not_started,not_started,
4,BT Group,BT.A,Telecommunications services,National telecom infrastructure and services provider,Telecommunications / mixed consumer and enterprise / utility-style regulation,3,not_started,0,0,not_started,not_started,
5,Shell plc,SHEL,Oil & gas producers,Major global energy producer,Energy / B2B-B2G / heavily regulated (environmental and safety),5,not_started,0,0,not_started,not_started,
6,Informa,INF,Media,"B2B publishing, academic content and exhibitions",Media / business-facing / lightly regulated; a traditional media anchor,8,not_started,0,0,not_started,not_started,
7,Experian,EXPN,Support services,Credit-data and information/analytics group,Professional information services / B2B / data-protection-relevant but not sector-specific regulation; chosen instead of a second media pick,7,not_started,0,0,not_started,not_started,
8,Admiral Group,ADM,Insurance,Direct-to-consumer motor/home insurer,Regulated financial-adjacent sector without being a bank; consumer-facing,6,not_started,0,0,not_started,not_started,
9,Rio Tinto,RIO,Mining,Global extractives/commodities producer,Second distinct industrial archetype (extraction vs precision engineering); B2B; environmentally regulated,9,not_started,0,0,not_started,not_started,
10,Whitbread,WTB,Retail hospitality,Hotels/restaurants operator,"Consumer services/hospitality, distinct operational model from grocery retail; lightly regulated",10,not_started,0,0,not_started,not_started,
11,Unilever,ULVR,Personal goods,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,11,not_started,0,0,not_started,not_started,
12,HSBC,HSBA,Banks,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,12,not_started,0,0,not_started,not_started,
13,Diageo,DGE,Beverages,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,13,not_started,0,0,not_started,not_started,
14,National Grid plc,NG,Multiline utilities,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,14,not_started,0,0,not_started,not_started,
15,Sage Group,SGE,Software & computer services,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,15,not_started,0,0,not_started,not_started,
16,Vodafone Group,VOD,Mobile telecommunications,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,16,not_started,0,0,not_started,not_started,
17,BP,BP,Oil & gas producers,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,17,not_started,0,0,not_started,not_started,
18,Legal & General,LGEN,Life insurance,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,18,not_started,0,0,not_started,not_started,
19,Reckitt,RKT,Household goods & home construction,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,19,not_started,0,0,not_started,not_started,
20,Croda International,CRDA,Chemicals,FTSE 100 scale-up batch loop 2 constituent (selected for sector diversity).,,20,not_started,0,0,not_started,not_started,
21,GSK plc,GSK,Pharmaceuticals & biotechnology,FTSE 100 scale-up loop 3 constituent (selected for sector diversity).,,21,not_started,0,0,not_started,not_started,
22,Lloyds Banking Group,LLOY,Banks,FTSE 100 scale-up loop 3 constituent (selected for sector diversity).,,22,not_started,0,0,not_started,not_started,
23,BAE Systems,BA,Aerospace & defence,FTSE 100 scale-up loop 3 constituent (selected for sector diversity).,,23,not_started,0,0,not_started,not_started,
24,RELX,REL,Media,FTSE 100 scale-up loop 3 constituent (selected for sector diversity).,,24,not_started,0,0,not_started,not_started,
25,Next plc,NXT,General retailers,FTSE 100 scale-up loop 3 constituent (selected for sector diversity).,,25,not_started,0,0,not_started,not_started,
26,Barratt Redrow,BTRW,Household goods & home construction,"FTSE 100 scale-up loop 4 constituent (selected for sector diversity: construction/building materials).",,26,not_started,0,0,not_started,not_started,
27,London Stock Exchange Group,LSEG,Financial services,"FTSE 100 scale-up loop 4 constituent (selected for sector diversity: diversified financial services beyond banks/insurers).",,27,not_started,0,0,not_started,not_started,
28,Smiths Group,SMIN,General industrials,"FTSE 100 scale-up loop 4 constituent (selected for sector diversity: industrial manufacturing).",,28,not_started,0,0,not_started,not_started,
29,British Land,BLND,Real estate,"FTSE 100 scale-up loop 4 constituent (selected for sector diversity: property/real estate).",,29,not_started,0,0,not_started,not_started,
30,Barclays,BARC,Banks,"FTSE 100 scale-up batch 1 constituent (selected for sector diversity: major bank).",,30,not_started,0,0,not_started,not_started,
31,Aviva,AV,Life insurance,"FTSE 100 scale-up batch 1 constituent (selected for sector diversity: life insurance).",,31,not_started,0,0,not_started,not_started,
32,Compass Group,CPG,Support services,"FTSE 100 scale-up batch 1 constituent (selected for sector diversity: foodservice/support services).",,32,not_started,0,0,not_started,not_started,
33,Halma plc,HLMA,Electronic equipment & parts,"FTSE 100 scale-up batch 1 constituent (selected for sector diversity: electronic equipment).",,33,not_started,0,0,not_started,not_started,
34,Severn Trent,SVT,Multiline utilities,"FTSE 100 scale-up batch 1 constituent (selected for sector diversity: water utility).",,34,not_started,0,0,not_started,not_started,
35,Marks & Spencer,MKS,Food & drug retailing,"FTSE 100 scale-up batch 2 constituent (selected for sector diversity: general merchandise/food retail).",,35,not_started,0,0,not_started,not_started,
36,Standard Chartered,STAN,Banks,"FTSE 100 scale-up batch 2 constituent (selected for sector diversity: emerging-markets bank).",,36,not_started,0,0,not_started,not_started,
37,Prudential plc,PRU,Life insurance,"FTSE 100 scale-up batch 2 constituent (selected for sector diversity: Asia-focused life insurer).",,37,not_started,0,0,not_started,not_started,
38,International Airlines Group,IAG,Travel & leisure,"FTSE 100 scale-up batch 2 constituent (selected for sector diversity: airline).",,38,not_started,0,0,not_started,not_started,
39,Imperial Brands,IMB,Tobacco,"FTSE 100 scale-up batch 2 constituent (selected for sector diversity: tobacco).",,39,not_started,0,0,not_started,not_started,
40,NatWest Group,NWG,Banks,"FTSE 100 scale-up batch 3 constituent (selected for sector diversity: major UK bank).",,40,not_started,0,0,not_started,not_started,
41,Persimmon,PSN,Household goods & home construction,"FTSE 100 scale-up batch 3 constituent (selected for sector diversity: homebuilder).",,41,not_started,0,0,not_started,not_started,
42,SSE plc,SSE,Electrical utilities & independent power producers,"FTSE 100 scale-up batch 3 constituent (selected for sector diversity: energy utility).",,42,not_started,0,0,not_started,not_started,
43,Auto Trader Group,AUTO,Media,"FTSE 100 scale-up batch 3 constituent (selected for sector diversity: digital marketplace).",,43,not_started,0,0,not_started,not_started,
44,Intertek,ITRK,Support services,"FTSE 100 scale-up batch 3 constituent (selected for sector diversity: testing/inspection/certification).",,44,not_started,0,0,not_started,not_started,
45,Anglo American plc,AAL,Mining,"FTSE 100 scale-up batch 4 constituent (selected for sector diversity: mining).",,45,not_started,0,0,not_started,not_started,
46,Convatec,CTEC,Health care equipment & supplies,"FTSE 100 scale-up batch 4 constituent (selected for sector diversity: medical devices).",,46,not_started,0,0,not_started,not_started,
47,Bunzl,BNZL,Support services,"FTSE 100 scale-up batch 4 constituent (selected for sector diversity: distribution).",,47,not_started,0,0,not_started,not_started,
48,Entain,ENT,Travel & leisure,"FTSE 100 scale-up batch 4 constituent (selected for sector diversity: gambling/betting).",,48,not_started,0,0,not_started,not_started,
49,Schroders,SDR,Financial services,"FTSE 100 scale-up batch 4 constituent (selected for sector diversity: asset management).",,49,not_started,0,0,not_started,not_started,
50,Haleon,HLN,Pharmaceuticals & biotechnology,"FTSE 100 scale-up batch 5 constituent (selected for sector diversity: consumer healthcare).",,50,not_started,0,0,not_started,not_started,
51,Sainsbury's,SBRY,Food & drug retailing,"FTSE 100 scale-up batch 5 constituent (selected for sector diversity: grocery retail).",,51,not_started,0,0,not_started,not_started,
52,Pearson plc,PSON,Media,"FTSE 100 scale-up batch 5 constituent (selected for sector diversity: education/publishing).",,52,not_started,0,0,not_started,not_started,
53,Smith & Nephew,SN,Health care equipment & supplies,"FTSE 100 scale-up batch 5 constituent (selected for sector diversity: medical devices).",,53,not_started,0,0,not_started,not_started,
54,Centrica,CNA,Multiline utilities,"FTSE 100 scale-up batch 5 constituent (selected for sector diversity: energy retailer).",,54,not_started,0,0,not_started,not_started,
55,Computacenter,CCC,Software & computer services,"FTSE 100 scale-up batch 6 constituent (selected for sector diversity: IT services/reseller).",,55,not_started,0,0,not_started,not_started,
56,British American Tobacco,BATS,Tobacco,"FTSE 100 scale-up batch 6 constituent (selected for sector diversity: tobacco/FMCG).",,56,not_started,0,0,not_started,not_started,
57,IHG Hotels & Resorts,IHG,Travel & leisure,"FTSE 100 scale-up batch 6 constituent (selected for sector diversity: hospitality).",,57,not_started,0,0,not_started,not_started,
58,Glencore,GLEN,Mining,"FTSE 100 scale-up batch 6 constituent (selected for sector diversity: diversified mining/commodities).",,58,not_started,0,0,not_started,not_started,
59,Kingfisher plc,KGF,Retailers,"FTSE 100 scale-up batch 6 constituent (selected for sector diversity: home-improvement retail).",,59,not_started,0,0,not_started,not_started,
60,Associated British Foods,ABF,Food & tobacco,"FTSE 100 scale-up batch 7 constituent (selected for sector diversity: diversified food/agriculture and retail conglomerate).",,60,not_started,0,0,not_started,not_started,
61,Burberry Group,BRBY,Personal goods,"FTSE 100 scale-up batch 7 constituent (selected for sector diversity: luxury fashion retail).",,61,not_started,0,0,not_started,not_started,
62,Babcock International,BAB,Aerospace & defence,"FTSE 100 scale-up batch 7 constituent (selected for sector diversity: defence engineering services).",,62,not_started,0,0,not_started,not_started,
63,M&G,MNG,Financial services,"FTSE 100 scale-up batch 7 constituent (selected for sector diversity: asset management).",,63,not_started,0,0,not_started,not_started,
