company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.15,automation,B,"increased focus on restructuring the end-to-end operation, which includes the adoption of a new merchandise and range management system, increased automation in the logistics network to support more profitable online growth, and improving the resilience and flexibility of the supply base. Continued sim",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.15,automation,B,proving the resilience and flexibility of the supply base. Continued simplification of store operations and the support centre plus investments in automation and efficiency provide scope for further cost savings. Building the M&S we need to be Reshaping M&S is underpinned by three programmes which aim t,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.19,automation,B,"latform to link all buying activities from budgeting to replenishment, removing duplicative manual activities. • Investing in efficient storage and automation in the logistics network. This will increase capacity to serve online orders, improve service and reduce costs. • A focus on better in-store proce",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.32,Gemini,A,"d new stores, supply chain and digital & technology. Store renewal investment was driven by flagship renewals opened in the year at Cribbs Causeway, Gemini and Tamworth. Spend on new stores was driven by the opening of two Full Line stores at Dundee, Washington Galleries and the extension of Fosse Park",likely_genai,medium,"Stage A high-precision generative-AI term 'Gemini' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.58,AI,B,"ction, with multi-disciplinary specialists, 24-hour Security Operations Centre and active monitoring of our threat environment, including the use of AI. • Incident management plans. • Prioritised investment in response to the overall increase in security events. • Focused security assurance around c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.59,artificial intelligence,B,"opment and skills for future success with other business priorities; • navigating a tight labour market in key areas such as technology, digital and artificial intelligence; and • adapting to changing colleague expectations and ensuring cultural alignment in areas like sustainability, diversity, and ethical values. Mit",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.64,AI,B,OUR BOARD Archie Norman Chairman N R Appointed: September 2017 Current appointments: • Chairman of Signal AI. • Chairman of Global Counsel. • Senior Independent Director of Bridgepoint Group plc. • Chairman of M Group. Prior experience: • Experienced Ch,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.71,automation,B,"is critical to support growth aspirations and meet our sustainability and Plan A goals. In Fashion, Home & Beauty, ensuring efficient storage and automation in the network is a focus of the ongoing end-to-end transformation programme. This will increase our capacity to serve online orders, improve ser",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.84,AI,B,"tte’s: • Engagement with the RFP and audit approach tailored to M&S. • Market leading and evolving technology proposition, including investment in AI to drive efficiencies and provide management with real-time insights. • Introductions to the proposed new lead partner and refreshed team, bringin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_current_fy2024-25_2025-05.pdf,p.191,Gemini,A,005 (Parman House Kingston Store) Limited 100 5502588 Marks and Spencer 2005 (Pudsey Store) Limited 100 5502544 Marks and Spencer 2005 (Warrington Gemini Store) Limited 100 5502502 Marks and Spencer Holdings Limited (iii) 100 11845975 Marks and Spencer Investments 100 4903061 Marks and Spencer Property,likely_genai,medium,"Stage A high-precision generative-AI term 'Gemini' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Marks & Spencer,MKS,,MKS_company_annual_report_previous_fy2023-24_2024-06.pdf,p.13,automation,B,"d use of hub stores for returns consolidation delivered cost savings. This year, further investment will be made in boxed storage and hanging goods automation, creating capacity for growth. –Investment into a new planning, merchandising and range management platform starts this year, to deliver efficienc",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_previous_fy2023-24_2024-06.pdf,p.22,generative AI,A,"2023/24 – a 169% increase on the previous year. More than 1,300 colleagues engaged in our first AI learning events, aiming to help build skills in generative AI which can be used in their roles to drive productivity and efficiency. Twice a year, the BEAM Academy hosts a 24-hour Hackathon, bringing togethe",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Marks & Spencer,MKS,,MKS_company_annual_report_previous_fy2023-24_2024-06.pdf,p.35,artificial intelligence,B,"y and benefits for colleagues in an uncertain cost environment; –a tight labour market in some key and emerging areas like digital, technology and artificial intelligence; and –responding to changing colleague expectations and monitoring cultural alignment in areas such as sustainability, diversity and ethical value",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Marks & Spencer,MKS,,MKS_company_annual_report_previous_fy2023-24_2024-06.pdf,p.36,artificial intelligence,B,"n, with anticipated changes around fraud, governance, and CSRD (the EU Corporate Social Responsibility Directive) as well as new EU legislation on artificial intelligence; –the divergence of regulations in the countries in which we operate, most notably in the EU; and –potential for changes in policy and regulation",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
