staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
STJ-REJ-001,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.9,AI,B,2,"latforms to banks keen to expand their financial advice capabilities to insurance companies. Digital-led offerings are increasingly available, and AI usage to help manage and plan financial affairs is on the rise. These solutions can effectively serve segments of the market, particularly those ||| affairs. The human element is very important here, adding material value to clients. We focus on ensuring that our advisers have the digital and AI tools needed to best serve their clients, using technology to strengthen relationships between advisers and clients - not replace them. The market",no,no,vague_general_ai_reference,DUPG-001,rejected,,
STJ-REJ-002,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.16,automation,B,1,"completing our major transformation programmes, continuing to simplify and standardise our processes, improving administration and embedding more automation. This will improve client experiences and enhance efficiency for our advisers. We will also embed a more performance-focused culture. Ensuring we",no,no,ordinary_automation,,rejected,,
STJ-REJ-003,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"onal technology tools designed to streamline processes, reduce administrative burden, and boost day-to-day efficiency. We already have a range of AI-enabled and digital tools which we’ve introduced or piloted. These include tools which respond to questions on our advice framework and business",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-004,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"UK Retail Investment Campaign, a landmark initiative to reshape how Britons think about long-term investing.  We introduced or piloted a range of AI tools to support the Partnership by making administrative processes more efficient. These include: – Tools which respond to questions on our advice",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-005,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.37,AI,B,1,"ecurity and threat landscape The cyber-threat environment has continued to intensify into 2025. Increased geopolitical tension, rapid innovation in AI-driven attack methods, and the growing scale of organised cybercrime have further expanded both the risk landscape and the sophistication of atte",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-006,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.40,AI,B,1,"events can disrupt markets, reduce investment returns, and increase operating costs.  Artificial intelligence risk – Artificial intelligence (AI) increases opportunities, and also presents a complex emerging risk, combining fast-moving technology with evolving regulatory, ethics, data and",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-007,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.53,artificial intelligence,B,1,"cape continued to evolve during 2025, with significant incidents affecting UK organisations and increased focus on emerging risks associated with artificial intelligence. As a regulated and responsible organisation, we continued to invest in and enhance our information security capabilities to protect our clients,",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-008,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.96,AI,B,1,"focus on providing a leading adviser offering. For example, during the year we improved this by introducing and piloting a range of technology and AI tools to help advisers work more effectively. Employee engagement and culture Measure based on performance against a dashboard of employee and",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-009,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.148,AI,B,1,"r, responsible for allocating resources and assessing performance of the operating segments, has been identified as the Group Executive Committee. (ai) Current and non‑current disclosure Assets which are expected to be recovered or settled no more than 12 months after the reporting date are disclos",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-010,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.154,AI,B,1,"0.9 7,036.4 Movement in investment contract benefits in the consolidated statement of comprehensive income 26,285.5 22,688.5 See accounting policy (ai) for further information on the current and non-current disclosure. 7. Insurance revenue Year ended 31 December 2025 Year ended 31 December 202",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-011,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2025,STJ_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.162,AI,B,1,"ered to have a maturity of up to one year since the corresponding unit liabilities are repayable and transferable on demand. See accounting policy (ai) for further information on current and non-current disclosure. Investment property 2025 2024 £’Million £’Million Balance at 1 January 892.3 1,110.3",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-012,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2024 (Strategic Report component),STJ_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.15,AI,B,1,"the business, alongside these key programmes we are progressing with our other strategic initiatives. For example, we’re developing and trialling AI tools to support advisers with administrative and technical queries, which will enhance efficiency. In addition, our investment team is exploring",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-013,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2024 (Strategic Report component),STJ_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.40,AI,B,1,"n disrupt markets, reduce investment returns, and increase operating costs.  Artificial intelligence risk – The use of artificial intelligence (AI) can improve efficiency and profitability but can also create risks associated with data privacy, algorithmic bias, and regulatory compliance.",no,no,vague_general_ai_reference,,rejected,,
STJ-REJ-014,St. James's Place,STJ,St. James's Place Annual Report and Accounts 2024 (Strategic Report component),STJ_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.49,AI,B,1,"ality immersive technology is growing rapidly, with workshops available for employees covering topics such as communication and negotiation using AI software, in addition to vulnerable client roleplays for our Partnership, enhancing their empathy training and support for clients in vulnerable c",no,no,vague_general_ai_reference,,rejected,,
