duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,IHG Hotels & Resorts,IHG-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.16) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,IHG Hotels & Resorts,IHG-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.22) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,IHG Hotels & Resorts,IHG-STR-002,strategic_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.22) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-004,IHG Hotels & Resorts,IHG-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.37) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-005,IHG Hotels & Resorts,IHG-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.37) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,IHG Hotels & Resorts,IHG-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.41) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,IHG Hotels & Resorts,IHG-REJ-023,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.52) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,IHG Hotels & Resorts,IHG-GOV-004,governance_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.53) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-009,IHG Hotels & Resorts,IHG-REJ-024,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.53) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,IHG Hotels & Resorts,IHG-STR-005,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.116) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-011,IHG Hotels & Resorts,IHG-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.265) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,IHG Hotels & Resorts,IHG-REJ-035,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.267) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,IHG Hotels & Resorts,IHG-REJ-036,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.270) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,IHG Hotels & Resorts,IHG-REJ-037,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.271) of IHG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,IHG Hotels & Resorts,IHG-REJ-042,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.21) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,IHG Hotels & Resorts,IHG-REJ-044,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.35) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,IHG Hotels & Resorts,IHG-REJ-048,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.46) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,IHG Hotels & Resorts,IHG-REJ-049,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.48) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,IHG Hotels & Resorts,IHG-REJ-052,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.51) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-020,IHG Hotels & Resorts,IHG-REJ-057,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.130) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-021,IHG Hotels & Resorts,IHG-REJ-062,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.283) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-022,IHG Hotels & Resorts,IHG-REJ-063,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.286) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-023,IHG Hotels & Resorts,IHG-REJ-064,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.287) of IHG_company_annual_report_previous_fy2024_2025-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-024,IHG Hotels & Resorts,IHG-REJ-066,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (not_applicable) of IHG_company_press_release_n-a_2026-07-28.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-025,IHG Hotels & Resorts,IHG-GOV-003;IHG-GOV-009,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.51,Passages in IHG_company_annual_report_current_fy2025_2026-02.pdf and IHG_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 0.51).,yes,,
DUPG-026,IHG Hotels & Resorts,IHG-REJ-021;IHG-REJ-050,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.69,Passages in IHG_company_annual_report_current_fy2025_2026-02.pdf and IHG_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 0.69).,yes,,
DUPG-027,IHG Hotels & Resorts,IHG-REJ-029;IHG-REJ-057,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.62,Passages in IHG_company_annual_report_current_fy2025_2026-02.pdf and IHG_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 0.62).,yes,,
DUPG-028,IHG Hotels & Resorts,IHG-REJ-031;IHG-REJ-058,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in IHG_company_annual_report_current_fy2025_2026-02.pdf and IHG_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-029,IHG Hotels & Resorts,IHG-REJ-032;IHG-REJ-060,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in IHG_company_annual_report_current_fy2025_2026-02.pdf and IHG_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-030,IHG Hotels & Resorts,IHG-REJ-038;IHG-REJ-065,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in IHG_company_annual_report_current_fy2025_2026-02.pdf and IHG_company_annual_report_previous_fy2024_2025-02.pdf are textually very similar (difflib ratio 1.00).,yes,,
