staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PSON-GOV-001,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.8,AI,B,1,erational excellence Deeply embedded Proprietary data sets Unique Characteristics & Enduring Strengths Upskilling demand Mega trends Demographics AI Pearson plc Annual report and accounts 2025 Strategic report Governance report Financial statements Other information 6,no,no,ai_governance_framework,,governance,accept,
PSON-GOV-002,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.9,AI,B,3,"ency, performance and learning outcomes From operations to products, AI is enhancing execution at scale. Improving efficiency and speed to market • AI-enabled authoring and editorial tools that shorten product development cycles • Multilingual content translation with human-in-the-loop governance ||| nabled authoring and editorial tools that shorten product development cycles • Multilingual content translation with human-in-the-loop governance • AI-powered customer support and employee productivity tools that improve speed and consistency Embedding AI into trusted products • AI Study Tools in ||| nsuring consistency, efficiency and responsible AI practices across Pearson. Operating AI responsibly Trust, safety and integrity are central to our AI deployments, supported by robust governance aligned with global standards Hyperscalers • Microsoft • AWS • Google Cloud Breadth of strategic a",no,no,ai_governance_framework,DUPG-005,governance,accept,
PSON-GOV-003,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"d operating model The AI Centre for Enablement (C4E) provides shared standards, tools and expertise to accelerate experimentation and scale reusable AI solutions. It enables faster innovation while ensuring consistency, efficiency and responsible AI practices across Pearson. Operating AI responsibly",no,no,safeguards_and_responsible_use,,governance,accept,
PSON-GOV-004,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"move from enablement to enterprise-wide execution and strategic impact. Ventures & labs We unified our Ventures, Ecosystem Partnerships, Responsible AI and Labs into a powerful engine for applied research and emerging-technology acceleration. We officially launched our first Innovation Lab in Lon",no,no,safeguards_and_responsible_use,,governance,accept,
PSON-GOV-005,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"d decisions during the year can be found in the Directors’ Remuneration Report (pages 117-152) and the Governance section of this Annual Report. As AI reshapes learning and work, Pearson sits at the nexus of learners, educators and employers – helping people prepare for what’s next and converti",no,no,ai_governance_framework,,governance,accept,
PSON-GOV-006,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.35,AI,B,2,"pacts, including those related to accuracy, accessibility, cyber security and data privacy. In 2025, we welcomed a new Senior Lead for Responsible AI to lead our Responsible AI function. Our new AI Centre for Enablement (C4E) fosters a unified approach to product development and is founded on tr ||| ach to product development and is founded on trust, safety and the principles of security and accountability. Together, the C4E and our Responsible AI function are laying the foundations to align our AI activities with ethical, legal and compliance standards. Read more on page 38. Our Interactive",no,no,safeguards_and_responsible_use,DUPG-021,governance,accept,
PSON-GOV-007,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.37,AI,B,1,lder trust through diligent management of our strategically significant sustainability focus areas: • Learning science and innovation • Responsible AI • Responsible content • Accessibility • Cyber security and data privacy • Culture of engagement • Talent development • Employee learning and up,no,no,safeguards_and_responsible_use,,governance,accept,
PSON-GOV-008,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.40,AI,B,3,"suring all AI activities align with ethical, legal and compliance standards. We continue to strengthen our strategy and governance processes around AI to ensure we use and apply this technology responsibly: • Our RAI Principles and AI Governance Framework were established in 2025 to support our ||| this technology responsibly: • Our RAI Principles and AI Governance Framework were established in 2025 to support our AI strategy and underpin our AI-related research and product development. Based on internationally-recognised frameworks and aligned with our policies and Global Quality Standards ||| Global Quality Standards, the principles cover fair, reliable and effective experiences, transparency and accountability, and trustworthy and safe AI. • The Governance Framework provides a structured approach to managing AI systems and aligns to the NIST AI Risk Management Framework, the EU AI Ac",no,no,ai_governance_framework,DUPG-025,governance,accept,
PSON-GOV-009,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.40,AI,B,2,"earn. • Launched Pearson Labs, a new research space in London dedicated to accelerating emerging learning technologies and innovation. Responsible AI (RAI) Ensuring the AI we use and embed in our products is safe, fair, transparent and contributes to improved learning outcomes is essential to p ||| ished consistent technology standards, and our Chief Technology Officer oversees the digital experience at Pearson. Our Senior Lead for Responsible AI leads this area of work, ensuring all AI activities align with ethical, legal and compliance standards. We continue to strengthen our strategy and",no,no,safeguards_and_responsible_use,DUPG-026,governance,accept,
PSON-GOV-010,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.44,AI,B,2,"Focus areas Approach and governance 2025 actions Learning and Responsible AI (RAI) Applied responsibly, AI and digital technologies can transform access to learning and acquisition of knowledge. We upskill our employees so ||| nd consistent way. Working in close partnership with the RAI team, the C4E ensures we have embedded ethical principles and robust governance in our AI initiatives. • Continued to develop our employees’ technical capabilities. Our workforce completed 48,000+ hours of AI-related learning. • Provid",no,no,ai_governance_framework,DUPG-031,governance,accept,
PSON-GOV-011,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.46,AI,B,1,"on of more stringent environmental criteria for building selection, which helped us reduce our natural gas and electricity consumption. Responsible AI and digital supply chain management As we continue to expand our AI-enabled learning experiences, our demand for data storage and processing will",no,no,safeguards_and_responsible_use,,governance,accept,
