record_id,company,sector,use_case_name,primary_business_function,deployment_stage,input_type,output_type,cost_of_error,fit_judgement
AZN-UC-002,AstraZeneca,Pharmaceuticals & biotechnology,Microsoft Copilot for R&D task guidance,research_development,live_limited,unstructured_language,generative_interpretive,low,good
AZN-UC-003,AstraZeneca,Pharmaceuticals & biotechnology,"AWS Bedrock Agents-based ""Development Assistant"" for R&D data queries",research_development,live_limited,unstructured_language,generative_interpretive,medium,good
AZN-UC-004C,AstraZeneca,Pharmaceuticals & biotechnology,Foundation-model analysis of real-world evidence for hypothesis generation,research_development,live_limited,structured_or_nonlanguage,generative_interpretive,low,partial
TSCO-UC-002,Tesco,Food & drug retailing,Tesco Media Creative Studio -- GenAI ad-creative generation tool,marketing_content,live_limited,structured_or_nonlanguage,generative_interpretive,low,good
BT-UC-001,BT Group,Telecommunications services,GenAI Gateway: Openreach engineering-note summarisation,operations_supply_chain,pilot,unstructured_language,generative_interpretive,low,good
BT-UC-002,BT Group,Telecommunications services,GenAI Gateway: contract analysis for Business/legal/procurement,risk_legal_compliance,live_limited,unstructured_language,generative_interpretive,medium,good
BT-UC-003,BT Group,Telecommunications services,Sprinklr/Aimee generative-AI customer service,customer_service,live_scaled,unstructured_language,generative_interpretive,medium,good
BT-UC-004,BT Group,Telecommunications services,"Amazon Q Developer for code generation, testing and transformation",software_development_it,live_scaled,unstructured_language,generative_interpretive,low,good
RR-UC-001,Rolls-Royce Holdings,Aerospace & defence,Databricks cGAN for preliminary aero-engine design generation,research_development,pilot,structured_or_nonlanguage,generative_interpretive,low,partial
EXPN-UC-001,Experian,Support services,Experian Assistant for Model Risk Management -- GenAI-enabled documentation and governance automation,risk_legal_compliance,live_limited,unstructured_language,generative_interpretive,medium,good
RIO-UC-001,Rio Tinto,Mining,GPT-like knowledge agent for the Annual Planning Review workshop,knowledge_document_work,pilot,unstructured_language,generative_interpretive,low,good
DGE-UC-001,Diageo,Beverages,Johnnie Walker x Scott Naismith generative-AI bottle/label personalisation pilot,product_service_innovation,pilot,structured_or_nonlanguage,generative_interpretive,low,partial
DGE-UC-002,Diageo,Beverages,Generative-AI chatbot for cybersecurity training and phishing simulation,cybersecurity,live_limited,unstructured_language,generative_interpretive,low,good
DGE-UC-003,Diageo,Beverages,'What's Your Cocktail?' generative-AI food-pairing recommendation platform,product_service_innovation,live_limited,structured_or_nonlanguage,generative_interpretive,low,partial
VOD-UC-001,Vodafone Group,Mobile telecommunications,SuperTOBi generative-AI customer virtual assistant,customer_service,live_scaled,unstructured_language,generative_interpretive,medium,good
VOD-UC-002,Vodafone Group,Mobile telecommunications,Copilot for Microsoft 365 employee productivity rollout,software_development_it,live_scaled,unstructured_language,generative_interpretive,low,good
