staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
EXPN-GOV-001,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"lt on irreplicable data sourced from thousands of contributors, safeguarded within highly regulated, compliance- intensive markets. We are embedding AI across our B2B and consumer propositions to enable faster, more automated credit, fraud and identity decisions, enhancing both performance and cust",no,no,safeguards_and_responsible_use,,governance,,
EXPN-GOV-002,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"tion, more advanced analytics and more personalised engagement. It also supports productivity improvements within organisations. At the same time, AI raises the bar for fraud detection, governance and explainability. As AI-driven interactions and transactions increase, so too does the need for tr",no,no,ai_governance_framework,,governance,,
EXPN-GOV-003,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.20,AI,B,1,"to credit, safeguard their identity, save money, negotiate debt and improve their financial knowledge through increasingly personalised, agentic, AI-enabled experiences. 3. Help businesses verify identity and combat fraud, streamline the authentication of legitimate parties, and achieve regul",no,no,safeguards_and_responsible_use,,governance,,
EXPN-GOV-004,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.21,AI,B,1,"ugh to validation, monitoring and governance, bringing previously fragmented activities into a single, integrated workflow. Advanced analytics and AI are used selectively to reduce manual effort, improve consistency and support more effective collaboration across risk, compliance and analytics te",no,no,ai_governance_framework,,governance,,
EXPN-GOV-005,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.22,AI,B,1,"consumers take actions to improve their financial health. As EVA continues to scale across the USA, the UK and other markets, it demonstrates how AI can enhance customer experiences, increase relevance and support growth – while remaining grounded in trusted data, responsible governance and cl",no,no,ai_governance_framework,,governance,,
EXPN-GOV-006,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.25,AI,B,1,"ct innovation potential in coming years. Risk management Strong risk management is key to long-term success. In FY26, we have established a robust AI governance framework to ensure responsible, secure and compliant adoption of AI across the Group. UK and Ireland Consumer Services: we are becoming",no,no,ai_governance_framework,,governance,,
EXPN-GOV-007,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.27,AI,B,6,"rogress • La unched AI-enabled products across Consumer Services, Financial Services, and Verticals. Key examples include: – In troduced Consumer AI Assistant (EVA) to deliver personalised interactions, and an AI-assisted Model Risk Management module in Ascend to streamline model governance. ||| deliver personalised interactions, and an AI-assisted Model Risk Management module in Ascend to streamline model governance. – Ro lled out the AI-powered Patient Access Curator in Health to transform patient access workflows. Reinvent existing markets FY26 progress • Re imagined consumer an ||| rator in Health to transform patient access workflows. Reinvent existing markets FY26 progress • Re imagined consumer and client experiences with AI-native assistants and personalised engagement. • Re defined risk, verification, and governance through intelligent automation and real-time decis ||| and personalised engagement. • Re defined risk, verification, and governance through intelligent automation and real-time decisioning. • Em bedded AI across our platforms to modernise workflows, accelerate insights, and enable agentic automation at scale. Unlock new growth opportunities FY26 prog ||| n operates FY26 progress • Ac hieved c.85–90% cloud migration in North America (excl. Health) and Brazil. • St rengthened approach to responsible AI, evolving from a centralised council model to an embedded governance model integrated across product development and operations, aligned with glo ||| to an embedded governance model integrated across product development and operations, aligned with global risk oversight. Our ambition Leverage AI as a force multiplier to accelerate productivity, expand use cases in our core markets, and unlock new growth areas previously out of reach for Exp",no,no,ai_governance_framework,DUPG-015,governance,,
EXPN-GOV-008,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.32,AI,B,2,"credit score app on ChatGPT, while in Brazil we integrated our financial education content into ChatGPT, delivering insights through conversational AI. These initiatives extend our reach into new AI-driven channels and enhance consumer engagement. Chief Executive's review continued Governance and S ||| s. This reinforces our commitment to treating data with respect, while we continue to mature our controls and governance in line with the evolving AI landscape. We continue to expand positive social impact. In the USA, we launched the Experian Credit + Cashflow Score, which combines traditional a",no,no,ai_governance_framework,DUPG-022,governance,,
EXPN-GOV-009,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"ne of the World’s Best Workplaces™ 2025, reflecting our collaborative and high-performing culture. We have strengthened our approach to responsible AI with the deployment of our global AI Policy, aligned to the US National Institute of Standards and Technology’s (NIST’s) Trustworthy AI guidelines.",no,no,safeguards_and_responsible_use,,governance,,
EXPN-GOV-010,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.52,AI,B,3,"ayments of utility bills and subscription services. See pages 48-49 for more on how we are driving financial inclusion. Our responsible approach to AI At Experian, we champion the responsible use of AI to enhance productivity, drive innovation, and improve solutions for evolving customer and clien ||| champion the responsible use of AI to enhance productivity, drive innovation, and improve solutions for evolving customer and client needs. We use AI responsibly in line with our Global Data Principles. Our Global AI Policy provides a clear framework for the safe, responsible and scalable adoptio ||| onsibly in line with our Global Data Principles. Our Global AI Policy provides a clear framework for the safe, responsible and scalable adoption of AI throughout Experian. It aligns with the US National Institute of Standards and Technology’s characteristics of trustworthy AI. Responsible AI consi",no,no,safeguards_and_responsible_use,DUPG-026,governance,,
EXPN-GOV-011,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.66,AI,B,1,"iness and continuing to embed these capabilities across our platforms and propositions. We are building common tooling, standards and governance so AI is applied responsibly, securely and with appropriate controls, while investing in talent and change management to support adoption at scale. As pr",no,no,ai_governance_framework,,governance,,
EXPN-GOV-012,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.105,AI,B,1,"anagement, recognising the critical role these play in protecting the Group’s operations and data. The Committee also considered the Group’s use of AI, including related regulatory and compliance developments, as part of its broader oversight of risk and governance. Alongside this, the Committee r",no,no,ai_governance_framework,,governance,,
EXPN-GOV-013,Experian,EXPN,Experian brings trusted agentic AI to financial services with the launch of Agent Operating System (TM),EXPN_company_press_release_experian-brings-trusted-agentic-ai-to-financial-services-wit_2026-06-02.html,,press_release,company_primary,not_applicable,AI;automation,B,7,"client and partner AI agents within a trusted operating layer for data, decisioning, governance and control 55% of consumers say they would allow an AI agent to make an autonomous purchase on their behalf ServiceNow becomes first partner to integrate with Experian’s Agent Operating System London an ||| re made, how customers are served and how organisations operate at scale. This is no longer about experimentation. The winners will be those who turn AI into trusted operational reality, built on high quality data, strong governance and transparency in every decision. “The Experian Agent Operating Sy ||| s together our unique data, advanced analytics, decisioning expertise and embedded governance within the Ascend Platform to help organisations deploy AI with confidence. This ultimately enables clients to automate key lending workflows, like fraud checks or loan approvals, in real time compared to the ||| r business reinvention, will be the first partner to integrate with Experian’s Agent Operating System. Through the multi-year partnership, ServiceNow AI agents will connect with Experian’s Ascend Platform, allowing customers to access trusted data, decisioning and governance capabilities within existi ||| m customer acquisition and fraud detection to credit decisioning, portfolio monitoring, and reporting, Agent Operating System bridges the gap between AI ambition and operational reality. It combines data, analytics, decisioning, and identity with built-in governance, risk management, explainability, a ||| e: A trusted agentic operating layer: Identity, access control, data security, compliance guardrails, monitoring and governance controls that enable AI agents to operate safely across data, models and workflows. Composability: Experian, client-built, and partner agents work together without having t ||| data, analytics, decisioning, and identity with built-in governance, risk management, explainability, and controls to enable trusted complex workflow automation. The Agent Operating System will be available to early adopters later this year, before rolling out to more than 2,300 client solutions globally. Ke",no,no,ai_governance_framework,DUPG-037,governance,accept,"REVIEW: confirmed as governance, not promoted to operational. Concrete lending-workflow tasks are named (fraud checks, loan approvals) but deployment_stage is explicitly planned/future ('will be available to early adopters later this year, before rolling out to more than 2,300 client solutions globally') -- fails the operational bar requiring an actual, pilot, limited-live or scaled deployment. Evidence uses 'agentic AI' terminology throughout rather than explicit 'generative AI'/'LLM'/'foundation model' language; treated as a qualifying reference for this review but noted as an interpretive judgment. Retained as governance (control/oversight/compliance framing). Consolidated with EXPN-REJ-065 and EXPN-REJ-066, which describe the same launch."
