duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Pearson plc,PSON-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.3) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Pearson plc,PSON-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.6) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Pearson plc,PSON-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,10 passages on the same page (p.7) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Pearson plc,PSON-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.8) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Pearson plc,PSON-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.9) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-006,Pearson plc,PSON-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.9) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Pearson plc,PSON-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Pearson plc,PSON-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.12) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Pearson plc,PSON-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.13) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Pearson plc,PSON-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.14) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Pearson plc,PSON-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.15) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Pearson plc,PSON-STR-004,strategic_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.16) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-013,Pearson plc,PSON-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.17) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Pearson plc,PSON-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.20) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Pearson plc,PSON-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.21) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Pearson plc,PSON-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.22) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same predictive personalisation theme and were consolidated into one row.,yes,,
DUPG-017,Pearson plc,PSON-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.22) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,Pearson plc,PSON-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.23) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,Pearson plc,PSON-STR-007,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.23) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same digital transformation theme and were consolidated into one row.,yes,,
DUPG-020,Pearson plc,PSON-REJ-024,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.34) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-021,Pearson plc,PSON-GOV-006,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.35) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-022,Pearson plc,PSON-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.35) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-023,Pearson plc,PSON-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.36) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-024,Pearson plc,PSON-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.39) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-025,Pearson plc,PSON-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.40) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-026,Pearson plc,PSON-GOV-009,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.40) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-027,Pearson plc,PSON-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.40) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-028,Pearson plc,PSON-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.41) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-029,Pearson plc,PSON-REJ-032,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.42) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-030,Pearson plc,PSON-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.43) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-031,Pearson plc,PSON-GOV-010,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.44) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-032,Pearson plc,PSON-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.44) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-033,Pearson plc,PSON-REJ-035,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.45) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-034,Pearson plc,PSON-REJ-036,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.46) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-035,Pearson plc,PSON-GOV-012,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.61) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-036,Pearson plc,PSON-REJ-038,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.61) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-037,Pearson plc,PSON-REJ-046,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.73) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-038,Pearson plc,PSON-REJ-051,rejected_candidates_staging,same_source_consolidation,not_applicable,11 passages on the same page (p.85) of PSON_company_annual_report_current_fy2025_2026.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
