company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.5,automation,B,"nologies for critical applications in aerospace, energy, infrastructure, medical and rail. Our businesses provide wires and cables, connectors and automation parts for use in high‑tech industries and equipment, from aircraft and F1 cars to datacentres and medical devices. Our businesses Our businesses O",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.9,automation,B,"nce, infrastructure, in vitro diagnostics – and we are seeking opportunities to extend our presence. In other markets – for example, datacentres, automation, clean energy, scientific ‑ we are in the early stages of establishing a presence and are building on the great work that has already been happeni",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.19,automation,B,"ave an exciting opportunity to access structurally high‑growth end markets, such as renewables, datacentres, electrification, aerospace, industrial automation, in vitro diagnostics and infrastructure. We have increased our exposure in these markets, but still have a very small share, meaning there is lot",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.20,AI,B,"al to aircraft manufacturing, creating significant opportunities for specialised suppliers. Accelerating market growth is being driven by rising AI‑related demands for power, infrastructure, and advanced liquid cooling solutions, creating significant opportunities across the datacentre and te",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.20,automation,B,"ignificantly grown its presence in attractive growth markets. Some examples include renewables, datacentres, electrification, aerospace, industrial automation, in vitro diagnostics and infrastructure. AEROSPACE DATACENTRES IVD INDUSTRIAL AUTOMATION CLEAN ENERGY WATER Long‑term growth in aerospace is bei",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.20,automation,B,"d cancer screening, and emerging technologies such as genomics is driving growth opportunities across the sector. Long‑term growth in industrial automation is being driven by manufacturing reshoring, increased adoption by OEMs to address labour shortages, and the replacement and upgrading of ageing",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.20,automation,B,and exploratory end markets. ESTABLISHED Supporting long-term structural growth EARLY STAGE EXPLORATORY Aerospace Datacentres Water Defence Automation Energy storage Infrastructure Clean energy Nuclear IVD Scientific,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.21,automation,B,NCE SPAIN OTHER EU ANZ CURRENT ADDRESSABLE MARKET CONTROLS Wire and cable Interconnect solutions Specialty fasteners Specialty adhesives Industrial automation SEALS Seals Gaskets Hoses and fittings Pumps and valves LIFE SCIENCES In vitro diagnostics Medtech Scientific GROWING ADDRESSABLE MARKET New produc,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.25,automation,B,"tory solutions. 6% of Sector revenue UK HQ T.I.E. T.I.E. provides components for the specialist repair, servicing and refurbishment of industrial automation equipment for customers in machine shops, metalworking and manufacturing industries. Customers benefit from minimised downtime, technical suppor",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Diploma,DPLM,,DPLM_company_annual_report_current_fy2025_2025-11.pdf,p.25,automation,B,s completed up to 18 November 2025. WHERE WE SELL Revenue by geography1 WHO WE SELL TO Our end markets WHAT WE SELL Revenue by product1 • Aerospace • Automation • Automotive • Datacentres and digital • Defence • Electrification • Energy • Industrial • Infrastructure • Marine • Medical & pharma • Motorsport •,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
