duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,NatWest Group,NWG-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,NatWest Group,NWG-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.12) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,NatWest Group,NWG-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.25) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,NatWest Group,NWG-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.28) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,NatWest Group,NWG-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.34) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,NatWest Group,NWG-GOV-006,governance_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.49) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-007,NatWest Group,NWG-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.49) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,NatWest Group,NWG-STR-002,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.49) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-009,NatWest Group,NWG-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.57) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,NatWest Group,NWG-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.61) of NWG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
