staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
MTLN-REJ-001,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"• 7 research projects to increase competitiveness and explore the implementation of an industrial circular economy • Development of 7 innovative AI chain solutions for smart grid, storage, energy demand forecasting Social Capital • Central consultation with the participation of 622 represent",no,no,predictive_personalisation,DUPG-006,rejected,,
MTLN-REJ-002,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.19,automation,B,1,"plan, report, and manage performance across the Group. At the same time, we are expanding the use of digital platforms and technologies to improve automation, reporting, insights, and analytics, enabling our teams to focus increasingly on higher-value activities, stronger business partnering, and long-t",no,no,ordinary_automation,,rejected,,
MTLN-REJ-003,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.58,artificial intelligence,B,1,"erations, enhancing collaboration between Business Sectors, Production Technology, and Information Technology. Combined with the strategic use of Artificial Intelligence, this approach aims to achieve tangible results more quickly and efficiently. It fosters a flexible and collaborative environment where cross- fun",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-004,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.62,artificial intelligence,B,1,"et the requirements of a new generation of consumers, where every consumer can become an energy manager through technology. Using modern tools and artificial intelligence systems, as well as photovoltaic installations and digital meters, the Energy Sector provides customised energy solutions tailored to the profile",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-005,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.66,artificial intelligence,B,1,"is, only the completed questionnaires were used, while reasonableness checks were applied to verify the relevance of the answers. With the use of artificial intelligence tools, each answer was correlated with the corresponding Topic or Subtopic of the ESRS Standards, while in cases of multiple correlation, the answ",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-006,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.104,AI,B,1,"opean and international aluminium industry roadmaps (Net Zero by 2050: Science based Decarbonisation Pathways for the European Aluminium Industry, AI GHG Pathways and IRENA), covering the necessary technologies and mechanisms for the pathway toward 2050. The Group’s transition plan encompasses",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-007,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.196,automation,B,1,"onsecutive shifts without adequate rest. Moving forward, the integration of the process into METLEN Success Factors is planned in order to enhance automation and monitoring, reducing the negative impact of work circularity and enhancing shift predictability for workers. c) Monitoring and evaluation of w",no,no,ordinary_automation,,rejected,,
MTLN-REJ-008,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.240,artificial intelligence,B,1,"plemention Years MDR-A_68-c 10 – Reduced Inequalities “AMEA (PWD) – Annotators 2” Science For You (SCIFY) Training of People with Disabilities in Artificial Intelligence, Annotation Skills Development for the Development of Artificial Intelligence Systems. 205 2024-2025 Modernisation of the Printing – Lithography De",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-009,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.252,AI;GenAI;artificial intelligence;generative AI;machine learning,A;B,12,"cial Intelligence (AI) software and solutions for Energy and “Smart Cities”, because it combines Energy Machine Learning Models, Location AI and Generative AI. Specifically, Avokado offers: S4-4_33-b a) an AI platform under the trade name AVOX™ for the green energy transition of businesses, organisations ||| S), c) a digital Artificial Intelligence toolkit under the brand name Avokado AI™ to meet the specialised needs of the energy industry, d) a smart GenAI CORTEX digital assistant for B2B customers. MDR-A_66 During 2025, the following projects/new products and services were underway: S4-4_32-b 1. P ||| 25, the following projects/new products and services were underway: S4-4_32-b 1. Project Avokado CORTEX: creation of an Energy Assistant based on GenAI. The smart energy assistant CORTEX operates on top of the AVOX platform and acts as an assistant for B2B customers in matters of energy managemen ||| ology company Avokado (https://avokado.energy/) which acts as a strategic technological arm of METLEN Group in matters of Artificial Intelligence (AI), Technology and Digital Innovation, while more information about this collaboration is reflected in the corporate website. The adoption of new t ||| about this collaboration is reflected in the corporate website. The adoption of new technological solutions, especially Artificial Intelligence (AI) is a necessary condition for the implementation of the “green” energy transition. However, the global supply is limited relative to the demand th ||| or the green energy transition of businesses, organisations and bodies of Central Government, Municipalities, Local Authorities and Regions, b) an AI operating system under the brand name AVOS™ to enhance functionalities and extend the life of household battery systems, as well as larger energy ||| ers with smart meters. The platform manages data from smart meters developed by Protergia to residential consumers, with the integration of many AI algorithms. 3. Project AVOS Smart Battery management for Net Billing services. Algorithms and automated storage scheduler for storage and battery ||| hold appliances in Protergia customers. 6. European project SEDIMARK: European H2020 project on data marketplaces in the energy sector for data and AI services. 7. European Project TRINEFLEX: European H2020 project on Demand Response issues with blockchain technologies. MDR-A_67 MDR-A_68-b In add ||| kado aims to fill this gap, with solutions tailored to the needs of the smart energy market. Avokado is the only specialised producer of integrated artificial intelligence solutions for energy and “Smart Cities” in Greece, with METLEN Group as the sole shareholder. In particular, Avokado has deep knowledge of the ele ||| and regional authorities, as well as organisations/ bodies of the Central Government) for their green energy transition with particular emphasis on Artificial Intelligence operating systems for the optimisation of the life cycle of household battery systems and professional energy storage systems (BESS). Avokado’s in ||| g systems for the optimisation of the life cycle of household battery systems and professional energy storage systems (BESS). Avokado’s innovative Artificial Intelligence operating system for home battery systems and professional energy storage systems (BESS) is commercially available under the brand name AVOS™. A ||| particular, Avokado has deep knowledge of the electricity market, in Greece and abroad, having invested in the development and standardisation of machine learning algorithms and models, which cover a range of needs of energy producers and consumers (producers of electricity from conventional and renewable s",no,no,vague_general_ai_reference,DUPG-001,rejected,correct,"Fragment of the Avokado CORTEX GenAI digital-assistant narrative, over-consolidated/duplicated across four rejected rows (MTLN-REJ-009, current AR; MTLN-REJ-021/022/023, previous AR) spanning both annual reports. The fullest passage (current AR, p.252, cross-checked against the full extracted source text) confirms METLEN's technology subsidiary Avokado offers 'a smart GenAI CORTEX digital assistant for B2B customers', described as 'an Energy Assistant based on GenAI' operating on top of the AVOX platform to assist B2B customers with energy management and cost budgeting. Split out to new operational staging row MTLN-OP-001. This row marked reviewer_decision=correct to exclude it from rejected-findings promotion, since its qualifying content has moved to MTLN-OP-001."
MTLN-REJ-010,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.294,LLM,A,1,"tisations, for clients such as Air France, Portugal Telecom and the Greek Public Power Corporation. Qualifications • New York-qualified lawyer, with LLM from George Washington University and JD from the University of Athens. ESRS2:GOV-1_21_c ESRS2:GOV-1_22_a Ioannis Petrides Senior Independent Direc",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-011,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.307,AI,B,1,"and response plans the Group has in place. 3. Reviews of the Group’s budget and financial forecasts. 4. The impact of technology, geopolitics and AI on the Group. Activities during the period 1. Maintaining resilience through systems of internal control and risk management Risk management The",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-012,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2025,MTLN_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.308,AI,B,1,"dvisory engagements aligned to the Group’s strategic risks, including financial reporting processes, major projects, compliance frameworks, cyber, AI and IT controls, sustainability reporting readiness and key operational areas, supported by quaterly follow-up review and thematic reporting to m",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-013,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.27,AI,B,1,"14 research projects to increase competitiveness and explore the implementation of an industrial circular economy Development of 11 innovative AI & blockchain solutions for smart grid, storage, energy demand forecasting Intangible Central consultation with the participation of 360 represen",no,no,predictive_personalisation,DUPG-006,rejected,,
MTLN-REJ-014,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.41,AI;GenAI,A;B,2,"is is placed on leveraging Artiﬁcial Intelligence, with 12 out of the 45 digital products and platforms currently under development incorporating AI/GenAI technology. Additionally, the plan is backed by 150+ employees (to date) and a specialized upskilling program that offers targeted learning and devel ||| s at improving productivity and reducing production costs (e.g. via collection and visualization of operating data), enhancing employee safety using AI, improving quality control, using Augmented Reality / Virtual Reality for training purposes and remote technical assistance, using drones for inspec",no,no,vague_general_ai_reference,DUPG-002,rejected,,
MTLN-REJ-015,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.54,AI,B,1,"g METLEN’s strategic objectives. Examples include carbon capture, utilization, and storage (CCUS) solutions; hydrogen utilization; smart cities; and AI and machine learning platforms for energy trading, renewable energy forecasting, energy storage, and mining activities. While these advancements pro",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-016,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.55,AI,B,1,"g METLEN’s strategic objectives. Examples include carbon capture, utilization, and storage (CCUS) solutions; hydrogen utilization; smart cities; and AI and machine learning platforms for energy trading, renewable energy forecasting, energy storage, and mining activities. While these advancements pro",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-017,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.60,AI,B,1,"s objectives of Metals Sector including a) the development and installation of a new unit to process tri-hydrated bauxite and b) the exploration of AI capabilities and use cases for optimizing bauxite exploration. At an operational level, METLEN has policies and processes for developing, monitorin",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-018,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.61,AI,B,1,"s objectives of Metals Sector including a) the development and installation of a new unit to process tri-hydrated bauxite and b) the exploration of AI capabilities and use cases for optimizing bauxite exploration. At an operational level, METLEN has policies and processes for developing, monitorin",no,no,vague_general_ai_reference,,rejected,,
MTLN-REJ-019,Metlen Energy & Metals,MTLN,Metlen Energy & Metals Integrated Annual Report 2024,MTLN_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.129,automation,B,1,"s, businesses and consumers will be able to more effectively monitor energy consumption and reduce waste. Implementation of smart grids, industrial automation and energy management systems, for both industries and household uses, will enable efficiency to be maximised and emissions to be minimised, contrib",no,no,ordinary_automation,,rejected,,
