company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.8,AI,B,"precision Science-Based Customer Excellence Intertek innovation in action: smarter AI, stronger supply chains True to our pioneering spirit, innovative new solutions such as AI 2 and SupplyTek are already helping our clients to navi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.8,AI,B,"it, innovative new solutions such as AI 2 and SupplyTek are already helping our clients to navigate a rapidly changing world. From smarter, safer AI to resilient, re -en gineered supply chains, our end-to-end consulting, training and assurance solutions deliver trust, agility and competitive a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.8,AI,B,"st, agility and competitive advantage – helping to turn risks into opportunities. “ WITH ORGANISATIONS ACROSS EVERY INDUSTRY RACING TO INTEGRATE AI INTO THEIR SYSTEMS, INTERTEK OFFERS THE SOLUTIONS THEY NEED THROUGH THE WORLD’S FIRST INDEPENDENT, END-TO-END AI ASSURANCE PROGRAMME, AI 2 .",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.8,AI,B,"TERTEK OFFERS THE SOLUTIONS THEY NEED THROUGH THE WORLD’S FIRST INDEPENDENT, END-TO-END AI ASSURANCE PROGRAMME, AI 2 . BY EM BEDDING ADVANCED, AI-POWERED TECHNOLOGIES INCLUDING OUR PEOPLE ASSURANCE PARTNERSHIP WITH SYNTHESIA TO S CALE HIGH-QUALITY, MULTI-LINGUAL TRAINING AT SPEED, WE E",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.8,AI,B,"POWER OUR CLIENTS TO MOVE AHEAD WITH SMARTER, SAFER AND MORE TRUSTED SOLUTIONS.” ALI KNAPP, VICE PRESIDENT PEOPLE ASSURANCE FIND OUT MORE ABOUT AI 2 O U R INDUSTRY-LEADING INNOVATION By harnessing our Science-based Customer Excellence, we provide our clients with tailored, end-to-end T otal",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.15,AI,B,"orter product cycles are increasing the need for testing, inspection and c ertification in new technologies such as electric vehicles, batteries, AI-driven devices and m edical equipment. Supply chain complexity and risk management are fuelling the need for systemic, Risk-based Quality Assuran",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.15,AI,B,"gas investment remains robust. Digitisation and data-driven assurance are accelerating the adoption of traceability, digital product passports and AI-enabled quality m anagement. READ MORE IN OUR BUSINESS MODEL ON PAGE 1.20 Pioneering innovations and investments in growth True to our pioneering",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.15,AI,B,"compliant with regulations, allowing them to achieve faster market access amidst a rapidly evolving global l andscape. As Artificial Intelligence (‘AI’) reshapes our world at an unprecedented pace, we recently introduced Intertek AI 2, the world’s first independent, end-to-end AI assurance progra",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.15,AI,B,"an unprecedented pace, we recently introduced Intertek AI 2, the world’s first independent, end-to-end AI assurance programme. Covering the entire AI life cycle from ideation through to deployment and beyond, Intertek AI 2 provides organisations across various industries with comprehensive assu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.15,AI,B,"loyment and beyond, Intertek AI 2 provides organisations across various industries with comprehensive assurance solutions designed to ensure their AI systems are smarter, safer and trusted. To help customers respond to the new EU Deforestation Regulation (‘EUDR’), we launched a comprehensive sui",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.15,AI,B,"Unmanned Robotics Services that enable safe, efficient inspections across offshore wind farms, oil rigs and pipelines. Leveraging our expertise in AI, robotics and data science, this collaboration provides clients with high -qu ality, actionable insights that protect personnel and optimise opera",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.23,AI,B,"se critical factors, we ensure continuity of service, optimise power usage and enable facilities to scale effectively alongside rising digital and AI-driven workloads. SCAN TO WATCH EXPLORE OUR NEW DATA CENTRE SERVICES",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.38,AI,B,"ial Report2: Sustainability Report1: Strategic Report Operating review Consumer Products Continued Intertek AI² Building smarter, safer, trusted AI Intertek AI² is the world’s first independent, end-to-end AI assurance programme, designed to give organisations confidence at every stage of th",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.38,AI,B,"Intertek AI² is the world’s first independent, end-to-end AI assurance programme, designed to give organisations confidence at every stage of the AI life cycle. From ideation through deployment and beyond, AI² delivers comprehensive, science-based solutions that ensure systems are smarter, saf",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.38,AI,B,"and trusted. By setting the highest standards of reliability and integrity, Intertek drives innovation and uniquely empowers customers to harness AI responsibly. VISIT: INTERTEK.COM Advancing respiratory product testing Intertek Electrical has expanded its capabilities in respiratory protect",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.43,generative AI,A,"nnual Report & Accounts 2025 1.41 3: Financial Report2: Sustainability Report1: Strategic Report Intertek People Assurance Powering training with generative AI Intertek People Assurance has partnered with Synthesia, the UK’s largest generative AI media company, to deliver consistent, high-quality traini",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.43,AI,B,"gest generative AI media company, to deliver consistent, high-quality training content across our global frontline teams. By integrating advanced AI -po wered video technology into our products, Intertek’s People Assurance clients can scale dynamic, multi-lingual, branded training videos to loc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.44,AI,B,"ition to lower-carbon operations, climate resilience, and alignment with global climate goals. VISIT: INTERTEK.COM Expanding Trust in Responsible AI through ISO 42001 In 2025, Intertek expanded its assurance portfolio with the addition of ISO 42001 Artificial Intelligence Management Systems",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.44,AI,B,"01 Artificial Intelligence Management Systems, reinforcing our leadership in emerging technology assurance. As organisations increasingly deploy AI across critical business processes, ISO 42001 provides a globally recognised framework to manage AI risks, governance, ethics, security, and cont",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.44,AI,B,"ty, and continual improvement. By offering independent certification to this new standard, Intertek enables businesses to demonstrate responsible AI practices, strengthen regulatory readiness, and build confidence with customers, regulators, and stakeholders. This addition reflects Intertek’s o",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Intertek,ITRK,,ITRK_company_annual_report_current_fy2025_2026.pdf,p.50,AI,B,"ith DroneQ Robotics to deliver global advanced unmanned robotics services (‘AURS’) for ports, industry, and offshore energy. Combining robotics, AI, and data science, this enables inspections, surveys, 3D imaging, and non-destructive testing in risky or inaccessible conditions. From subsea cor",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
