duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,London Stock Exchange Group,LSEG-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.7) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,London Stock Exchange Group,LSEG-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.8) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,London Stock Exchange Group,LSEG-STR-002,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.8) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same technology strategy theme and were consolidated into one row.,yes,,
DUPG-004,London Stock Exchange Group,LSEG-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same audit analytics theme and were consolidated into one row.,yes,,
DUPG-005,London Stock Exchange Group,LSEG-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,London Stock Exchange Group,LSEG-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same audit analytics theme and were consolidated into one row.,yes,,
DUPG-007,London Stock Exchange Group,LSEG-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,London Stock Exchange Group,LSEG-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.13) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,London Stock Exchange Group,LSEG-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.14) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,London Stock Exchange Group,LSEG-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.15) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-011,London Stock Exchange Group,LSEG-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.15) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,London Stock Exchange Group,LSEG-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.16) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,London Stock Exchange Group,LSEG-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.22) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,London Stock Exchange Group,LSEG-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.23) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,London Stock Exchange Group,LSEG-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.51) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,London Stock Exchange Group,LSEG-REJ-023,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.53) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-017,London Stock Exchange Group,LSEG-REJ-025,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.56) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,London Stock Exchange Group,LSEG-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.57) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-019,London Stock Exchange Group,LSEG-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.66) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-020,London Stock Exchange Group,LSEG-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.67) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-021,London Stock Exchange Group,LSEG-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.70) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-022,London Stock Exchange Group,LSEG-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.94) of LSEG_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-023,London Stock Exchange Group,LSEG-REJ-038,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.8) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-024,London Stock Exchange Group,LSEG-REJ-039,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.8) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-025,London Stock Exchange Group,LSEG-REJ-040,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.13) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-026,London Stock Exchange Group,LSEG-REJ-047,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.34) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-027,London Stock Exchange Group,LSEG-REJ-049,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.37) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-028,London Stock Exchange Group,LSEG-REJ-051,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.42) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-029,London Stock Exchange Group,LSEG-REJ-052,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.43) of LSEG_company_annual_report_previous_fy2024_2025-04.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
