staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BLND-REJ-001,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.8,AI,B,1,"used companies through his private equity background, which will be invaluable as we develop exceptional spaces at the intersection of technology, AI and medicine, as exemplified by our Regent’s Place campus, and particularly One Triton Square which has performed so well for us this year. On rel",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
BLND-REJ-002,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.9,AI,B,2,"for the campus and signed Herbert Smith Freehills Kramer at Broadgate’s newest development, 1 Appold Street. Across London there is new demand from AI and innovation-led businesses from which our Regent’s Place campus, in the heart of London’s Knowledge Quarter, is well-placed to benefit. One Tri ||| ngs outlook. Across London the return to the office debate is over and occupiers continue to expand. There is a new wave of demand from high growth AI and innovation-led businesses for whom our campus offering particularly resonates. On retail parks, existing and new retailers are expanding into",no,no,vague_general_ai_reference,DUPG-001,rejected,,
BLND-REJ-003,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.10,AI,B,2,"erform. Campuses Resetting the office debate The outlook for office demand continues to be debated, particularly in the context of rapid advances in AI. Much has been written about the impact of AI on white-collar jobs. There are different schools of thought. On the one hand, will this be like pre ||| ificant new office space, with financial services occupiers continuing to drive prime rental growth across London submarkets. Alongside demand from AI and innovation-led businesses, this supports a broad- based and resilient market for high-quality space. Demand from AI and innovation-led companies",no,no,vague_general_ai_reference,DUPG-002,rejected,,
BLND-REJ-004,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.14,AI,B,2,"k Institute. It has excellent transport links with Euston and King’s Cross stations nearby and is one of London’s leading science, technology and AI clusters. Size: 13 acres Ownership: 100% (except One Triton Square 50:50 JV with Royal London Asset Management) Broadgate The City of London’s pre ||| res Ownership: 25:75 JV with GIC owning 75% OFFICE-LED CAMPUSES IN CENTRAL LONDON (58% OF TOTAL PORTFOLIO BY VALUE) Science & Technology, including AI, is our largest occupier sector and represents 35% of our campuses’ rent roll (pro forma for the acquisition of Life Science REIT) % of total port",no,no,vague_general_ai_reference,DUPG-003,rejected,,
BLND-REJ-005,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.23,AI,B,2,"In the six weeks post year end we have gone under offer on a further 228,000 sq ft and viewing levels continue to be strong. Take-up of space from AI and innovation-led businesses is increasing across London and particularly so in the Knowledge Quarter around Regent’s Place. These businesses are ||| er 2025, and the building is now 94% let. Occupiers include Anthropic, Gilead Sciences and Humanoid alongside other leading global pharmaceutical, AI and tech companies. Occupancy on our campuses is 95%, down 180 bps since 31 March 2025, which excludes refurbishments and new developments, followi",no,no,vague_general_ai_reference,DUPG-004,rejected,,
BLND-REJ-006,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"Road to 14,000 sq ft after initially taking 6,000 sq ft in 2022. – 11 ,000 sq ft letting to Sierra Technologies at 20 Triton Street, joining other AI-led occupiers in the building including Synthesia AI. Values at Regent’s Place were down 0.1% as ERV growth of 6.9% and inward yield shift of 11 bp",no,no,vague_general_ai_reference,,rejected,,
BLND-REJ-007,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.30,AI,B,2,"ange of retailers in occupation including Luca Faloni, Ralph Lauren and Vagabond. At Regent’s Place, One Triton Square was pivoted to focus on the AI and innovation-led demand we have seen accelerate across London. The building, owned jointly with Royal London Asset Management, is in London’s Kn ||| anagement, is in London’s Knowledge Quarter and leasing velocity has exceeded expectations since its launch. Anthropic, one of the world’s leading AI companies, have let 158,000 sq ft, with the building now 94% let. Our first logistics scheme completed in Southwark in September, offering 144,000",no,no,vague_general_ai_reference,DUPG-005,rejected,,
BLND-REJ-008,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"e supply remained tight. In our best-in-class, office-focused campuses these positive market fundamentals were compounded by increased demand from AI and innovation businesses. As a result, we leased well across the portfolio including standing assets, which are largely fully occupied, and filled",no,no,vague_general_ai_reference,,rejected,,
BLND-REJ-009,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.45,AI,B,1,"to make use of our existing suite of tools and help them drive process efficiencies in their own areas. We also introduced a new technology skills/AI apprenticeship programme. – In ternal mobility: 74 internal moves, including promotions and secondments, as we seek to stretch our people with exp",no,no,vague_general_ai_reference,,rejected,,
BLND-REJ-010,British Land,BLND,British Land Annual Report and Accounts 2026,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,,annual_report_current,company_primary,p.50,AI,B,1,"ional Efficiency & Control Optimisation: Continue the simplification and standardisation of key business processes, using digital tools, including AI, to enhance efficiency and reinforce the control and risk management environment. 4. Em bed Risk-Aware Culture: Continue strengthening clear risk",no,no,vague_general_ai_reference,,rejected,,
