company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.8,AI,B,"vers of metals demand remain robust (ie population growth, industrialisation and urbanisation in emerging markets), with new drivers emerging (eg AI data centres, robotics). Energy transition • Global electricity demand continues to grow. • Although timelines to net zero are slipping, renewable",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.40,AI,B,"einforcing the need for continued focus. We empower leaders to turn survey insights into meaningful conversations that drive progress. With advanced AI sentiment analysis, leaders gain a clearer view of employee feedback, uncover deeper insights and better understand what results mean for their te",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.54,AI,B,versity partners in Europe to recover critical minerals and remediate alkaline seepage from bauxite residue deposit areas. • We have been trialling AI-driven workflows and remotely operated platforms to help us track our progress and predict trajectories towards rehabilitation and closure completi,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.92,generative AI,A,"lude regulatory uncertainty and implementation of AI systems, which could impact compliance obligations or result in loss of sensitive information. Generative AI is a fast-moving and evolving technology where vendors often prioritise feature release over security. As a result, increased use of AI also comes",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.92,AI,B,"e analytics. See principal risk 11, and our climate disclosures on page 53 for further details on our Climate Action Plan. Artificial intelligence (AI) and advancing technologies continue to unlock transformative opportunities for businesses, driving efficiency, data-driven insights, and accelerat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.94,artificial intelligence,B,"nables us to achieve results at, or above, plan to grow shareholder value. Adopting advanced technologies, including autonomy, machine learning and artificial intelligence may also add benefits to how we manage operating performance, improve safety and unlock business value. This also allows us to deliver on our Peopl",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.100,artificial intelligence,B,"beyond the protection of our information, assets, and people. It supports our ability to rapidly adopt new technology solutions, which may include artificial intelligence, that have the potential to unlock value through improved efficiency, better insights and improved control. Our robust cyber security capability al",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.100,artificial intelligence,B,"als, as well as enhance our customer value proposition. Threats Cyber threats are evolving and becoming more advanced, including through the use of artificial intelligence to bypass security controls. Cyber incidents can occur due to malicious external or internal attacks, either directly or through third-party busine",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.100,artificial intelligence,B,"our attack surface and introduces new vulnerabilities, particularly as we adopt emerging, autonomous or disruptive technologies, which may include artificial intelligence, to automate and inform our decision-making and operating environment. Key exposures Our greatest exposures continue to be through our global ecosys",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rio Tinto,RIO,,RIO_company_annual_report_current_fy2025.pdf,p.101,automation,B,"nd aligning our employee relations practices with our company values reinforces trust, stability and workforce resilience. We are also accelerating automation and advanced technologies to reduce reliance on scarce skills and enable safer, higher-value work. This supports productivity, role redesign, and f",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
