staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
REL-GOV-001,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,generative AI,A,1,"nable relevant, accurate, and personalised insights, analysis and workflows. This allows customers to make impor tant decisions with confidence. Our Generative AI solutions are designed with privacy in mind and incorporate REL X’s Responsible AI Principles. Market segmentsGovernanceFinancial statements and o",no,no,ai_governance_framework,,governance,,
REL-GOV-002,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,AI,B,1,aches with high precision and recall ▪ Multi-model approach ▪ Model fine tuning for specific use cases ▪ Guardrails to enforce RELX Responsible AI Principles User specific workflows Tailored Insights Personalised Analyses Draft documents Trust and transparency indicators Compliance with glob,no,no,safeguards_and_responsible_use,,governance,,
REL-GOV-003,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"of preventing fraud, fighting crime, reducing risk, and providing citizens with immediate, equitable access to government systems. The addition of AI capabilities, underpinned by responsible data governance, helps our government customers enhance fraud prevention and data integrity while ensuring",no,no,ai_governance_framework,DUPG-055,governance,,
REL-GOV-004,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"he demand for robust online access and highlighted the sophistication of fraud attempts, underscoring the importance of advanced technologies like AI in safeguarding public resources. As agencies adopt private sector innovations, the integration of AI-driven insights will support more proactive m",no,no,safeguards_and_responsible_use,DUPG-057,governance,,
REL-GOV-005,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"of preventing fraud, fighting crime, reducing risk, and providing citizens with immediate, equitable access to government systems. The addition of AI capabilities, underpinned by responsible data governance, helps our government customers enhance fraud prevention and data integrity while ensuring",no,no,ai_governance_framework,DUPG-059,governance,,
REL-GOV-006,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"he demand for robust online access and highlighted the sophistication of fraud attempts, underscoring the importance of advanced technologies like AI in safeguarding public resources. As agencies adopt private sector innovations, the integration of AI-driven insights will support more proactive m",no,no,safeguards_and_responsible_use,DUPG-061,governance,,
REL-GOV-007,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.18,AI;large language model,A;B,2,"inicalPath, and Osmosis, for Health. Elsevier’s research solutions combine quality, curated content and extensive data sets with responsible AI and large language model (LLM) technology to help researchers, academic leaders, policy makers, funders and R&D-led corporations to generate insights, set and implement res ||| extract, summarise and compare trusted insights from millions of full-text ar ticles. In November, Elsevier introduced LeapSpace, a next-generation AI-powered workspace, combining the broadest collection of trusted scientific content with responsible AI to help researchers uncover deeper insights",no,no,safeguards_and_responsible_use,DUPG-006,governance,,
REL-GOV-008,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,AI;large language model,A;B,3,"inicalPath, and Osmosis, for Health. Elsevier’s research solutions combine quality, curated content and extensive data sets with responsible AI and large language model (LLM) technology to help researchers, academic leaders, policy makers, funders and R&D-led corporations to generate insights, set and implement res ||| extract, summarise and compare trusted insights from millions of full-text ar ticles. In November, Elsevier introduced LeapSpace, a next-generation AI-powered workspace, combining the broadest collection of trusted scientific content with responsible AI to help researchers uncover deeper insights ||| archers uncover deeper insights, accelerate innovation, and collaborate seamlessly in one secure environment. It combines multi-model responsible AI with transparency and clear trust markers, industrial-grade data privacy and security, so that ever y insight is explainable, traceable, and groun",no,no,safeguards_and_responsible_use,DUPG-008,governance,,
REL-GOV-009,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"my job a lot faster and more efficiently, because I knew that the questions were good.” By combining world-class educational content with advanced AI technology, Sherpath AI helps educators safeguard exam integrity, nurture critical thinking, and empower students to take charge of their learning.",no,no,safeguards_and_responsible_use,,governance,,
REL-GOV-010,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.49,AI;agentic AI,A;B,4,"ne learning and AI in embedding the Principles in their day-to-day activities. We hosted a RELX Responsible AI Summit in the year, with sessions on agentic AI, responsible AI by design and current and pending AI legislation. Insights and questions raised at the summit will be considered by the Responsible ||| eparate from our commercial interests. 2025 OBJECTIVE Support expanded use of Artificial Intelligence across RELX by updating the RELX Responsible AI Principles to reflect technological advancements 2025 PERFORMANCE We created the RELX Responsible AI Principles in 2022 and they are publicly avail ||| responsible AI by design and current and pending AI legislation. Insights and questions raised at the summit will be considered by the Responsible AI working group when updating the principles. We are committed to updating our RELX Responsible AI Principles in recognition of the rapidly changing ||| updating the principles. We are committed to updating our RELX Responsible AI Principles in recognition of the rapidly changing adoption and use of AI. In 2025 we assembled feedback from organisational stakeholders on suggested changes to the principles and the Responsible AI Working Group met to",no,no,safeguards_and_responsible_use,DUPG-021,governance,,
