company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.3,AI,B,energy storage systems (BESS) growth with breakeven performance — S uccessfully tested the first 100% methanol high-speed marine engine — N ew AI platform to support reduction of shop visit turnaround times and shop visit costs GOVERNANCE REPORT Chair’s introduction 6 3 Board of Directors 6,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.11,AI,B,"r, prime power and with SMRs. Our next generation Series 4000 engine, which will be released in 2028, targets the ever-increasing power demands of AI data centres with a 20% higher power density. In governmental markets, rising defence spending supports both land and naval applications, where w",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.15,AI,B,"ergy continues to grow, the evolving energy landscape creates substantial new business opportunities across our portfolio. The growing adoption of AI is contributing to increased data centre size, capacity, and power requirements, resulting in robust demand within our Power Systems business. The",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.31,automation,B,"share of 30% in our key markets of land defence and naval. In marine, we deliver integrated diesel, gas and hybrid propulsion systems, including automation and control systems, which are renowned for their reliability and performance. We have a market share of 15% to 20% and our key markets are commer",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.32,AI,B,"ress We have seen growing demand for our back-up power solutions for data centres, driven by global trends in cloud computing, data processing and AI. Our order intake in power generation grew 31% in 2025 and we are now taking orders for 2027 and 2028. We have significantly expanded our product",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.33,AI,B,"ber. Power of You provides a consistent, high-impact way to reinforce our purpose and behaviours. It is enabled through a world-class digital and AI solution and launched simultaneously ENGAGEMENT & RECOGNITION Our People Deal comprises six tenets WE PROMISE To listen, value your voice and reco",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.34,AI,B,"tops, upgraded collaboration tools, and modernised shop-floor technology, removing friction from daily work and enabling faster, better decisions. AI workforce readiness is also underway, building confidence in data-driven decision-making and accelerating responsiveness across the business. Be",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.34,AI,B,"capability strategy. We strengthened our workforce planning capability through extensive forecasting to map critical skills, assess the impact of AI, understand geographical talent supply and TALENT to ensure appropriate action and sustained improvement. Examples of targeted cultural intervent",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.35,AI,B,"rganisation. Extensive research has been undertaken to identify key skills across all critical capability areas to better understand the impact of AI on roles, as well as the geographical supply of the best talent and to ensure a progressive, consistent and aligned approach to strategic workfor",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.35,AI,B,"y & skills We encourage our employees to keep learning to future-proof their skills. Learning has been transformed this year, through digital and AI-enabled tools, delivering 991,196 learning hours and embedding learning into the flow of work. The expansion of MyLeatro, our AI learning platform",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.58,AI,B,"ts and services are based on competitive technology, leveraging substantial engineering and scientific challenges, adopting digital tools (such as AI) and/or new ways of working, could hinder our ability to accelerate product design and deliver a competitive offer that ensures superior performan",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.69,AI,B,"nts above levels set by the Board — Overview of the speak up programme and cases reported through the speak up line — The Group’s digital, IT and AI strategy Principal risks: strategy; execution; and political Corporate governance 67 ROLLS-ROYCE HOLDINGS PLC ANNUAL REPORT 2025 GOVERNANCE REPORT",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.75,AI,B,"oard’s role Continued focus on strategic progress, ambitions and future growth opportunities Focus on emerging technologies including digital and AI and their associated risks and opportunities Continue to focus on areas of risk and challenge to the business, for example, supply chain and cybe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.75,AI,B,"erm of 2028. This included a deep dive session on Civil Aerospace. There has been a continued focus on emerging technologies, including digital and AI. In April, the SETT Committee considered the approach to digital and data assets, including AI. This was followed by a deep dive session in Decemb",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.75,AI,B,"re present. Continued focus on strategic progress, ambitions and future growth opportunities Focus on emerging technologies including digital and AI and their associated risks and opportunities Continue to focus on areas of risk and challenge to the business, for example, supply chain and cybe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.105,AI,B,"y & Operating Planning (SIOP) process. Comprehensive IT & Digital strategy approved to address safety, compliance and strategic delivery. Launch of AI platform, AiRR, with AI capabilities being deployed across engineering, MRO and supply chain. Continued focus to maintain and strengthen cyber comp",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Rolls-Royce Holdings,RR,,RR_company_annual_report_current_fy2025.pdf,p.105,automation,B,"ulture. Internal controls and compliance processes and culture demonstrably strengthened across the Group underpinned by greater use of digital and automation. Operational effectiveness Finalise and start to execute an IT & Digital strategy; Execute GBS strategy in line with plan; Execute new Sales, Inve",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
