duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,RELX,REL-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.9) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,RELX,REL-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.12) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,RELX,REL-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.13) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,RELX,REL-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.15) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,RELX,REL-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.17) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,RELX,REL-GOV-007,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.18) of REL_company_annual_report_current_fy2025.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-007,RELX,REL-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.18) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,RELX,REL-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.19) of REL_company_annual_report_current_fy2025.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-009,RELX,REL-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,11 passages on the same page (p.19) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,RELX,REL-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.20) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,RELX,REL-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.21) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,RELX,REL-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,13 passages on the same page (p.23) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,RELX,REL-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.24) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,RELX,REL-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,13 passages on the same page (p.25) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,RELX,REL-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.26) of REL_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
