finding_id,company,ticker,sector,source_id,item_name,evidence_quotation,page_or_section,rejection_category,reason_rejected,coded_by,coded_date,notes
AZN-REJ-001,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,McKinsey market-sizing statistic,"""$4-7 billion/year -- Generative AI is estimated to unlock $4-7 billion in value annually for pharmaceutical companies. (Source: McKinsey & Company, January 2025)""",p.7,third_party_industry_statistic,"Third-party industry-level market-sizing statistic, not a company-reported use case.",claude_code,2026-07-15,Third-party (McKinsey) claim cited within AZN-001; not company-primary evidence of an actual deployment.
AZN-REJ-002,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,90% AI-assisted small-molecule pipeline statement,"""90% of our small molecule discovery pipeline is already AI-assisted, potentially improving the probability of clinical success.""",p.5 and p.36,general_ai_not_genai,Does not specify generative vs. predictive AI; fails the generative-AI test (Core Rules 2 and 3).,claude_code,2026-07-15,"""AI-assisted"" language does not meet the project's explicit generative-AI/LLM/foundation-model test."
AZN-REJ-003,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,REINVENT,"""REINVENT, our small molecule discovery platform now enables significant time savings by predicting molecular properties and optimising potential molecules before synthesis and further development.""",p.36,predictive_ml_not_genai,"Described only in predictive/optimization terms (predicting molecular properties), not stated to be generative.",claude_code,2026-07-15,No generative-AI/foundation-model language attached to this named platform.
AZN-REJ-004,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,MILTON,"""MILTON, integrates de-identified health records with genetic and protein data to develop models that can predict the risk of more than 1,000 diseases...""",p.36,predictive_ml_not_genai,"Described as a predictive risk-modelling tool, not generative.",claude_code,2026-07-15,No generative-AI/foundation-model language attached to this named platform.
AZN-REJ-005,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,Ecosystem of foundation models and AI agentic frameworks,"""In R&D, we are developing an ecosystem of foundation models and AI agentic frameworks to accelerate our drug discovery end-to-end.""",p.36,insufficient_operational_detail,"Broad capability/strategy statement without enough detail to identify a distinct operational use case (no task, user group, or deployment stage evidenced).",claude_code,2026-07-15,General ambition language; may warrant a future use case once a specific task is disclosed.
AZN-REJ-006,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,ImmunAI / Syneron Bio / Stanford Medicine / Algen Biotechnologies collaborations,"""...in addition to advancing existing and new collaborations with ImmunAI, Syneron Bio, Stanford Medicine and Algen Biotechnologies -- to complement our robust internal AI capabilities...""",p.29,general_ai_not_genai,Not individually stated to involve generative AI or foundation models.,claude_code,2026-07-15,Listed alongside the Tempus/Pathos and Modella AI items but lacks the same explicit generative-AI/foundation-model language.
AZN-REJ-007,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,Drug-target exploration,"""We're also exploring the application of generative AI in choosing drug targets.""","""Advancing oncology R&D strategy to the next level"" section",aspirational_exploratory,"Only ""exploring"" -- insufficient operational detail to code as a deployed or piloted use case.",claude_code,2026-07-15,"document_title for AZN-004 corrected to ""Transforming patient outcomes with generative AI"" per the prior consistency audit."
AZN-REJ-008,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,Multimodal biomarker/resistance-pattern detection,"""With the addition of generative AI on top of multimodal datasets (e.g., clinical, biomarker, 'omics data), we are more likely to be able to detect such patterns of response or resistance.""","""Advancing oncology R&D strategy to the next level"" section",aspirational_exploratory,"Heavily hedged and aspirational language (""more likely to be able to detect"") does not establish a sufficiently concrete operational use.",claude_code,2026-07-15,"document_title for AZN-004 corrected to ""Transforming patient outcomes with generative AI"" per the prior consistency audit."
TSCO-REJ-001,Tesco,TSCO,Food & drug retailing,TSCO-001,Predictive/personalisation AI feature (p.14),"ve delivered an increase in Clubcard sales penetration across all markets with the UK at 84%, ROI 87% and Central Europe 88%. The launch of our AI-powered Clubcard Challenges campaign amplified our efforts to give customers ever-greater personalisation, with more than 10 million given the ch",p.14,predictive_ml_not_genai,"Correctly rejected: Clubcard Challenges is predictive/personalisation AI, not qualifying GenAI evidence.",human,2026-07-17,Promoted from staging TSCO-REJ-001 (reviewer_decision=accept).
TSCO-REJ-002,Tesco,TSCO,Food & drug retailing,TSCO-001,Ordinary automation tool/process (p.17),"nding – All our stores offer a choice between colleague-operated and self-service checkouts and there are always colleagues on hand. – We use an automation tool to make sure we are discounting the right products at the right time, helping customers to get the best value and enabling us to reduce food",p.17,ordinary_automation_not_genai,"Correctly rejected: ordinary automation tool, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-002 (reviewer_decision=accept).
