staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
NG-REJ-001,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.9,AI,B,3,"s our existence – and is inextricably linked to energy. Technology saves energy, but it also creates the need for energy. Artificial intelligence (AI) is the classic example of both. AI has been years in development, and it already operates within every domain of the digital world. But it relies ||| etworks, we are an early adopter of technologies to make our grids more efficient. Through sensors, automated controls, unmanned surveillance, and AI, we are changing how infrastructure operates. We both support the energy requirements of AI and are a major user of its capabilities. National Gr ||| rn. Efficiency – like the kind that Zoë is driving – is the most powerful tool that we have to deploy. Though we can debate the merits of how much AI, and how quickly it is adopted, technology will create opportunities we can only begin to imagine. The geopolitics of the moment are troubling, bu",no,no,vague_general_ai_reference,DUPG-001,rejected,,
NG-REJ-002,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.11,artificial intelligence,B,1,"cale build-out of low-carbon generation and storage, the electrification of transport and industry, advanced manufacturing and the rapid growth of artificial intelligence are reshaping how and where energy is produced and consumed. These shifts are also influencing natural gas demand, particularly as systems balance",no,no,vague_general_ai_reference,,rejected,,
NG-REJ-003,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.12,artificial intelligence,B,1,"e networks that are more flexible and intelligent than ever before. Data, sensors, automation, advanced system design and digital tools, including artificial intelligence, are already changing how we plan, operate and deliver work. These technologies help us unlock capacity from existing networks, connect customers",no,no,ordinary_automation,,rejected,,
NG-REJ-004,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"improve performance and enhance delivery capacity: strengthening leadership, capability and performance management; scaling technology, data and AI to unlock productivity and faster connections; and stepping up our external positioning and policy engagement to help shape outcomes that work for",no,no,vague_general_ai_reference,,rejected,,
NG-REJ-005,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.16,AI,B,4,"riven by low-carbon generation, storage, electric vehicles, electrification of heating and industry, and increasingly from data centres to power AI. This is creating new opportunities and reshaping where and how capacity is needed. Impact on our industry – New generation continues to shift to ||| build, operate and maintain our networks. They are transforming the customer experience with smart meters, flexible services and better billing. AI is reshaping every aspect of our business, accelerating our ability to plan, respond and deliver across our electricity and gas networks. Impact ||| aspect of our business, accelerating our ability to plan, respond and deliver across our electricity and gas networks. Impact on our industry – AI is creating opportunities to improve operational efficiency across the value chain, through enhanced grid intelligence, predictive and autonomous ||| ore than 600 km of electricity transmission infrastructure, which has saved £21m in constraint costs over the last five years. – We are leveraging AI technology across our businesses. Our collaborations with Emerald.AI and GridCARE are helping to unlock additional grid capacity and supporting ou",no,no,vague_general_ai_reference,DUPG-002,rejected,,
NG-REJ-006,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"y modernising how the network is controlled, including upgrades to our transmission control centre, alongside innovations including drones, use of AI, and dynamic line rating, the latter of which has saved £21m in constraint costs over the last five years. – During Storm Goretti, our UK ED busin",no,no,vague_general_ai_reference,,rejected,,
NG-REJ-007,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.21,AI,B,2,"such as the deployment of monitors across the low-voltage network, we are enhancing network management and swiftly locating faults. Our adoption of AI technologies is specifically targeted at improving customer experiences, with predictive analytics forecasting scores for customer service, automa ||| with predictive analytics forecasting scores for customer service, automated curtailment reporting that will streamline project lifecycles, and an AI-powered chatbot making data on our public data portal more accessible and understandable. Our use of AI is also supporting improvements in our DSO,",no,no,vague_general_ai_reference,DUPG-003,rejected,,
NG-REJ-008,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.23,AI,B,2,"he South Yarmouth LNG storage tank, both of which are essential to assure peak day reliability on the natural gas system. Innovation We are using AI across the business. For example, we implemented the NICE CX One platform in our contact centres and AI is now evaluating 100% of calls and directl ||| f calls and directly linking call quality to customer satisfaction. In our electric business, we partnered with AiDASH to use satellite imagery and AI to predict and remove vegetation threats, reducing outages by nearly 30%. This year we also launched the Kraken programme, a cutting-edge customer",no,no,vague_general_ai_reference,DUPG-004,rejected,,
NG-REJ-009,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"panies and technologies in our portfolio include: LineVision (dynamic line rating technology), Sensat (capital project design software) and Emerald.ai (demand flexibility software for data centres). Looking ahead, we will continue to innovate and invest in the latest technologies to support the Gr",no,no,vague_general_ai_reference,,rejected,,
NG-REJ-010,National Grid plc,NG,National Grid plc Annual Report and Accounts 2025/26,NG_company_annual_report_current_fy2025-26.pdf,,annual_report_current,company_primary,p.39,artificial intelligence,B,1,Short term 3–5 years* Medium term 5–10 years (business or supply chain disruption) Geopolitical tensions (strategic opportunities or disruption) Artificial intelligence (customer affordability issues) Affordability Cyber security and emerging risks * We continuously monitor our short-term emerging risks to ensure,no,no,vague_general_ai_reference,DUPG-015,rejected,,
