company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Halma plc,HLMA,,HLMA_company_annual_report_current_fy2025_2025.pdf,p.14,automation,B,", we invested £45.6m (2024: £35.2m), principally in plant, equipment and vehicles. The increase reflects investment in manufacturing facilities and automation to support our future growth. We anticipate capital expenditure to be approximately £50m in the coming year. As appropriate, we capitalise product",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_current_fy2025_2025.pdf,p.20,AI,B,edures; and synthetic bone grafts for clinical applications. The sector has an increasing footprint in women’s health with artificial intelligence (AI) based clinical decision support tools for childbirth and sample collection devices for cervical cancer screening. Sector companies also supply cr,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_current_fy2025_2025.pdf,p.20,AI,B,"an men due to lower effectiveness of, and investment in, treatments for women, poorer care delivery and lack of data 1. Our company PeriGen provides AI powered algorithms to prevent complications during childbirth, whilst Rovers, a recent acquisition, provides sample collection devices for cervical",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.23,automation,B,"), principally as result of the change in the mix of revenues in the Environmental & Analysis Sector. We are also continuing to invest group‑wide in automation and technology upgrades, including enhanced cybersecurity, improved data and analytics capabilities and upgrades to operating technology both at t",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.26,automation,B,"ork. Further, in June 2024 all companies will migrate to a unified people platform, Workday, which will further enhance data accessibility, process automation and the employee experience, supporting our companies’ growth and competitiveness on a global scale. Over time, this technology platform will also",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.32,automation,B,"iciency of vital industry and infrastructure, and to safeguard people as they live and work in increasingly crowded spaces. Similarly, increasing automation and complexity in industrial processes means that there is more need to protect workers in these hazardous environments. The proportion of the gl",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.50,automation,B,"e capital expenditure to increase to approximately £38m in the coming year, reflecting investment in the expansion of manufacturing facilities and automation to support future growth. Lease right‑of‑use asset additions and remeasurements were £18.6m (2023: £32.2m). This included additions of £3.2m as a",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.67,AI,B,dures; and synthetic bone grafts for clinical applications. The sector has an increasing footprint in women’s health with artificial intelligence (AI) based clinical decision support tools for childbirth and sample collection devices for cervical cancer screening. Sector companies also supply cri,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.68,AI,B,"ll health compared to men due to lower effectiveness of treatments for women, worse care delivery and lack of data 1. Our company PeriGen provides AI‑powered algorithms to prevent complications during childbirth, whilst Rovers, a recent acquisition, provides sample collection devices for cervica",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.70,automation,B,"ompanies. • In June 20 24 all companies will migrate to a unified people platform, Workday, which will further enhance data accessibility, process automation and the employee experience, supporting our companies’ growth and competitiveness on a global scale. • Conti nued to improve the onboarding experie",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Halma plc,HLMA,,HLMA_company_annual_report_previous_fy2024_2024.pdf,p.84,artificial intelligence,B,"subtle and build gradually over hours. Early warning system for healthcare workers PeriGen, a Halma company based in North Carolina, US, provides Artificial Intelligence based software solutions to interpret this data in real time, updating the care team and enhancing the delivery of care during childbirth. PeriGen",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
