company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.17,AI,B,"iciency, by not only shortening build times but also reducing demand for scarce labour. We are looking to innovate and further increase our use of AI, including seeking out new opportunities to leverage advanced tools for compliance, site management, and land assessment. By exploring AI-powered i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.17,AI,B,"then decision making and enhance operational efficiency across our core business areas. To support this, we have launched a pilot Persimmon Data & AI Academy to build practical, immediately usable data and AI capability across the organisation. The first cohort of colleagues will begin their trai",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.27,AI,B,"Performance Development Review model has enabled more meaningful career conversations, while targeted secondments and stretch projects, such as our AI working group, have opened new pathways for development. Chantelle Muir’s achievement as the first female bricklayer to reach the SkillsBuild natio",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.55,AI,B,"shed our Performance Development Review model, and expanded development opportunities through targeted secondments and stretch projects, such as our AI working group. We continue to be an accredited Living Wage Foundation employer, reinforcing our dedication to fair and equitable reward. IT improvem",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.74,AI,B,"market disruption’, has been retained. This reflects the potential threats to our business model from disruptions such as Artificial Intelligence (’AI’), market consolidation or breakthrough advances in deployment of technology such as modular construction. This risk will be monitored by the Boar",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.78,artificial intelligence,B,"training and communications to promote awareness of cyber security and data protection issues, including threats evolving from the increased use of Artificial Intelligence. · Regular reviews by external partners, including penetration testing, audit engagements and scenario planning, to provide assurance on the effe",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.86,AI,B,"e the Group’s maturity in this area. Throughout the year, the Audit & Risk Committee considered management’s approach to Artificial Intelligence (’AI’), including review of the Group’s draft policy on AI. This has recognised the transformative potential of AI for some business processes, but note",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.91,AI,B,Group’s response following high-profile cyber attacks on other organisations. Considered and discussed by the Board. 4 Artificial Intelligence (’ AI’) – presentation received during the Board’s Strategy Day on how the Group is harnessing the benefits of AI in a responsible and ethical way. Consid,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.91,AI,B,"e Group is harnessing the benefits of AI in a responsible and ethical way. Considered and discussed by the Board, noting the power and potential of AI, and the importance of controls and guardrails. P UK Managing Director, Deputy UK Managing Director and Regional Chair presentations – a number of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.91,artificial intelligence,B,"and development and diversification; customer experience; land and planning; innovation (Space4, the Mauer facade product and vertical integration); artificial intelligence; people and culture; financial projections and investor perspectives. The high-quality presentations facilitated Board debate, questions and oversig",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.108,artificial intelligence,B,"their skills and any development needs. Consideration was given to how the structure of roles may change in the future, for example as a result of artificial intelligence and in line with the Group’s agreed strategy. The Nomination Committee noted the importance of considering skills required in the medium and long",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.112,AI,B,29 readiness assessment Tax Status Report Review of the Group’s anti-money laundering controls Review of the Group's draft Artificial Intelligence (AI) Policy Legacy Buildings Progress Report Update on principal and emerging risks Business resilience: Cyber security update from Group Chief Informat,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.113,automation,B,"me: The Committee has assessed both the Group’s existing control environment and management’s plans to improve controls further, including enhanced automation to reduce the frequency of manual accounting entries. The Committee has also taken further assurance from the additional testing performed in this",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.116,AI,B,"of a cyber attack or other material disruption to operations. The Committee has also considered management’s approach to Artificial Intelligence (’AI’), including review of the Group’s draft policy on AI. This has recognised the transformative potential of AI for some business processes, but not",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_current_fy2025_2025.pdf,p.116,AI,B,"has reviewed the Group’s cyber and data risk posture and plans for their continued enhancement, as well as the Group’s plans for the deployment of AI, and is satisfied that these are appropriate. Management reporting on other key processes and controls has also been considered by the Committee,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_previous_fy2024_2024.pdf,p.15,automation,B,"on-site digitisation has already secured operational, commercial and quality improvements and efficiencies, with more opportunities ahead. Enhanced automation in both our existing and new timber frame factories, coupled with innovations such as the combination with a brick facade product, means we have s",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_previous_fy2024_2024.pdf,p.25,AI,B,"prove and refine our training offerings to support business growth and boost employee performance. The adoption of a new e-learning authoring tool, AI-driven video creation and upskilling of our team have accelerated the evolution of our digital content and training resources. A key focus remains",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_previous_fy2024_2024.pdf,p.39,automation,B,astle Bromwich intends to mirror the cutting-edge processes planned for Garendon in its current factory with the installation of robotics and other automation. An updated product scope designed this year will enable more complex wall panels and floor cassettes to be assembled once the new technology is in,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_previous_fy2024_2024.pdf,p.73,artificial intelligence,B,"ts to the Group’s business model from disruptions such as market consolidation or technological advances in areas including modular construction or artificial intelligence. This risk will be monitored by the Board and, operationally, by the Executive Committee and Management Risk Committee. Mitigation strategies will",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_previous_fy2024_2024.pdf,p.113,automation,B,". The Committee has assessed both the Group’s existing control environment and management’s plans to improve controls further, including enhanced automation to reduce the frequency of manual accounting entries. The Committee has also taken further assurance from the additional testing performed in th",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Persimmon,PSN,,PSN_company_annual_report_previous_fy2024_2024.pdf,p.115,automation,B,"rols and management oversight. The control environment is routinely updated and strengthened in response to various mechanisms, including increased automation of previously manual processes and improvement actions driven by recommendations from both Group Internal Control and Group Internal Audit. The en",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
