duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Scottish Mortgage Investment Trust,SMT-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.8) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Scottish Mortgage Investment Trust,SMT-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.9) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Scottish Mortgage Investment Trust,SMT-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Scottish Mortgage Investment Trust,SMT-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.22) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Scottish Mortgage Investment Trust,SMT-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.30) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Scottish Mortgage Investment Trust,SMT-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.36) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Scottish Mortgage Investment Trust,SMT-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.38) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Scottish Mortgage Investment Trust,SMT-STR-006,strategic_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.96) of SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-009,Scottish Mortgage Investment Trust,SMT-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.6) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Scottish Mortgage Investment Trust,SMT-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Scottish Mortgage Investment Trust,SMT-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.11) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Scottish Mortgage Investment Trust,SMT-REJ-032,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.13) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Scottish Mortgage Investment Trust,SMT-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.14) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Scottish Mortgage Investment Trust,SMT-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,15 passages on the same page (p.15) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Scottish Mortgage Investment Trust,SMT-REJ-037,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.34) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Scottish Mortgage Investment Trust,SMT-STR-010,strategic_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.92) of SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
DUPG-017,Scottish Mortgage Investment Trust,SMT-STR-005;SMT-STR-009,strategic_candidates_staging;strategic_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf and SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-018,Scottish Mortgage Investment Trust,SMT-STR-006;SMT-STR-010,strategic_candidates_staging;strategic_candidates_staging,repeated_cross_year_disclosure,0.96,Passages in SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf and SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf are textually very similar (difflib ratio 0.96).,yes,,
