staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
GSK-REJ-001,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.5,AI,B,1,"…using advanced technologies… Pipeline At every step of the R&D process, we are using data tech, including AI, and platform technologies to be faster, more effective and more predictive in discovering and developing innovative medicines and vaccines. Re",no,no,vague_general_ai_reference,DUPG-042,rejected,,
GSK-REJ-002,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"ernally acquired assets, particularly in RI&I and oncology and we continue to invest significantly in the transformational capability afforded by AI/ML. The Board also remains committed to the company’s long-standing proactive approach to operating responsibly, evident in 92% of Responsible B",no,no,vague_general_ai_reference,,rejected,,
GSK-REJ-003,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"ansforming how GSK works, from development to manufacturing and marketing. There remains profound potential for advanced technologies, including AI, to bring medicines and vaccines to patients with more precision, pace and probability of success. The focus now should be on embedding these tec",no,no,vague_general_ai_reference,,rejected,,
GSK-REJ-004,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"resources to the best opportunities to create value. We’ll also have an increased focus on leveraging the practical use of technology, including AI. Evolving GSK to create value for shareholders Looking forward, I see two clear priorities to create value for shareholders. The first is topline.",no,no,vague_general_ai_reference,,rejected,,
GSK-REJ-005,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"pret ever-larger datasets, offers the potential to develop medicines and vaccines with more pace, precision and probability of success. Currently, AI adoption is concentrated in areas from early research through to clinical development. Automation can transform processes such as target selection",no,no,ordinary_automation,,rejected,,
GSK-REJ-006,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,8,"et against a backdrop of continued rapid acceleration in technological innovation and adoption. As generative and agentic artificial intelligence (AI) becomes more sophisticated, it’s transforming how many of us live and work. For the biopharma industry, one of the most significant use cases for ||| becomes more sophisticated, it’s transforming how many of us live and work. For the biopharma industry, one of the most significant use cases for AI remains R&D productivity. A proliferation of health data, coupled with the power of AI to interpret ever-larger datasets, offers the potential to d ||| transform processes such as target selection and molecule design, which are otherwise lengthy, manual and costly. Advanced technologies, including AI, create potential to more deeply understand human biology and develop more targeted solutions to prevent and alter the course of disease. Once dru ||| eeply understand human biology and develop more targeted solutions to prevent and alter the course of disease. Once drugs are developed, robotics, AI, machine learning and other innovations can all enable manufacturers to get vaccines and medicines of the highest quality standards to those who n ||| arketing, as well as streamlining corporate processes, data and technology are optimising the pathway to reach patients. Realising the potential of AI at scale depends on human ingenuity, skill and judgement. Around 4 in 10 core job skills are expected to change within the next five years7. Publi ||| bilities – for example, biopharma companies are increasingly seeking talent in fields such as bioinformatics. Crucially, realising the potential of AI for human health will also depend on building trust in how data and technologies are being used to develop healthcare interventions. While AI offe ||| communicating clearly with the public and stakeholders. Action by policymakers is also needed to build a high- quality data environment and regulate AI in a harmonised, proportionate and pragmatic way. The approach to AI regulation is currently diverging in the US and EU. With the right capabiliti ||| ch to AI regulation is currently diverging in the US and EU. With the right capabilities and frameworks in place, advanced technologies, including AI, have the potential to transform healthcare, from discovering and developing medicines and vaccines to reaching the right patients, at the right ti",no,no,vague_general_ai_reference,DUPG-001,rejected,,
GSK-REJ-007,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.31,AI,B,1,iation between shingles vaccination and lower risk of dementia and cardiovascular events.1 We also published research in Nature Medicine that used AI and machine learning models to show that reactivation of the virus that causes shingles may be a risk factor for dementia. We also announced a firs,no,no,vague_general_ai_reference,,rejected,,
GSK-REJ-008,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.34,AI;automation,B,2,"cer types. Small molecules Small molecules are designed to target specific proteins or enzymes with precision. Our digital chemistry platform uses AI/machine learning (ML) and automation to accelerate design-build-test cycles i n s m a l l - m o l e c u l e d i s c o v e r y . Within this, our ||| te design-build-test cycles i n s m a l l - m o l e c u l e d i s c o v e r y . Within this, our unique generative design system, combined with automation, will rapidly create chemical compounds at an industry-leading scale and enable us to accelerate identification and optimisation of candidates. Oli",no,no,ordinary_automation,DUPG-002,rejected,,
GSK-REJ-009,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.34,AI;GenAI;generative AI,A;B,4,"iology, enhancing our potential to prevent and change the course of disease. Data technology We use advanced data assets, digital capabilities and generative AI (GenAI) to gain deeper insights into patients, human biology and disease mechanisms. Our teams use our diverse, deep and proprietary data sources t ||| ork with greater speed and precision, accelerating the delivery of solutions to address pressing health challenges. For example, the integration of GenAI and agentic AI into our discovery process significantly enhances our ability to identify genetically validated targets and optimise molecular path ||| 5, we accelerated and expanded the deployment of advanced data and platform technologies end-to-end in R&D. Combined with artificial intelligence (AI), these innovations deepen our understanding of the human immune system and disease biology, enhancing our potential to prevent and change the cour ||| uzosiran (GSK'990) for steatotic liver disease (SLD) and a clinical-stage, first-in-class candidate, licensed from Empirico in 2025, for COPD. Our AI-powered, end-to-end oligonucleotide platform, ‘Oligopolis’, which incorporates the Elsie platform we acquired in 2024, is redefining research in ch",no,no,vague_general_ai_reference,DUPG-003,rejected,accept,"REVIEW: confirmed correctly rejected. Broad R&D-technology-integration statement ('integration of GenAI and agentic AI into our discovery process significantly enhances our ability...') -- no single concrete task/tool identified; the named platform ('Oligopolis') is described as 'AI-powered', not specifically generative-AI-powered. Strategy-level language, not a discrete operational use case."
GSK-REJ-010,GSK plc,GSK,GSK Annual Report 2025,GSK_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.35,automation,B,1,"redefining how we optimise therapies in HIV and immunology. Accelerating clinical trials Innovative technologies – including predictive modelling, automation, and advanced data technologies – are optimising the way we conduct clinical trials, enabling faster timelines, improved efficiency and reduced pat",no,no,ordinary_automation,,rejected,,
