company,ticker,candidate_title,current_url,direct_download_url,current_approval_status,blocker_type,exact_manual_action,evidence_needed,acceptable_official_alternative,proposed_status_if_verified,notes
Lloyds Banking Group,LLOY,Lloyds Banking Group plc Annual Report 2024,https://www.lloydsbankinggroup.com/investors/annual-report/annual-report-archive/annual-report-2024.html,,pending,document_location_only,"Open the archive landing page in a real browser and locate the direct PDF for the FULL statutory Annual Report and Accounts 2024 (not the shorter 'Annual Review' or 'Performance Summary' documents -- both were found via search this session at lloydsbankinggroup.com/assets/pdfs/investors/annual-report/2024/ but are summary-only documents, and the 'Annual Review' PDF returned an HTTP Error 1007 application-error page on retry this session, confirming the domain-wide access issue extends even to newly-found URLs).","Direct PDF URL confirmed as the full Annual Report and Accounts (typically 200+ pages), not a summary document.","National Storage Mechanism (NSM) filing, only if lloydsbankinggroup.com cannot be reached even manually.",approved,"Document-location issue only, not GenAI-relevance ambiguity -- does not count toward the 30% ambiguity threshold."
Lloyds Banking Group,LLOY,Lloyds Banking Group scales adoption of Microsoft 365 Copilot to supercharge their AI transformation,https://www.lloydsbankinggroup.com/media/press-releases/2025/lloyds-banking-group-2025/lloyds-scales-adoption-of-copilot.html,,pending,application_error_domain_wide,"Open the URL directly in a real browser (automated fetch returns a generic HTTP Error 1007 application-error page on this domain, confirmed again this session on a different lloydsbankinggroup.com URL -- this is a site-wide issue, not a broken link).","Verbatim quote confirming: (1) the GBP 50m 2025 GenAI value and 5,000-engineer GitHub Copilot figures are stated as LIVE/operational, not a target or forecast; (2) explicit generative-AI/Copilot language; (3) whether this describes an internal productivity tool (operational) or a strategy/investment narrative only.","Lloyds' FY2025 results presentation or transcript, if it repeats the same GenAI/Copilot figures.",approved_if_operational_and_quantified,"Genuinely ambiguous: search snippets (not used as evidence) suggest a live, quantified deployment, but this must be confirmed on the primary page before coding as operational."
Lloyds Banking Group,LLOY,Lloyds Banking Group unveils UK's first multi-feature AI-powered financial assistant,https://www.lloydsbankinggroup.com/media/press-releases/2025/lloyds-banking-group-2025/lloyds-banking-group-unveils-uks-first-ai-powered-financial-assistant.html,,pending,application_error_domain_wide,Open the URL directly in a real browser.,"Verbatim quote confirming: (1) the assistant is explicitly generative-AI/LLM-based, not just 'AI-powered' generically; (2) accurate deployment stage -- unverified search snippets suggest a 2026 launch, which would make this 'planned' not 'live' as of this session; must not be coded as an operational deployment without direct confirmation of current status.",None identified beyond the official page itself.,approved_only_if_genai_and_status_confirmed,Genuinely ambiguous on both GenAI-relevance and deployment-stage grounds.
BAE Systems,BA,BAE Systems Annual Report 2025,https://investors.baesystems.com/results-centre,https://investors.baesystems.com/dam/jcr:105fe9f2-cff7-4960-9d99-956aba996540/BAE-Systems-Annual-Report-2025.2026-03-24-10-33-48.pdf,approved,incapsula_bot_protection,"Manually open investors.baesystems.com/results-centre in a real browser (passes Incapsula's JS/behavioural challenge, which automated fetch cannot), download the 'BAE Systems Annual Report 2025' PDF, and place it at sources/bae-systems/BA_company_annual_report_current_fy2025_2026-03-24.pdf so 03_download_sources.py recognises it as already collected on the next run.","The genuine PDF (multi-hundred-page annual report), not an Incapsula challenge-page HTML stub. Note: 03_download_sources.py's ERROR_PAGE_MARKERS were extended this project to detect and reject Incapsula stubs, so a manually-placed challenge-page file would now be caught rather than silently accepted.","None -- must be the official investors.baesystems.com PDF, not a third-party mirror.",proceed_to_extraction_once_placed,"Source itself is already approved (0% ambiguous); the sole blocker is automated download, confirmed genuine after fixing an unrelated validation gap this project."
BAE Systems,BA,BAE Systems Annual Report 2024,https://investors.baesystems.com/results-centre,https://investors.baesystems.com/dam/jcr:f57706a5-0a28-441a-8829-0e0c213436c1/BAE-Systems-Annual-Report-2024.2025-04-29-16-28-37.pdf,approved,incapsula_bot_protection,"Same manual action as the 2025 report, for the 2024 PDF; place at sources/bae-systems/BA_company_annual_report_previous_fy2024_2025-04-29.pdf.","Same as above (genuine PDF, not a challenge-page stub).",None -- must be the official investors.baesystems.com PDF.,proceed_to_extraction_once_placed,Same blocker as the 2025 report.
Unilever,ULVR,Google Cloud partnership pioneers next-generation of consumer goods technologies,https://www.unilever.com/news/press-and-media/press-releases/2026/google-cloud-partnership-pioneers-next-generation-of-consumer-goods-technologies/,,pending,403_domain_wide,"Open the URL directly in a real browser (unilever.com returns HTTP 403 to all automated fetch attempts, reconfirmed this session on a different unilever.com URL -- ir-q4-2025-full-announcement.pdf also 403'd -- so this is a site-wide block).",Verbatim quote distinguishing a concrete generative-AI task/product at Unilever (e.g. a named GenAI content or chat tool with a specific workflow) from general 'AI-augmented marketing' or data-partnership commentary using Vertex AI as an analytics/data platform.,Unilever's Q4/FY2025 results announcement PDF (also 403-blocked this session; would need a browser to check if it repeats the same claim).,approved_if_specific_genai_task_confirmed,"Distinguish company use (operational) from product or market discussion, per the company-specific instruction."
Unilever,ULVR,Unilever reinvents product shoots with AI for faster content creation,https://www.unilever.com/news/news-search/2025/unilever-reinvents-product-shoots-with-ai-for-faster-content-creation/,,pending,403_domain_wide,Open the URL directly in a real browser.,"Verbatim quote naming a specific generative-AI tool (e.g. Adobe Firefly, Google Veo 3, or the 'Sketch Pro' unit) used operationally for product photography, with the deployment stage and the quantified benefit (55% cost saving / 65% faster turnaround, per unverified search snippets) attributed correctly to a named brand/workflow.",None identified this session.,approved_if_operational_and_genai_confirmed,"Distinguish company use (operational) from product or market discussion, per the company-specific instruction."
Sage Group,SGE,Sage Non-Financial Statement 2025,https://www.sage.com/en-gb/company/sustainability-and-society/,https://www.sage.com/de-de/-/media/files/company/documents/pdf/sustainability-and-society/2025-reports/non-financial-statement.pdf,pending,document_location_only,"Open sage.com/investors/financial-information/annual-report/ in a real browser and confirm whether a group-wide (non-locale-specific) Non-Financial Statement PDF exists, or whether the de-de-path PDF found via search this session is in fact the single correct global document (the URL locale segment alone is not proof it is Germany-specific).","Confirmation the document is the full group Non-Financial Statement, not a Germany-specific filing.","The equivalent section within the main Annual Report and Accounts 2025 (already approved), if no genuinely separate group-wide document exists.",approved_if_confirmed_group_wide,"Document-location issue only, not GenAI-relevance ambiguity."
Sage Group,SGE,Celebrating One Year of Sage Copilot: AI-Powered Assistant Reaches Major Milestone as Adoption Accelerates Worldwide,https://www.sage.com/en-us/news/press-releases/2025/02/celebrating-one-year-of-sage-copilot/,,pending,403_domain_wide,"Open the URL directly in a real browser (sage.com returns HTTP 403 to automated fetch across en-us and en-gb mirrors, reconfirmed this session on a third, different sage.com URL -- the FY2025 results press-release page also 403'd -- confirming a site-wide block).","Verbatim quote confirming Sage Copilot is generative-AI-based (already strongly signalled by the page title) with a concrete task, user group and deployment stage.","Sage's FY2025 results announcement (sage.com/investors/investor-downloads/press-releases/2025/11/full-year-2025-results-19-november-2025/, also 403-blocked this session) if it repeats the same Sage Copilot adoption figures.",approved_if_confirmed,"COMPANY-SPECIFIC RULE ANSWERED: Sage Copilot is a CUSTOMER-FACING product (embedded in Sage Intacct/X3/Accounting/50 for SMB/accountant customers), not an internal-only tool. Per this project's established precedent (RELX's Lexis+ with Protege, PharmaPendium AI, ClinicalKey AI and Ask ICIS were all coded as operational use cases despite being customer-facing products), a customer-facing GenAI product DOES qualify under the coding manual PROVIDED the evidence shows a concrete task, an identifiable user group and an evidenced deployment stage -- being customer-facing is not itself disqualifying. What IS required before promotion: direct on-page verification (not the page title or search snippets alone) of that concrete task/user-group/deployment-stage detail, which is exactly what remains blocked here."
Sage Group,SGE,Sage Copilot -- Generative AI finance assistant (product page),https://www.sage.com/en-us/sage-copilot/,,pending,403_domain_wide,Open the URL directly in a real browser.,"Verbatim on-page quote (not the page title alone) describing Sage Copilot's specific task(s), user group and deployment stage.",None identified this session.,optional_corroborating_if_confirmed,"Would corroborate the press release above rather than stand alone, since it is a product/marketing page rather than a dated announcement."
