staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BARC-REJ-001,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.231,AI,B,1,"feguards against unauthorised or improper access or disclosure, adherence to cookie and cookie banner compliance, and the use of personal data in AI systems; • continuing regulatory focus on policies and procedures for identifying and managing cybersecurity risks, cybersecurity governance and t",no,yes,webpage_boilerplate,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
BARC-REJ-002,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"arkets, including facilitating commerce and investment through the UK-US investment corridor. As we have seen through 2025 with rapid advances in AI, technology continues to be a major force of change in the global economy, bringing both opportunity and risk. Barclays is adopting AI responsibly",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
BARC-REJ-003,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.7,AI,B,1,"strategic sites in India, Delaware, and Glasgow. We all visited the West Coast of America to deepen our grasp of the culture of change driving the AI revolution. Such engagement continues to prove invaluable to our oversight of Barclays’ strategy, and ensuring the organisation’s preparedness, di",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
BARC-REJ-004,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"- quality products to our customers with compelling service quality. Across the Group, we are investing in advanced technology, data analytics and AI, improving operational efficiency and customer service. At the same time, we are modernising our core platforms to simplify and strengthen busines",no,no,vague_general_ai_reference,,rejected,,
BARC-REJ-005,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.11,AI,B,1,• Focus on defence spending Climate • Energy transition and security • Changing climate cycles and associated physical risks Technology • Adoption of AI and increasing cyber security threats • Customer expectations regarding digital experience and resilience • Traction of crypto and digital assets Re,no,no,vague_general_ai_reference,,rejected,,
BARC-REJ-006,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.13,AI;Copilot,A;B,7,"lients, while strengthening our resiliency and reducing complexity and cost. Empowering our colleagues Our teams have access to modern tools like Copilot and the Barclays AI platform to help them make better decisions, collaborate more effectively across regions and focus on higher value activities. ||| bility, scalability and the control needed for future growth, underpinning our data, AI and digital- platform capabilities. AI for colleagues M365 Copilot is Microsoft's AI-powered assistant and we have c.100,000 licences for colleagues across the bank to help improve productivity and encourage inn ||| started without delay, stronger fraud protection to keep accounts safe, and richer market insights to help businesses grow. Technology, including AI, is enabling us to deliver seamless, connected services that anticipate customer and client needs and provide faster, more personalised, more intu ||| hips We’re working with leading technology partners, including Amazon Web Services, Microsoft, GitLab and Databricks, to harness data, digital and AI. These collaborations also shape thinking on AI, innovation and industry standards; for example, in November 2025 Barclays was recognised as one ||| ,000 licences for colleagues across the bank to help improve productivity and encourage innovation. In addition, we’re investing in our Barclays AI platform, which provides a common set of services for the responsible development, deployment and operation of AI solutions. AI for engineers Thro ||| t of services for the responsible development, deployment and operation of AI solutions. AI for engineers Through our partnerships we’re embracing AI across our software development tools to enable developers to plan, develop and deploy new technologies at pace and responsibly. Across Barclays, ||| ools to enable developers to plan, develop and deploy new technologies at pace and responsibly. Across Barclays, 19,000 developers have access to AI tools, with early-stage adoption already delivering productivity gains of c.15%. Technology is at the heart of Barclays’ ambition to be Simpler, B",no,no,vague_general_ai_reference,DUPG-002,rejected,correct,"REVIEW: this row over-consolidated 7 passages, including the genuine M365 Copilot deployment claim. Split out manually as BARC-OP-001. Marked 'correct' (excluded from rejected promotion)."
BARC-REJ-007,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"l review Financial statements Barclays PLC Annual Report 2025 13 Our plan and targets Simpler Simpler business Five focused businesses Digital and AI enabling revenue growth and efficiencies Simpler organisation Standardised, modernised, harmonised processes Simpler operations Resilient, reliabl",no,no,vague_general_ai_reference,,rejected,,
BARC-REJ-008,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"continue to enhance how customers interact with us, making banking simpler and more intuitive across personal and business channels. Technology, AI and innovation will play a key role, helping us to streamline processes, strengthen resilience, offer a better experience on our digital channels",no,no,vague_general_ai_reference,,rejected,,
BARC-REJ-009,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.21,AI,B,1,"ts, their families and the next generation. In 2025, financial markets witnessed trade and geopolitical volatility, and strong tailwinds driven by AI – investors looked to take advantage of volatility spikes while diversifying risk. For PBWM, this led to strong transactional activity supported",no,no,vague_general_ai_reference,,rejected,,
BARC-REJ-010,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.22,automation,B,1,"g 2026. Underpinning all of our strategic ambitions is a continued focus on improving our risk and control resilience, including by increasing our automation levels. Looking ahead Within UK Digital Investing, we're committed to delivering an integrated digital SIPP (Self- Invested Personal Pension). Foll",no,no,ordinary_automation,,rejected,,
