staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_finding_type,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PSON-STR-001,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.5,AI,B,1,"sations prepare for the future of work Read more on page 7 Continued to lead with the application of innovative technologies, deepening and scaling AI across our offering driving measurable improvements in learner outcomes and saving educators meaningful time, whilst embedding AI as a foundationa",no,no,embedding_ai_into_operations,,strategic,accept,
PSON-STR-002,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"enabling the company to move faster and more effectively in serving learners, institutions and enterprises worldwide. Pearson has continued to embed AI more deeply across its products and services, bringing enhanced learning experiences to more people, faster. When applied thoughtfully AI supports",no,no,embedding_ai_into_operations,,strategic,accept,
PSON-STR-003,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"ss. It’s how we stay ahead of the curve, meet evolving customer needs and unlock new opportunities. In 2025, we made significant strides embedding AI and digital technologies across our portfolio and accelerating our enterprise learning capabilities and business. All our efforts are helping us to",no,no,embedding_ai_into_operations,,strategic,accept,
PSON-STR-004,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.16,AI;Claude,A;B,4,"ssist capabilities, expanding chatbot use, and embedding AI in customer services to boost efficiency and impact. For example, we are also deploying Claude and Claude Code across engineering and business functions to accelerate development and enhance productivity and quality. We will accelerate our dat ||| streamline the organisation, bringing teams closer to customers and accelerating decision-making. At the same time, we significantly expanded our AI capabilities, scaling our Content Generation Suite, leveraging AI code assist capabilities, expanding chatbot use, and embedding AI in customer ser ||| productivity and quality. We will accelerate our data-driven, customer-centric sales motion by refining incentives to reward growth and harnessing AI for deeper customer insights, while building on our ‘One Marketing & Communications’ foundation to elevate our global brand and embed AI-powered to ||| embed AI-powered tools that amplify creativity and measurable performance. In parallel, we will increase our use of agentic operations by deploying AI agents, including a transformative knowledge agent that redefines customer support, alongside specialised agents that verify customer identity dur",no,no,embedding_ai_into_operations,DUPG-012,strategic,correct,"Over-consolidated row (4 passages) bundling a concrete, live, named-tool operational deployment (Claude and Claude Code across engineering and business functions) with vaguer strategic AI-adoption language ('scaling our Content Generation Suite', 'leveraging AI code assist capabilities, expanding chatbot use') and a forward-looking, not-yet-live 'transformative knowledge agent' mention. The Claude/Claude Code passage was split out to a new operational staging row (PSON-OP-001). 'Content Generation Suite' appears only this once in the source with no further elaboration found elsewhere (grep-verified across sources/pearson-plc/) -- insufficient distinct task/user-group detail to code as a separate operational finding, so left here as strategic context, not promoted as its own use case. This row (PSON-STR-004) itself is marked 'correct' to exclude it from strategic promotion, since its one qualifying operational sentence has been moved to PSON-OP-001."
PSON-STR-005,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.18,AI,B,1,", our work will remain grounded in learning science and focused on delivering meaningful outcomes for learners and educators. We will further embed AI across our product ecosystem, guided by learning science and enabled by the C4E. We will focus on scaling proven solutions, advancing responsible",no,no,embedding_ai_into_operations,,strategic,accept,
PSON-STR-006,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.22,AI,B,1,"learners understand how to use AI effectively, building valuable skills for the workforce. We are working with partners such as Code.org to support AI literacy and have launched a strategic partnership with the Digital Education Council to support digital transformation in higher education across",no,no,digital_transformation,,strategic,accept,
PSON-STR-007,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.23,AI,B,2,"o help people work productively. We’re transforming talent and careers at Pearson, focusing on the skills and learning our people need in an era of AI.” Ali Bebo Chief Human Resources Officer To address the impacts of our products and our broader digital transformation, we have joined DIMPACT, a co ||| ises industry standards and empowers young people to build world-class careers. Outcome of engagement Governments from all regions are prioritising AI, digital transformation and energy transition when developing policies and allocating investment to education and skills. Our partnerships and col",no,no,digital_transformation,DUPG-019,strategic,accept,
PSON-STR-008,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.34,AI,B,1,"learning is the cornerstone of a successful digital economy, helping to create a future-ready workforce with the skills to harness the potential of AI and drive growth. Our digital transformation is grounded in learning science and innovation, ensuring technology delivers clear benefits for learn",no,no,digital_transformation,,strategic,accept,
PSON-STR-009,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.39,AI,B,1,"s (see pages 7 and 15), we are working with a number of NGOs to help accelerate the pace of modernisation at Pearson and influence how we leverage AI for positive impact. For example: • We aim to drive digital transformation in higher education with the Digital Education Council by modernising l",no,no,digital_transformation,,strategic,accept,
PSON-STR-010,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.42,AI,B,1,"belonging, to enable everyone to leverage their strengths and contribute to growth. Our three Power Skills – Learning to Learn, Adaptability and AI – underpin our approach to employee development, supporting our digital transformation to create a sustainable competitive advantage. 2025 was a",no,no,digital_transformation,,strategic,accept,
PSON-STR-011,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.85,AI,B,1,ecome a leader in AI-first learning experiences • The Board was updated on the company’s new strategic partnerships and how these would help bring AI innovation into our products and applications • The Board considered a new product operating model which has helped to embed AI strategically into,no,no,embedding_ai_into_operations,,strategic,accept,
PSON-STR-012,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.122,AI,B,2,"ary skills and experience of our leadership talent continues to evolve. It is critical that Pearson secures executive talent who can lead wholesale AI and digital transformation at pace, and acquires expertise and talent found in large technology companies that are particularly at the forefront of ||| and digital transformation at pace, and acquires expertise and talent found in large technology companies that are particularly at the forefront of AI adoption. Therefore, we must compete for the globally scarce expertise and talent required to implement our strategy, which is predominantly found i",no,no,digital_transformation,DUPG-047,strategic,accept,
PSON-STR-013,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.123,AI,B,1,"ive talent as our business and the external landscape continue to evolve. These are predominantly US-based technology companies at the forefront of AI adoption, as well as B2B services companies. A summary of the current positioning of the Pearson CEO’s remuneration against this group is set out",no,no,technology_strategy,,strategic,accept,
PSON-STR-014,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.125,AI,B,1,by incorporating the Talent Peer Group as one of the benchmarks – a group which comprises largely global technology companies at the forefront of AI adoption with a strong track record of performance. Pearson’s outperformance of this group would represent an exceptional level of delivery for ou,no,no,technology_strategy,,strategic,accept,
PSON-STR-015,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2025,PSON_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.126,AI,B,1,"a degree of judgment is required but we firmly believe that these companies, being predominantly US-based technology companies at the forefront of AI adoption, as well as B2B services companies, most accurately reflect the market in which Pearson must be able to compete for the skills and experi",no,no,technology_strategy,,strategic,accept,
PSON-STR-016,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2024,PSON_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.12,generative AI,A,1,"the completion of its acquisition last year. In recognition of the need to better equip professionals and students with AI skills we launched a new Generative AI Foundations certification, to be delivered on Pearson VUE’s online testing platform (OnVUE) and in physical test centres. • In English Language Lea",no,no,data_and_ai_capability_building,,strategic,accept,
PSON-STR-017,Pearson plc,PSON,Pearson plc Annual Report and Accounts 2024,PSON_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.23,AI,B,2,"re best practice in focus areas related to education, training and recruitment. Countries from all regions are prioritising the critical topics of AI, digital transformation and energy transition when developing policies and allocating investment on education and skills. Accordingly, we work wit ||| re best practice in focus areas related to education, training and recruitment. Countries from all regions are prioritising the critical topics of AI, digital transformation and energy transition when developing policies and allocating investment on education and skills. In 2024, our employees v",no,no,digital_transformation,DUPG-064,strategic,accept,
PSON-STR-018,Pearson plc,PSON,Pearson and Microsoft Announce Multi-Year Partnership to Transform the Future of Learning and Work with AI,PSON_company_press_release_n-a.html,,press_release,company_primary,not_applicable,generative AI,A,1,"to people across the globe. In 2024, Microsoft and its partners trained and certified over 23 million people in digital skills. Pearson launched its Generative AI Foundations certification to equip professionals and students with the essential skills needed to work with gen AI technologies. Additionally, organi",no,no,data_and_ai_capability_building,,strategic,accept,
