dimension,value,count,pct_of_58_disclosed
primary_business_function,customer_service,10,17.2%
primary_business_function,knowledge_document_work,9,15.5%
primary_business_function,other,8,13.8%
primary_business_function,research_development,6,10.3%
primary_business_function,risk_legal_compliance,6,10.3%
primary_business_function,software_development_it,5,8.6%
primary_business_function,product_service_innovation,4,6.9%
primary_business_function,marketing_content,3,5.2%
primary_business_function,operations_supply_chain,2,3.4%
primary_business_function,cybersecurity,2,3.4%
primary_business_function,sales,2,3.4%
primary_business_function,human_resources,1,1.7%
secondary_business_function,unclear,19,32.8%
secondary_business_function,knowledge_document_work,8,13.8%
secondary_business_function,product_service_innovation,8,13.8%
secondary_business_function,marketing_content,4,6.9%
secondary_business_function,finance_administration,3,5.2%
secondary_business_function,risk_legal_compliance,3,5.2%
secondary_business_function,operations_supply_chain,3,5.2%
secondary_business_function,sales,3,5.2%
secondary_business_function,customer_service,3,5.2%
secondary_business_function,human_resources,1,1.7%
secondary_business_function,research_development,1,1.7%
secondary_business_function,software_development_it,1,1.7%
secondary_business_function,other,1,1.7%
deployment_stage,live_limited,26,44.8%
deployment_stage,live_scaled,24,41.4%
deployment_stage,pilot,8,13.8%
orientation,internal,32,55.2%
orientation,customer_facing,11,19.0%
orientation,product_embedded,9,15.5%
orientation,mixed,6,10.3%
orientation_note,"corrected 2026-08-09; see outputs/analysis/disclosed_use_case_spot_check.md",,
user_group,employees,32,55.2%
user_group,customers,19,32.8%
user_group,mixed,5,8.6%
user_group,suppliers_or_partners,1,1.7%
user_group,developers,1,1.7%
user_group_note,"corrected 2026-08-09; see outputs/analysis/disclosed_use_case_spot_check.md",,
claimed_benefits (multi-label),productivity,29,50.0%
claimed_benefits (multi-label),time_saving,25,43.1%
claimed_benefits (multi-label),service_quality,8,13.8%
claimed_benefits (multi-label),personalisation,4,6.9%
claimed_benefits (multi-label),accuracy,4,6.9%
claimed_benefits (multi-label),risk_reduction,3,5.2%
claimed_benefits (multi-label),none_stated,3,5.2%
claimed_benefits (multi-label),accessibility,3,5.2%
claimed_benefits (multi-label),innovation,2,3.4%
claimed_benefits (multi-label),cost_reduction,2,3.4%
benefit_evidence,expected,23,39.7%
benefit_evidence,observed_unquantified,24,41.4%
benefit_evidence,measured_aggregate_company_reported,8,13.8%
benefit_evidence,measured_survey_sample_self_reported,1,1.7%
benefit_evidence,measured_single_anecdote_vendor_sourced,1,1.7%
benefit_evidence,measured_imprecise_magnitude_single_example,1,1.7%
benefit_evidence,measured_total,11,19.0%
benefit_evidence_note,"corrected 2026-08-09, tiered 2026-08-11; see outputs/analysis/disclosed_use_case_spot_check.md",,
