company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
SSE plc,SSE,,SSE_company_annual_report_current_fy2025_2025-06.pdf,p.305,automation,B,er Generation Bindoo Windfarm (ROI) Limited Ireland C 100.0 100.0 Power Generation Brickmount Limited Ireland C 100.0 100.0 Power Generation Building Automation Solutions Limited England and Wales D 100.0 100.0 Dormant Coire Glas Hydro Pumped Storage Limited Scotland A 100.0 100.0 Power Generation Comhlacht G,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_current_fy2025_2025-06.pdf,p.307,AI,B,wables Poland Holdings Limited Scotland A 100.0 – Holding Company SSE Renewables Poland sp z.o.o. (formerly Virtomille Investments sp z.o.o.) Poland AI 100.0 – Renewable Development SSE Renewables Services (UK) Limited Northern Ireland F 100.0 100.0 Renewable Development SSE Renewables UK Limited Nor,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_current_fy2025_2025-06.pdf,p.310,AI,B,"ay Bay, Hong Kong AG Hiview House, Highgate Road, London, NW5 1TN AH Corporation Service Company, 251 Little Falls Drive, Wilmington, Delaware, 19808 AI Towarowa no.28, suite 00-839, Warsaw, Poland AJ Roppongi Grand Tower, 3-2-1 Roppongi, Minato-ku, Tokyo, Japan AK Stewart Building Esplanade, Lerwick,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.11,AI,B,"rogress of NZAP Plus investments; strategic direction and opportunities at home and abroad; the policy environment, and the impact of innovation, AI and cyber risk on our plans. Good governance benefits from fresh perspectives and I was pleased to welcome two new Board members, Maarten Wetsela",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.74,automation,B,"ce. To put these figures in context, SSEN Distribution’s licence areas have been severely affected by several named storms. Investment of £35m in automation across network areas has had a tangible, positive impact on SSEN Distribution’s ability to reconfigure the system quickly and remotely, if a stor",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.75,automation,B,"ce. To put these figures in context, SSEN Distribution’s licence areas have been severely affected by several named storms. Investment of £35m in automation across network areas has had a tangible, positive impact on SSEN Distribution’s ability to reconfigure the system quickly and remotely, if a stor",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.83,AI,B,"grades during the year. The business strives to continually improve customer experience, including through the expansion of digital tools such as AI to enhance the offering. For additional financial performance commentary please refer to the Group Financial Review. Growth opportunities SSE Ai",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.88,AI,B,"ng risk themes include the future consequences of geopolitical change, the potential risk and opportunities created by new technologies including AI, market conditions and changes to the regulatory environment. Full details of our Principal Risks can be found on pages 89 to 95 . Risk informed",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.89,AI,B,"ng risk themes include the future consequences of geopolitical change, the potential risk and opportunities created by new technologies including AI, market conditions and changes to the regulatory environment. Full details of our Principal Risks can be found on pages 89 to 95 . Risk informed",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
SSE plc,SSE,,SSE_company_annual_report_previous_fy2024_2024.pdf,p.97,AI,B,"s and expectations in relation to efficient, innovative and flexible products and services. – Technological developments and innovation, including AI. – Net-zero strategic goals. – Increased competition from market entrants including international oil companies. – Longer-term capital investme",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
